,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,276.60000,182.00000,356.60000,538.60000,-1275.10000,,-308.20000,1299.30000,-195.80000,596.90000,-186.30000,-67.70000,80.70000,-122.29980,-41.59980,33.50000,-262.10000,-75.90000,-75.90000,-572.80000,-572.80000,-150.20000,-19.50000,-818.40000,-518.10000,62.60000,-150.20000
2021-12-31,1361.80000,171.60000,-515.10000,-343.50000,-871.10000,,240.20000,543.50000,-233.20000,781.70000,-187.40000,1299.00000,-65.20000,-816.29960,-881.49960,-72.50000,157.60000,-72.60000,-72.60000,-839.30000,-839.30000,-162.30000,-15.60000,-1089.80000,-173.80000,66.70000,-157.60000
2020-12-31,440.80000,142.30000,578.30000,720.60000,-39.30000,,-254.20000,449.20000,178.40000,1342.00000,-121.20000,-458.60000,68.80000,-46.90000,21.90000,-177.30000,-735.20000,242.50000,242.50000,-297.00000,-297.00000,-173.30000,-37.00000,-264.80000,361.50000,57.90000,-154.60000
2019-12-31,382.60000,125.50000,532.00000,657.50000,-462.80000,,25.70000,776.00000,353.00000,1413.40000,-110.30000,-7.60000,-39.00000,-265.60010,-304.60010,-197.30000,-619.80000,235.49990,235.49990,-271.80000,-271.80000,-170.10000,27.20000,-179.20000,613.10000,55.90000,-151.40000
2018-12-31,251.00000,70.00000,183.90000,253.90000,388.80000,,3.80000,-378.10000,151.80000,656.70000,-82.80000,-1050.10000,-52.20000,-1176.40000,-1228.60000,159.00000,-2202.50000,1823.90000,1823.90000,-139.30000,137.10000,-148.00000,25.00000,1838.00000,257.20000,57.10000,-133.80000
2017-12-31,519.60000,11.80000,3.20000,15.00000,-946.40000,,24.60000,1071.20000,43.89990,530.40000,-35.90000,-129.10000,-53.90000,-343.30000,-397.20000,21.00000,-541.20000,450.80000,450.80000,-388.90000,-388.90000,-119.00000,30.40000,-26.70000,-35.20000,35.50000,-119.00000
2016-12-31,565.40000,-269.40000,385.80000,116.40000,-453.10000,,-99.30000,-16.30000,-561.50000,108.60000,-85.20000,810.70000,273.20000,-530.60010,-257.40010,257.50000,725.60000,-123.40000,-123.40000,-863.10000,-863.10000,-125.30000,31.50000,-1080.30000,-256.30000,41.60000,-125.30000
2015-12-31,141.60000,124.10000,-156.10000,-32.00000,29.90000,-27.30000,-178.70000,246.00000,54.00000,229.90000,-114.90000,33.00000,-196.70000,400.20000,203.50000,142.70000,264.30000,,,-292.90000,-292.90000,-94.20000,-75.30000,-462.40000,-30.30000,38.80000,-94.20000
2014-12-31,470.90700,133.72300,-405.39400,-271.67100,-763.47300,-85.74200,316.58800,658.05800,189.20800,393.81600,-83.60300,-149.19400,93.57100,27.11230,120.68330,176.00300,63.88900,-467.33000,-467.33000,-215.18300,-215.18300,-77.49500,-16.19100,-776.19900,-398.52800,49.35400,-77.49500
2013-12-31,488.90700,108.54100,15.30500,123.84600,233.64200,-34.68200,187.58800,-111.35200,449.89010,1027.56100,-50.90400,-181.86500,-173.60300,20.14800,-153.45500,-6.51400,-392.73800,664.95100,664.95100,-393.01200,-393.01200,-74.12800,-1.11200,196.69900,807.78000,50.00400,-74.12800
2012-12-31,483.70500,105.97400,-37.05700,68.91700,-915.54700,-5.80900,6.69800,1030.85900,113.33800,679.69800,-54.08200,-2.13600,140.30900,-597.51290,-457.20390,63.53900,-449.88300,-0.78000,-0.78000,-412.19600,-412.19600,-69.39300,1.72800,-480.64100,-257.30900,37.58900,-69.39300
2011-12-31,538.95600,108.93000,1.55200,110.48200,-387.43900,,151.60300,429.28300,137.77700,855.30400,-31.92400,-45.08000,-90.36800,-15.20390,-105.57190,-14.01200,-196.58800,-41.71800,-41.71800,-533.84800,-538.84800,-67.38500,11.10300,-636.84800,16.19700,36.88800,-67.38500
2010-12-31,278.60700,116.19600,346.89300,463.08900,-796.77100,,-50.62300,598.96410,-265.08100,540.74200,-50.83100,-11.56000,95.76800,-18.28100,77.48700,-23.97200,-8.87600,-83.06700,-83.06700,-522.54600,-525.70600,-69.61800,-21.08200,-699.47300,-168.03600,34.59100,-69.61800
2009-12-31,430.57400,91.33800,168.67500,260.01300,-209.53000,,-132.46100,42.93200,-310.15100,269.92500,-54.33700,4.92300,254.59000,-46.83300,207.75700,-16.87600,141.46700,-36.22700,-36.22700,-31.94900,-34.94900,-69.59600,-1.79000,-142.56200,277.86800,30.28800,-69.59600
