,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,6037.00000,2192.00000,527.00000,2719.00000,-142.00000,152.00000,-236.00000,-226.00000,8530.00000,-5086.00000,,39.00000,-76.00000,-37.00000,,-5123.00000,,,,-718.00000,-718.00000,-3409.00000,-86.00000,-4213.00000,-817.00000,88.00000,-3409.00000
2021-12-31,2833.00000,2131.00000,51.00000,2182.00000,-526.00000,539.00000,-129.00000,-116.00000,4899.00000,-1928.00000,344.00000,35.00000,-25.00000,10.00000,,-1574.00000,-1302.00000,,-1302.00000,-589.00000,-589.00000,-1336.00000,-65.00000,-3292.00000,34.00000,99.00000,-1336.00000
2020-12-31,-2671.00000,1332.00000,2898.00000,4230.00000,231.00000,-109.00000,-217.00000,-95.00000,1464.00000,-1127.00000,,,,,,-1127.00000,,,,-38.00000,-38.00000,-271.00000,3.00000,-306.00000,393.00000,88.00000,-271.00000
2019-12-31,-353.00000,1530.00000,948.00000,2478.00000,,,-82.00000,-82.00000,2043.00000,-1551.00000,,,,,,-1551.00000,-162.00000,,-162.00000,-1849.00000,-1849.00000,-140.00000,90.00000,-2061.00000,-602.00000,115.00000,-140.00000
2018-12-31,3224.00000,1255.00000,-2719.00000,-1464.00000,-69.00000,-3.00000,-86.00000,-158.00000,1583.00000,-1616.00000,-55.00000,,,,,-1671.00000,-1226.00000,,-1226.00000,-2956.00000,-2956.00000,-149.00000,-46.00000,-4377.00000,-238.00000,137.00000,-149.00000
2017-12-31,1078.00000,1035.00000,-880.00000,155.00000,-139.00000,91.00000,58.00000,10.00000,1243.00000,-1189.00000,-44.00000,,,,,-1233.00000,,,,,,-127.00000,-46.00000,-173.00000,725.00000,126.00000,-127.00000
2016-12-31,-1458.00000,1667.00000,597.00000,2264.00000,-58.00000,-196.00000,278.00000,24.00000,834.00000,787.00000,,,,,,787.00000,-2757.00000,-626.00000,-3383.00000,1469.00000,1469.00000,-221.00000,-35.00000,-2170.00000,-351.00000,203.00000,-221.00000
2015-12-31,-13645.00000,4097.00000,14432.00000,18529.00000,942.00000,-190.00000,-1122.00000,14.00000,4898.00000,-5787.00000,,0.00000,,,-16.00000,-5803.00000,2138.00000,-307.00000,1831.00000,25.00000,25.00000,-650.00000,606.00000,1812.00000,830.00000,244.00000,-650.00000
2014-12-31,1691.00000,3408.00000,969.00000,4377.00000,128.00000,-68.00000,115.00000,-292.00000,6021.00000,-8330.00000,,,57.00000,57.00000,89.00000,-8184.00000,-1889.00000,-385.00000,-2274.00000,410.00000,410.00000,-621.00000,91.00000,-2394.00000,-4586.00000,163.00000,-621.00000
2013-12-31,-20.00000,2780.00000,2803.00000,5583.00000,-288.00000,26.00000,106.00000,-127.00000,5436.00000,-6339.00000,,2343.00000,,2343.00000,-3.00000,-3999.00000,2233.00000,-1872.00000,361.00000,3.00000,3.00000,-348.00000,4.00000,20.00000,1429.00000,,-348.00000
2012-12-31,-206.00000,2811.00000,2332.00000,5143.00000,140.00000,-8.00000,-58.00000,19.00000,4956.00000,-6757.00000,,-840.00000,,-840.00000,71.00000,-7526.00000,2458.00000,-537.00000,1921.00000,27.00000,27.00000,-324.00000,5.00000,1629.00000,-918.00000,,-324.00000
2011-12-31,4704.00000,2248.00000,-453.00000,1795.00000,,,-275.00000,-275.00000,6224.00000,-7405.00000,,-1358.00000,,-1358.00000,3117.00000,-5646.00000,461.00000,3726.00000,4187.00000,-2231.00000,-2231.00000,-278.00000,13.00000,1691.00000,2265.00000,,-278.00000
2010-12-31,4550.00000,1930.00000,-827.00000,1103.00000,,,-175.00000,-175.00000,5478.00000,-2166.00000,,-145.00000,,-145.00000,2199.00000,-112.00000,-350.00000,-1432.00000,-1782.00000,-1057.00000,-1057.00000,-281.00000,16.00000,-3104.00000,2279.00000,,-281.00000
2009-12-31,-2479.00000,2108.00000,4913.00000,7021.00000,142.00000,-91.00000,192.00000,195.00000,4737.00000,-4845.00000,,0.00000,,,-509.00000,-5354.00000,1009.00000,426.00000,1435.00000,42.00000,42.00000,-284.00000,8.00000,1201.00000,627.00000,,-284.00000
