,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,921.15600,297.08900,-16.21000,280.87900,,7.07700,36.10400,1238.13900,-1336.97500,-156.96000,283.63600,-118.96300,164.67300,-319.19700,-1648.45900,1376.41100,1376.41100,-63.00800,-67.50800,-805.31100,-71.73100,431.86100,21.54100,21.38600,-805.31100
2021-12-31,877.75800,252.46600,-155.35400,97.11200,,-33.38500,-22.43400,952.43600,-720.45500,31.53400,51.46300,-54.60200,-3.13900,-145.48000,-837.54000,206.69090,206.69090,277.76100,277.76100,-600.99400,-50.16900,-166.71100,-51.81500,17.30300,-600.99400
2020-12-31,517.58200,233.83000,1.88800,235.71800,,-0.04200,17.93200,771.23200,-350.51700,0.37100,10.10200,-364.79200,-354.69000,-250.59100,-955.42700,691.27000,691.27000,40.35400,40.35400,-467.76500,-22.38800,241.47100,57.27600,16.28100,-467.76500
2019-12-31,451.12300,231.84600,24.01000,255.85600,,-14.81500,0.70700,707.68600,-399.72100,3.98200,157.86100,-197.75900,-39.89800,-185.99300,-621.63000,205.26700,205.26700,201.89000,201.89000,-458.11400,-37.05600,-88.01300,-1.95700,13.05100,-458.11400
2018-12-31,447.08000,223.33600,-8.07700,215.25900,,12.72000,15.45600,677.79500,-438.90400,49.13000,25.22600,-65.50000,-40.27400,-13.85000,-443.89800,134.24400,134.24400,91.40000,91.40000,-424.90700,-47.98800,-247.25100,-13.35400,11.17600,-424.90700
2017-12-31,514.22200,205.58500,-93.55800,112.02700,,-18.35900,-28.87400,597.37500,-380.58490,-17.36300,44.86900,,44.86900,,-353.07900,217.02810,217.02810,1.26600,1.26600,-393.04000,-41.24800,-215.99400,28.30200,,-393.04000
2016-12-31,397.08900,195.48200,-61.97700,133.50500,,-1.40600,8.66900,539.26300,-1053.95700,-11.28800,16.35600,,16.35600,,-1048.88900,755.72010,755.72010,124.86800,124.86800,-367.81800,-51.93900,460.83100,-48.79500,,-367.81800
2015-12-31,209.53600,141.23600,7.12900,148.36500,-1.43600,10.75600,9.42800,367.32900,-383.40800,-1159.20700,-83.04900,,-83.04900,,-1625.66400,1144.52000,1144.52000,448.41900,448.41900,-269.30200,-37.16600,1286.47100,28.13600,6.05500,-269.30200
2014-12-31,195.89600,121.66800,9.88400,131.55200,0.07100,5.14200,10.13300,337.58100,-531.89600,,-3.79400,,-3.79400,-29.25800,-564.94800,384.53600,384.53600,3.09500,3.09500,-210.09100,-29.23300,148.30700,-79.06000,4.98400,-210.09100
2013-12-31,185.55600,101.22900,-27.97200,73.25700,1.27700,2.86700,12.44600,271.25900,-355.98500,-1.51600,-9.47500,,-9.47500,,-366.97600,164.06300,164.06300,211.88400,211.88400,-163.01400,-21.27800,191.65500,95.93800,4.81900,-163.01400
2012-12-31,127.68900,80.34200,-17.55900,62.78300,7.43900,10.74800,25.40700,215.87900,-608.85300,0.99800,0.91700,,0.91700,,-606.93800,64.76890,64.76890,439.85500,439.85500,-88.28700,-20.97700,395.36000,4.30100,4.35600,-88.28700
2011-12-31,58.42300,63.59700,14.52600,78.12300,-8.63400,6.41500,7.61800,144.16400,-207.03500,0.52600,-45.41000,,-45.41000,,-251.91900,23.14000,23.14000,130.97100,130.97100,-52.02700,-14.59500,87.48900,-20.26600,5.75700,-52.02700
2010-12-31,33.37400,54.70300,14.96600,69.66900,3.01100,-3.09500,1.77200,104.81500,-91.84500,-0.89700,9.03600,,9.03600,,-83.70600,-61.33800,-61.33800,5.66100,5.66100,-34.96400,-15.66800,-106.30900,-85.20000,4.58000,-34.96400
2009-12-31,39.09300,56.28000,3.09900,59.37900,-12.34700,-3.28500,-17.30700,81.16500,-101.98200,-1.93100,-0.49700,,-0.49700,,-104.41000,142.31100,142.31100,,,-32.80000,-18.28800,91.22300,67.97800,3.80900,-32.80000
