,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,973.58500,163.85300,-73.44900,90.40400,167.33600,-363.32700,-131.26800,1.64100,-275.73000,788.25900,-241.88400,-1.90700,-13.45500,112.12190,112.12190,,-145.12400,-161.52100,-161.52100,-679.09600,,-840.61700,-218.93100,76.80100,-679.09600
2021-12-31,1082.20000,154.81800,123.21500,278.03300,-19.10600,-476.45400,108.94600,32.91400,-347.80600,1012.42700,-307.61000,-1.94200,-20.17500,-145.64210,-145.64210,,-475.36900,4.74800,4.74800,-491.45700,,-486.70900,40.09500,92.52200,-491.45700
2020-12-31,992.32400,126.71500,74.75200,201.46700,-108.85900,28.72600,1.44700,40.83300,-58.52400,1135.26700,-183.42400,-2.06500,-148.64800,73.61300,73.61300,,-260.52400,-11.12900,-11.12900,-450.63100,,-461.76000,431.11000,80.88500,-450.63100
2019-12-31,952.48600,106.17500,-7.32700,98.84800,-123.40100,-170.16900,26.19200,-51.11000,-352.78500,698.54900,-117.50200,-2.37700,-300.28900,-30.57800,-30.57800,,-450.74600,1.23600,1.23600,-417.26400,,-416.02800,-174.16700,63.40000,-417.26400
2018-12-31,694.08000,96.19400,109.50700,205.70100,7.29000,-57.73700,40.62800,-5.56200,19.73900,919.52000,-154.15500,-4.60000,-29.17000,-119.57800,-119.57800,,-307.50300,9.98700,9.98700,-296.14800,,-286.16100,310.04600,56.39100,-296.14800
2017-12-31,709.00700,86.25200,-22.82300,63.42900,-39.06700,-7.50400,-17.24000,-34.34000,-111.59400,660.84200,-139.33500,-12.23200,-90.47100,47.65500,47.65500,,-194.38300,-65.43600,-65.43600,-382.97600,,-448.41200,44.76300,44.73500,-382.97600
2016-12-31,517.72400,86.34000,87.38900,173.72900,9.00000,-2.45500,-11.49600,16.16300,14.22900,705.68200,-90.28400,-5.71500,-77.94500,52.26100,52.26100,,-121.68300,-81.91600,-81.91600,-481.45200,1.69200,-561.67600,13.66700,41.25000,-481.45200
2015-12-31,456.22700,78.36000,90.60100,168.96100,22.47300,-121.71800,36.07900,-130.54100,-344.72100,280.46700,-72.67100,-3.88900,-38.68700,3.22000,3.22000,0.04800,-111.97900,-119.92600,-119.92600,-378.11700,-2.04900,-500.09200,-363.19800,26.29000,-378.11700
2014-12-31,364.21100,77.01500,139.85200,216.86700,-27.39800,-76.49100,8.98100,-59.42000,-58.36700,522.71100,-72.59100,-4.72000,-18.87100,90.19400,90.19400,137.32000,131.33200,-239.46300,-239.46300,-360.07500,-0.08400,-599.62200,17.11900,24.29300,-360.07500
2013-12-31,612.41200,78.80400,6.24600,85.05000,38.58900,-17.59300,18.04300,-72.14200,-67.37800,630.08400,-55.19800,-1.12200,-5.68000,-75.66000,-75.66000,-136.78200,-274.44200,-59.71500,-59.71500,-351.70700,4.58400,-406.83800,-52.03100,22.59200,-351.70700
2012-12-31,542.40300,90.46700,47.83900,138.30600,10.80800,3.99700,-38.92900,58.97200,4.03600,684.74500,-37.68800,-6.78300,-7.69700,-443.99500,-443.99500,-0.06500,-496.22800,4.05300,4.05300,-253.38600,-0.51600,-249.84900,-55.98000,29.27400,-253.38600
2011-12-31,520.89600,94.53500,27.55100,122.08600,170.16200,-6.38500,-26.32900,21.22000,179.35200,822.33400,-34.23900,-6.93300,-54.19000,-393.34200,-393.34200,0.50600,-488.19800,0.03700,0.03700,-310.76300,3.31300,-307.41300,26.22400,40.21200,-310.76300
2010-12-31,584.60300,94.65100,105.98400,200.63500,129.69800,-77.12200,-81.35400,-38.06100,-14.60100,770.63700,-32.09300,-3.88300,-12.12000,-25.54300,-25.54300,0.77000,-72.86900,-216.46300,-216.46300,-298.85300,4.49500,-510.82100,169.35500,40.33200,-298.85300
2009-12-31,703.95000,96.48600,83.23600,179.72200,-131.97800,61.18900,38.87500,226.92600,210.78400,1094.45600,-49.19400,-7.57300,,-490.99600,-490.99600,-0.10600,-547.86900,-12.76300,-12.76300,-149.84600,1.36600,-161.24300,395.24600,43.61600,-149.84600
