,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2833.00000,1250.00000,184.00000,1434.00000,-106.00000,-593.00000,-306.00000,-372.00000,3895.00000,-1066.00000,-159.00000,-27.00000,3.00000,3.00000,,-1249.00000,579.00000,,579.00000,-1367.00000,-1367.00000,-815.00000,-16.00000,-1619.00000,1015.00000,364.00000,-815.00000
2021-12-31,1906.00000,1262.00000,346.00000,1608.00000,-176.00000,-159.00000,-350.00000,-437.00000,3077.00000,-799.00000,-132.00000,-23.00000,10.00000,10.00000,10.00000,-934.00000,2979.00000,,2979.00000,-3953.00000,-3953.00000,-562.00000,-49.00000,-1585.00000,555.00000,353.00000,-562.00000
2020-12-31,80.00000,1988.00000,-24.00000,1964.00000,-51.00000,163.00000,7.00000,438.00000,2482.00000,-388.00000,-130.00000,127.00000,-27.00000,-27.00000,,-418.00000,191.00000,,191.00000,-555.00000,-555.00000,-455.00000,-16.00000,-835.00000,1230.00000,384.00000,-455.00000
2019-12-31,272.00000,2047.00000,227.00000,2274.00000,116.00000,128.00000,43.00000,-173.00000,2373.00000,-503.00000,-102.00000,-1661.00000,-18.00000,-18.00000,,-2284.00000,144.00000,-145.00000,-1.00000,-1359.00000,-1359.00000,-319.00000,-152.00000,-1831.00000,-1744.00000,346.00000,-319.00000
2018-12-31,2258.00000,1987.00000,153.00000,2140.00000,187.00000,-65.00000,-22.00000,-29.00000,4369.00000,-610.00000,-50.00000,141.00000,-3.00000,-3.00000,,-522.00000,723.00000,,723.00000,-4967.00000,-4967.00000,-128.00000,-225.00000,-4597.00000,-758.00000,314.00000,-128.00000
2017-12-31,2272.00000,2173.00000,-1277.00000,896.00000,31.00000,-120.00000,-897.00000,-761.00000,2447.00000,-550.00000,-66.00000,2682.00000,,,6.00000,2072.00000,-2744.00000,,-2744.00000,-53.00000,-53.00000,-89.00000,,-2886.00000,1653.00000,281.00000,-89.00000
2016-12-31,259.00000,2205.00000,364.00000,2569.00000,-51.00000,568.00000,-920.00000,-559.00000,2303.00000,-388.00000,-59.00000,-182.00000,,,2.00000,-627.00000,-3333.00000,-6.00000,-3339.00000,2094.00000,2094.00000,-126.00000,-21.00000,-1392.00000,280.00000,338.00000,-126.00000
2015-12-31,1599.00000,517.00000,-818.00000,-301.00000,-78.00000,82.00000,-138.00000,-7.00000,1330.00000,-334.00000,-12.00000,-87.00000,1.00000,1.00000,2.00000,-430.00000,62.00000,-2.00000,60.00000,-424.00000,-424.00000,-51.00000,-34.00000,-449.00000,429.00000,216.00000,-51.00000
2014-12-31,607.00000,405.00000,370.00000,775.00000,-111.00000,-42.00000,14.00000,83.00000,1468.00000,-325.00000,-36.00000,-1.00000,,,-25.00000,-387.00000,1043.00000,-167.00000,876.00000,-1156.00000,-1156.00000,-50.00000,-224.00000,-554.00000,515.00000,133.00000,-50.00000
2013-12-31,415.00000,514.00000,114.00000,628.00000,-37.00000,-22.00000,-25.00000,-152.00000,891.00000,-209.00000,-35.00000,2.00000,4.00000,4.00000,-2.00000,-240.00000,-196.00000,-91.00000,-287.00000,-228.00000,-228.00000,-48.00000,-35.00000,-598.00000,53.00000,88.00000,-48.00000
2012-12-31,-52.00000,533.00000,213.00000,746.00000,2.00000,-61.00000,26.00000,28.00000,722.00000,-249.00000,-29.00000,24.00000,12.00000,12.00000,-1.00000,-243.00000,-729.00000,230.00000,-499.00000,-26.00000,-26.00000,-40.00000,-9.00000,-574.00000,-126.00000,52.00000,-40.00000
2011-12-31,436.00000,591.00000,-394.00000,197.00000,-32.00000,-104.00000,51.00000,-458.00000,175.00000,-206.00000,-10.00000,11.00000,,,3.00000,-202.00000,-429.00000,-383.00000,-812.00000,-47.00000,-47.00000,-67.00000,,-926.00000,-165.00000,31.00000,-67.00000
2010-12-31,-406.00000,684.00000,360.00000,1044.00000,109.00000,8.00000,-157.00000,-277.00000,361.00000,-227.00000,-7.00000,-60.00000,,,25.00000,-269.00000,-411.00000,-192.00000,-603.00000,448.00000,448.00000,-2.00000,,-157.00000,-133.00000,12.00000,-2.00000
2009-12-31,-153.00000,818.00000,-1064.00000,-246.00000,-66.00000,31.00000,-73.00000,-302.00000,-701.00000,-71.00000,-8.00000,123.00000,19.00000,19.00000,,63.00000,-287.00000,207.00000,-80.00000,,,-29.00000,,-109.00000,-755.00000,,-29.00000
