,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1318.00000,2107.00000,1439.00000,3546.00000,-728.00000,-158.00000,1013.00000,1353.00000,6363.00000,-6366.00000,,100.00000,-870.00000,-770.00000,212.00000,-6924.00000,-4475.00000,,-4475.00000,,,,-60.00000,-4535.00000,-5096.00000,,0.00000
2021-12-31,280.00000,1998.00000,419.00000,2417.00000,-981.00000,-318.00000,-197.00000,490.00000,3264.00000,-3247.00000,,2381.00000,,2381.00000,-32.00000,-898.00000,-3932.00000,,-3932.00000,,,,80.00000,-3852.00000,-1486.00000,,0.00000
2020-12-31,-12385.00000,2312.00000,3521.00000,5833.00000,1168.00000,354.00000,316.00000,2078.00000,-3793.00000,-1899.00000,,-5792.00000,-2099.00000,-7891.00000,552.00000,-9238.00000,14231.00000,3261.00000,17492.00000,-344.00000,-344.00000,-260.00000,2468.00000,19356.00000,6325.00000,,-260.00000
2019-12-31,4767.00000,2581.00000,1535.00000,4116.00000,-775.00000,-139.00000,68.00000,-702.00000,8425.00000,-4936.00000,,206.00000,109.00000,315.00000,58.00000,-4563.00000,-1263.00000,1750.00000,487.00000,-2027.00000,-2027.00000,-980.00000,-360.00000,-2880.00000,982.00000,,-980.00000
2018-12-31,3935.00000,2329.00000,1424.00000,3753.00000,108.00000,324.00000,-115.00000,-101.00000,7014.00000,-5168.00000,,766.00000,-117.00000,649.00000,126.00000,-4393.00000,693.00000,,693.00000,-1575.00000,-1575.00000,-909.00000,65.00000,-1726.00000,895.00000,,-909.00000
2017-12-31,3205.00000,2222.00000,2242.00000,4464.00000,-428.00000,-397.00000,-2727.00000,-2597.00000,5023.00000,-3891.00000,,-341.00000,-1245.00000,-1586.00000,211.00000,-5266.00000,1196.00000,,1196.00000,-1677.00000,-1677.00000,-731.00000,482.00000,-730.00000,-973.00000,,-731.00000
2016-12-31,4195.00000,1886.00000,2118.00000,4004.00000,-134.00000,-140.00000,-771.00000,-747.00000,7215.00000,-3391.00000,,979.00000,,979.00000,257.00000,-2155.00000,-1259.00000,,-1259.00000,-2601.00000,-2601.00000,-509.00000,109.00000,-4260.00000,800.00000,,-509.00000
2015-12-31,4526.00000,1835.00000,1180.00000,3015.00000,-56.00000,155.00000,331.00000,229.00000,7927.00000,-2945.00000,,739.00000,-1498.00000,-759.00000,-251.00000,-3955.00000,-1591.00000,,-1591.00000,-2200.00000,-2200.00000,-359.00000,62.00000,-4088.00000,-116.00000,,-359.00000
2014-12-31,659.00000,1771.00000,3732.00000,5503.00000,-302.00000,172.00000,-1325.00000,-1491.00000,4947.00000,-2249.00000,,,-262.00000,-262.00000,48.00000,-2463.00000,-1908.00000,,-1908.00000,-1100.00000,-1100.00000,-251.00000,19.00000,-3240.00000,-756.00000,,-251.00000
2013-12-31,10540.00000,1658.00000,-7816.00000,-6158.00000,90.00000,-87.00000,87.00000,170.00000,4504.00000,-2521.00000,-47.00000,158.00000,-360.00000,-202.00000,14.00000,-2756.00000,-1193.00000,,-1193.00000,-250.00000,-250.00000,-102.00000,225.00000,-1320.00000,428.00000,,-102.00000
2012-12-31,1009.00000,1758.00000,110.00000,1868.00000,-116.00000,-451.00000,-278.00000,54.00000,2476.00000,-1968.00000,,61.00000,,61.00000,-55.00000,-1962.00000,-899.00000,,-899.00000,,,,144.00000,-755.00000,-241.00000,,
2011-12-31,854.00000,1716.00000,275.00000,1991.00000,-76.00000,-8.00000,-280.00000,-61.00000,2834.00000,-1254.00000,,-234.00000,,-234.00000,-10.00000,-1498.00000,-1777.00000,,-1777.00000,,,,206.00000,-1571.00000,-235.00000,,
2010-12-31,593.00000,1727.00000,535.00000,2262.00000,-141.00000,-36.00000,-467.00000,-128.00000,2832.00000,-1342.00000,,,-666.00000,-666.00000,-18.00000,-2026.00000,-2592.00000,,-2592.00000,,,,71.00000,-2521.00000,-1715.00000,89.00000,
2009-12-31,-1237.00000,1906.00000,-286.00000,1620.00000,147.00000,,735.00000,1025.00000,1379.00000,-1202.00000,,,256.00000,256.00000,-62.00000,-1008.00000,75.00000,,75.00000,,,,-94.00000,-19.00000,352.00000,108.00000,
