,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-06-30,760.00000,688.00000,28.00000,716.00000,-51.00000,-87.00000,,-93.00000,1354.00000,-496.00000,-1501.00000,-112.00000,-112.00000,33.00000,-2076.00000,852.00000,852.00000,-179.00000,-179.00000,-175.00000,-94.00000,404.00000,-414.00000,-175.00000
2021-06-30,389.00000,680.00000,93.00000,773.00000,-166.00000,6.00000,,203.00000,1237.00000,-366.00000,-886.00000,-39.00000,-39.00000,-1.00000,-1292.00000,958.00000,958.00000,,,-163.00000,-96.00000,699.00000,719.00000,-163.00000
2020-06-30,-1545.00000,644.00000,1846.00000,2490.00000,-1470.00000,9.00000,,-163.00000,780.00000,-402.00000,-32.00000,3.00000,3.00000,4.00000,-427.00000,-300.00000,-300.00000,,,-158.00000,-14.00000,-472.00000,-126.00000,-158.00000
2019-06-30,228.00000,659.00000,113.00000,772.00000,134.00000,-58.00000,,-71.00000,928.00000,-469.00000,-188.00000,-38.00000,-38.00000,18.00000,-677.00000,-435.00000,-435.00000,,,-161.00000,-14.00000,-610.00000,-391.00000,-161.00000
2018-06-30,-1444.00000,472.00000,1488.00000,1960.00000,-128.00000,-14.00000,,-88.00000,757.00000,-226.00000,-77.00000,-51.00000,-51.00000,33.00000,-321.00000,-118.00000,-118.00000,,,-158.00000,-122.00000,-398.00000,18.00000,-158.00000
2017-06-30,-643.00000,449.00000,980.00000,1429.00000,-58.00000,15.00000,-258.00000,-161.00000,494.00000,15.00000,-347.00000,-98.00000,-98.00000,10.00000,-420.00000,-23.00000,-23.00000,,,-152.00000,-42.00000,-217.00000,-131.00000,-152.00000
2016-06-30,250.00000,505.00000,-266.00000,239.00000,22.00000,35.00000,258.00000,373.00000,878.00000,-215.00000,-519.00000,-105.00000,-105.00000,-272.00000,-1111.00000,342.00000,342.00000,-41.00000,-41.00000,-147.00000,-4.00000,150.00000,-119.00000,-147.00000
2015-06-30,-78.00000,498.00000,289.00000,787.00000,29.00000,18.00000,,59.00000,831.00000,-126.00000,-1190.00000,-370.00000,-370.00000,-55.00000,-1741.00000,-129.00000,-129.00000,-30.00000,-30.00000,-30.00000,-1.00000,-190.00000,-1194.00000,-30.00000
2014-06-30,294.00000,552.00000,175.00000,727.00000,-102.00000,24.00000,-103.00000,-77.00000,1029.00000,-156.00000,-45.00000,-84.00000,-84.00000,,-285.00000,,,,,-24.00000,213.00000,189.00000,764.00000,-24.00000
2013-06-30,547.00000,548.00000,885.00000,1433.00000,,-15.00000,-135.00000,-106.00000,501.00000,494.00000,-2156.00000,-12.00000,-12.00000,,-1674.00000,-235.00000,-235.00000,,,-20.00000,2741.00000,2486.00000,1248.00000,-20.00000
2012-06-30,-2040.00000,483.00000,2092.00000,2575.00000,96.00000,-6.00000,-16.00000,72.00000,851.00000,-304.00000,-92.00000,-263.00000,-263.00000,,-659.00000,,,,,-13.00000,-993.00000,-1006.00000,-889.00000,-13.00000
2011-06-30,704.00000,430.00000,-21.00000,409.00000,132.00000,-13.00000,-3.00000,106.00000,1331.00000,-475.00000,-397.00000,-9.00000,-9.00000,,-881.00000,,,,,-10.00000,280.00000,270.00000,942.00000,-10.00000
