,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,16050.00000,3265.00000,-659.00000,2606.00000,-2315.00000,-787.00000,0.00000,-1748.00000,16361.00000,-2330.00000,-413.00000,2542.00000,,2542.00000,824.00000,623.00000,1099.00000,,1099.00000,-11679.00000,-11679.00000,-1279.00000,-1788.00000,-13647.00000,3337.00000,-1279.00000
2021-12-31,11001.00000,3443.00000,-12951.00000,-9508.00000,-5299.00000,-33.00000,3.00000,3020.00000,4360.00000,-1311.00000,,-5719.00000,,-5719.00000,21827.00000,14797.00000,-5250.00000,-1023.00000,-6273.00000,-4548.00000,-4548.00000,-1484.00000,-2114.00000,-14419.00000,4878.00000,-1484.00000
2020-12-31,-9977.00000,3444.00000,10299.00000,13743.00000,1465.00000,1750.00000,-19.00000,-1538.00000,2419.00000,-2637.00000,,-348.00000,,-348.00000,-272.00000,-3257.00000,1702.00000,1024.00000,2726.00000,11.00000,11.00000,-1510.00000,-1362.00000,-135.00000,-979.00000,-1510.00000
2019-12-31,3255.00000,3258.00000,2566.00000,5824.00000,-1717.00000,-362.00000,-9.00000,7.00000,9441.00000,-4763.00000,-129.00000,-966.00000,,-966.00000,-403.00000,-6261.00000,1201.00000,,1201.00000,-1940.00000,-1940.00000,-1398.00000,-1239.00000,-3376.00000,-124.00000,-1398.00000
2018-12-31,3606.00000,2240.00000,584.00000,2824.00000,1277.00000,965.00000,0.00000,-321.00000,6158.00000,-3157.00000,-3822.00000,-393.00000,,-393.00000,-298.00000,-7670.00000,5444.00000,,5444.00000,-3263.00000,-3263.00000,-954.00000,-1005.00000,222.00000,-1330.00000,-954.00000
2017-12-31,3804.00000,2178.00000,-995.00000,1183.00000,-1093.00000,106.00000,0.00000,1827.00000,6612.00000,-2653.00000,-249.00000,-743.00000,,-743.00000,247.00000,-3398.00000,2269.00000,,2269.00000,-1853.00000,-1853.00000,-773.00000,-734.00000,-1091.00000,2123.00000,-773.00000
2016-12-31,1213.00000,2062.00000,592.00000,2654.00000,-674.00000,-70.00000,,241.00000,4017.00000,-2791.00000,,-288.00000,,-288.00000,112.00000,-2967.00000,-1405.00000,,-1405.00000,590.00000,1574.00000,-719.00000,-744.00000,-1294.00000,-244.00000,-719.00000
2015-12-31,2868.00000,1518.00000,750.00000,2268.00000,1292.00000,80.00000,,-1028.00000,4073.00000,-1977.00000,-1218.00000,-327.00000,,-327.00000,81.00000,-3441.00000,767.00000,,767.00000,-932.00000,-932.00000,-613.00000,-221.00000,-999.00000,-367.00000,-613.00000
2014-12-31,2555.00000,1353.00000,-98.00000,1255.00000,1642.00000,-786.00000,,-691.00000,3110.00000,-1453.00000,-2821.00000,-404.00000,,-404.00000,135.00000,-4543.00000,3245.00000,,3245.00000,-1884.00000,-1884.00000,-524.00000,-202.00000,635.00000,-798.00000,-524.00000
2013-12-31,2133.00000,1220.00000,-146.00000,1074.00000,-940.00000,-305.00000,,219.00000,3405.00000,-1190.00000,-1515.00000,-74.00000,,-74.00000,23.00000,-2756.00000,-21.00000,,-21.00000,-2745.00000,-2745.00000,-484.00000,33.00000,-3217.00000,-2568.00000,-484.00000
2012-12-31,3393.00000,995.00000,538.00000,1533.00000,851.00000,-115.00000,,-487.00000,4492.00000,-1316.00000,-190.00000,51.00000,,51.00000,3.00000,-1452.00000,-17.00000,,-17.00000,-835.00000,-835.00000,-407.00000,,-1259.00000,1781.00000,-407.00000
2011-12-31,2389.00000,891.00000,-38.00000,853.00000,-1177.00000,-255.00000,,70.00000,3309.00000,-1041.00000,-74.00000,-3.00000,2404.00000,2401.00000,9.00000,1295.00000,-641.00000,,-641.00000,1.00000,1.00000,-160.00000,-843.00000,-1643.00000,2961.00000,-160.00000
2010-12-31,623.00000,941.00000,260.00000,1201.00000,-750.00000,-76.00000,,334.00000,2217.00000,-454.00000,,-1.00000,-1690.00000,-1691.00000,,-2145.00000,1248.00000,,1248.00000,,,,-1330.00000,-82.00000,-10.00000,0.00000
2009-12-31,449.00000,670.00000,188.00000,858.00000,-1448.00000,-22.00000,111.00000,1108.00000,2455.00000,-2838.00000,,12.00000,160.00000,172.00000,22.00000,-2644.00000,2.00000,,2.00000,,,,207.00000,209.00000,20.00000,
