,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,7845.00000,2623.00000,1733.00000,4356.00000,-171.00000,-59.00000,-274.00000,-203.00000,-853.00000,11348.00000,-3666.00000,,80.00000,80.00000,-3586.00000,-2576.00000,,-2576.00000,-1577.00000,-1577.00000,-6269.00000,-192.00000,-10614.00000,-2852.00000,-6269.00000
2021-12-31,2118.00000,2611.00000,1354.00000,3965.00000,-607.00000,-125.00000,1059.00000,-402.00000,-37.00000,6046.00000,-30.00000,-826.00000,,,-856.00000,-761.00000,,-761.00000,-256.00000,-256.00000,-1594.00000,-196.00000,-2807.00000,2383.00000,-1594.00000
2020-12-31,-200.00000,1720.00000,637.00000,2357.00000,309.00000,-20.00000,-179.00000,-195.00000,-87.00000,2070.00000,-1655.00000,,,,-1655.00000,1103.00000,,1103.00000,-167.00000,-167.00000,-346.00000,-209.00000,381.00000,796.00000,-346.00000
2019-12-31,773.00000,1821.00000,895.00000,2716.00000,-227.00000,-20.00000,-7.00000,-119.00000,-374.00000,3115.00000,-3071.00000,,624.00000,624.00000,-2447.00000,,,,-647.00000,-647.00000,-127.00000,-14.00000,-788.00000,-120.00000,-127.00000
2018-12-31,975.00000,1633.00000,492.00000,2125.00000,-52.00000,-70.00000,321.00000,-57.00000,142.00000,3242.00000,-3314.00000,,704.00000,704.00000,-2610.00000,-450.00000,-23.00000,-473.00000,-171.00000,-171.00000,-55.00000,-4.00000,-703.00000,-71.00000,-55.00000
2017-12-31,833.00000,1498.00000,-154.00000,1344.00000,-120.00000,-35.00000,134.00000,-57.00000,-78.00000,2099.00000,-2355.00000,,563.00000,563.00000,-1792.00000,-485.00000,,-485.00000,-30.00000,-30.00000,-14.00000,,-529.00000,-222.00000,-14.00000
2016-12-31,-556.00000,1587.00000,614.00000,2201.00000,-141.00000,-32.00000,58.00000,-70.00000,-145.00000,1500.00000,-1557.00000,-428.00000,-1836.00000,-1836.00000,-3821.00000,-455.00000,,-455.00000,2516.00000,2516.00000,-13.00000,,2048.00000,-273.00000,-13.00000
2015-12-31,-273.00000,1487.00000,266.00000,1753.00000,54.00000,8.00000,-258.00000,-9.00000,-225.00000,1255.00000,-1840.00000,,,,-1840.00000,998.00000,,998.00000,-25.00000,-25.00000,-12.00000,-10.00000,951.00000,366.00000,-12.00000
2014-12-31,930.00000,1143.00000,334.00000,1477.00000,-29.00000,-37.00000,104.00000,-62.00000,-41.00000,2366.00000,-2699.00000,,,,-2699.00000,,,,959.00000,959.00000,-12.00000,18.00000,965.00000,632.00000,-12.00000
2013-12-31,-799.00000,972.00000,1953.00000,2925.00000,-123.00000,-39.00000,209.00000,-30.00000,20.00000,2146.00000,-2165.00000,,25.00000,25.00000,-2140.00000,-1080.00000,,-1080.00000,1271.00000,1271.00000,-11.00000,-22.00000,158.00000,164.00000,-11.00000
2012-12-31,243.00000,718.00000,853.00000,1571.00000,-28.00000,33.00000,46.00000,-12.00000,23.00000,1837.00000,-2959.00000,-297.00000,,,-3256.00000,1165.00000,,1165.00000,-56.00000,-56.00000,-10.00000,12.00000,1111.00000,-308.00000,-10.00000
2011-12-31,881.91400,493.57600,122.89300,616.46910,-47.33100,-137.40100,136.29600,57.98400,31.33100,1529.71400,-1471.16700,,-89.62000,-89.62000,-1560.78700,-98.26700,,-98.26700,570.47700,570.47700,-9.55600,-5.25700,457.39700,426.32400,-9.55600
2010-12-31,645.99500,457.43900,90.89200,548.33110,36.65300,-26.28100,128.92700,-46.73100,90.69700,1285.02300,-881.99190,,-72.86400,-72.86400,-954.85600,-182.91000,,-182.91000,-6.66400,-6.66400,-9.48800,-47.31300,-246.37500,83.79200,-9.48800
2009-12-31,-42.26700,461.93200,179.68600,641.61800,16.29300,-46.70800,-65.86200,-9.83800,-56.29200,543.05900,-410.98500,,,,-410.98500,-159.86100,0.48600,-159.37500,47.56800,47.56800,-9.37000,-31.86600,-153.04300,-20.96900,-9.37000
