,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,11548.00000,3188.00000,-263.00000,2925.00000,-322.00000,34.00000,108.00000,-369.00000,14104.00000,-4757.00000,-755.00000,-1651.00000,-1651.00000,-309.00000,-7472.00000,-2304.00000,,-2304.00000,-3238.00000,-3238.00000,-5114.00000,-529.00000,-11185.00000,-4653.00000,1568.00000,-5114.00000
2021-12-31,12890.00000,2953.00000,-172.00000,2781.00000,-2147.00000,1265.00000,463.00000,-664.00000,15007.00000,-3322.00000,-602.00000,54.00000,54.00000,52.00000,-3818.00000,-2773.00000,,-2773.00000,-249.00000,-249.00000,-3437.00000,-364.00000,-6823.00000,4345.00000,878.00000,-3437.00000
2020-12-31,1343.00000,2698.00000,5337.00000,8035.00000,-1562.00000,904.00000,108.00000,1081.00000,10459.00000,-5372.00000,-20.00000,106.00000,106.00000,3.00000,-5283.00000,1611.00000,-2462.00000,-851.00000,61.00000,61.00000,-3374.00000,-353.00000,-4517.00000,672.00000,796.00000,-3374.00000
2019-12-31,4440.00000,2360.00000,1703.00000,4063.00000,-717.00000,419.00000,880.00000,136.00000,8639.00000,-6315.00000,-6.00000,322.00000,322.00000,-62.00000,-6061.00000,2109.00000,310.00000,2419.00000,-786.00000,-786.00000,-3194.00000,-166.00000,-1727.00000,871.00000,915.00000,-3194.00000
2018-12-31,4791.00000,2207.00000,3671.00000,5878.00000,-421.00000,1034.00000,924.00000,2042.00000,12711.00000,-6246.00000,-2.00000,-87.00000,-87.00000,5.00000,-6330.00000,-1685.00000,63.00000,-1622.00000,-771.00000,-771.00000,-3011.00000,-288.00000,-5692.00000,598.00000,634.00000,-3011.00000
2017-12-31,4905.00000,2282.00000,-4258.00000,-1976.00000,-1022.00000,599.00000,-1227.00000,-1450.00000,1479.00000,-5203.00000,-134.00000,360.00000,360.00000,6.00000,-4971.00000,8077.00000,-250.00000,7827.00000,-1566.00000,-1566.00000,-2771.00000,-203.00000,3287.00000,-152.00000,584.00000,-2771.00000
2016-12-31,3422.00000,2224.00000,1521.00000,3745.00000,-704.00000,460.00000,-541.00000,-694.00000,6473.00000,-2877.00000,-547.00000,911.00000,911.00000,-50.00000,-2563.00000,2122.00000,-88.00000,2034.00000,-2433.00000,-2433.00000,-2643.00000,-98.00000,-3140.00000,749.00000,591.00000,-2643.00000
2015-12-31,4844.00000,2084.00000,756.00000,2840.00000,-452.00000,-147.00000,408.00000,-254.00000,7430.00000,-2353.00000,-1904.00000,-1027.00000,-1027.00000,-25.00000,-5309.00000,1059.00000,2529.00000,3588.00000,-2453.00000,-2453.00000,-2525.00000,-175.00000,-1565.00000,439.00000,574.00000,-2525.00000
2014-12-31,3032.00000,1923.00000,483.00000,2406.00000,-523.00000,276.00000,429.00000,288.00000,5726.00000,-2275.00000,-88.00000,-419.00000,-419.00000,-19.00000,-2801.00000,-169.00000,,-169.00000,-2421.00000,-2421.00000,-2366.00000,-205.00000,-5161.00000,-2374.00000,536.00000,-2366.00000
2013-12-31,4372.00000,1867.00000,1099.00000,2966.00000,-515.00000,218.00000,-153.00000,-34.00000,7304.00000,-1961.00000,-22.00000,9.00000,9.00000,-140.00000,-2114.00000,-1775.00000,,-1775.00000,-3347.00000,-3347.00000,-2260.00000,-425.00000,-7807.00000,-2662.00000,513.00000,-2260.00000
2012-12-31,807.00000,1858.00000,4419.00000,6277.00000,-124.00000,-58.00000,216.00000,132.00000,7216.00000,-2058.00000,-100.00000,628.00000,628.00000,195.00000,-1335.00000,1729.00000,,1729.00000,-1320.00000,-1320.00000,-2130.00000,-96.00000,-1817.00000,4293.00000,547.00000,-2130.00000
2011-12-31,3804.00000,1782.00000,1263.00000,3045.00000,-657.00000,249.00000,293.00000,224.00000,7073.00000,-1978.00000,-73.00000,-413.00000,-413.00000,-73.00000,-2537.00000,88.00000,-183.00000,-95.00000,-2375.00000,-2375.00000,-1997.00000,-395.00000,-4862.00000,-336.00000,524.00000,-1997.00000
2010-12-31,3338.00000,1792.00000,-636.00000,1156.00000,-532.00000,265.00000,-490.00000,-659.00000,3835.00000,-1085.00000,63.00000,30.00000,30.00000,338.00000,-654.00000,1727.00000,-481.00000,1246.00000,-599.00000,-599.00000,-1818.00000,-175.00000,-1346.00000,1828.00000,519.00000,-1818.00000
2009-12-31,1968.00000,1747.00000,1462.00000,3209.00000,-30.00000,-107.00000,320.00000,108.00000,5285.00000,-1542.00000,-9.00000,-11.00000,-11.00000,314.00000,-1248.00000,1216.00000,-1738.00000,-522.00000,-412.00000,-412.00000,-1751.00000,-360.00000,-3045.00000,1035.00000,430.00000,-1751.00000
