,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,59972.00000,15928.00000,17830.00000,33758.00000,-2317.00000,,707.00000,-4679.00000,-2235.00000,91495.00000,-31485.00000,-6969.00000,18948.00000,-2381.00000,16567.00000,1589.00000,-20298.00000,-1196.00000,-1196.00000,-59261.00000,-59261.00000,-9300.00000,-69757.00000,934.00000,19362.00000
2021-12-31,76033.00000,12441.00000,4701.00000,17142.00000,-9095.00000,,283.00000,-1072.00000,-1523.00000,91652.00000,-24640.00000,-2618.00000,-6902.00000,-1904.00000,-8806.00000,541.00000,-35523.00000,-1236.00000,-1236.00000,-49964.00000,-49964.00000,-10162.00000,-61362.00000,-5520.00000,15376.00000
2020-12-31,40269.00000,13697.00000,9331.00000,23028.00000,-6524.00000,,694.00000,-695.00000,1827.00000,65124.00000,-22281.00000,-738.00000,-3670.00000,-6152.00000,-9822.00000,68.00000,-32773.00000,9661.00000,9661.00000,-28349.00000,-28349.00000,-5720.00000,-24408.00000,7967.00000,12991.00000
2019-12-31,34343.00000,11781.00000,7577.00000,19358.00000,-4340.00000,,428.00000,-584.00000,819.00000,54520.00000,-23548.00000,-2515.00000,-2490.00000,-1527.00000,-4017.00000,589.00000,-29491.00000,-268.00000,-268.00000,-18176.00000,-18176.00000,-4765.00000,-23209.00000,1797.00000,10794.00000
2018-12-31,30736.00000,9035.00000,3292.00000,12327.00000,-2169.00000,,1067.00000,-836.00000,4908.00000,47971.00000,-25139.00000,-1491.00000,-1651.00000,-321.00000,-1972.00000,98.00000,-28504.00000,-61.00000,-61.00000,-8125.00000,-8125.00000,-4993.00000,-13179.00000,5986.00000,9353.00000
2017-12-31,12662.00000,6915.00000,8268.00000,15183.00000,-3768.00000,,731.00000,-1774.00000,9246.00000,37091.00000,-13184.00000,-287.00000,-18236.00000,-1212.00000,-19448.00000,1518.00000,-31401.00000,-86.00000,-86.00000,-4046.00000,-4046.00000,-4166.00000,-8298.00000,-2203.00000,7679.00000
2016-12-31,19478.00000,6144.00000,7114.00000,13258.00000,-2578.00000,,110.00000,535.00000,3300.00000,36036.00000,-9972.00000,-986.00000,-17614.00000,-165.00000,-17779.00000,-2428.00000,-31165.00000,-1335.00000,-1335.00000,-3693.00000,-3693.00000,-3304.00000,-8332.00000,-3631.00000,6703.00000
2015-12-31,16348.00000,5063.00000,5570.00000,10633.00000,-2094.00000,,203.00000,-275.00000,-409.00000,26572.00000,-9915.00000,-236.00000,-11463.00000,-1747.00000,-13210.00000,-350.00000,-23711.00000,-23.00000,-23.00000,-1780.00000,-1780.00000,-2422.00000,-4225.00000,-1798.00000,5203.00000
2014-12-31,14136.00000,4979.00000,3237.00000,8216.00000,-1641.00000,,436.00000,284.00000,672.00000,23024.00000,-10959.00000,-4502.00000,-4995.00000,-2002.00000,-6997.00000,1403.00000,-21055.00000,-18.00000,-18.00000,,,-2069.00000,-2087.00000,-551.00000,4279.00000
2013-12-31,12733.00000,3939.00000,1831.00000,5770.00000,-1307.00000,,605.00000,-697.00000,156.00000,18659.00000,-7358.00000,1077.00000,-7130.00000,31.00000,-7099.00000,-299.00000,-13679.00000,-557.00000,-557.00000,,,-300.00000,-857.00000,4120.00000,3343.00000
2012-12-31,10737.00000,2962.00000,2022.00000,4984.00000,-787.00000,,-499.00000,-369.00000,898.00000,16619.00000,-3273.00000,-10568.00000,1770.00000,-651.00000,1119.00000,-334.00000,-13056.00000,1328.00000,1328.00000,,,-99.00000,1229.00000,4795.00000,2692.00000
2011-12-31,9737.00000,1851.00000,2347.00000,4198.00000,-1156.00000,-30.00000,101.00000,-70.00000,630.00000,14565.00000,-3438.00000,-1900.00000,-12926.00000,-423.00000,-13349.00000,-354.00000,-19041.00000,726.00000,726.00000,,,81.00000,807.00000,-3647.00000,1974.00000
2010-12-31,8505.00000,1396.00000,1279.00000,2675.00000,-1129.00000,,272.00000,-303.00000,-99.00000,11081.00000,-4018.00000,-1067.00000,-6886.00000,-1070.00000,-7956.00000,2361.00000,-10680.00000,3463.00000,3463.00000,-801.00000,-801.00000,388.00000,3050.00000,3432.00000,1376.00000
2009-12-31,6520.00000,1524.00000,786.00000,2310.00000,-504.00000,,34.00000,338.00000,486.00000,9316.00000,-810.00000,-108.00000,-7036.00000,-65.00000,-7101.00000,,-8019.00000,,,,,233.00000,233.00000,1541.00000,1164.00000
