,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4852.20000,715.90000,-4161.50000,-3445.60000,-3630.00000,1426.90000,4095.30000,1892.20000,3172.90000,-116.30000,128.80000,1114.20100,1114.20100,-68.20000,1058.50000,-637.79980,1087.20000,449.40010,-1522.50000,-1522.50000,-642.30000,,-1715.40000,2516.00000,91.30000,-642.30000
2021-12-31,1757.40000,593.10000,-407.40000,185.70000,8.30000,1415.10000,-96.70000,1326.70000,3254.40000,-129.90000,-120.70000,-5300.50000,-5300.50000,-142.60000,-5693.70000,517.09960,2933.10000,3450.20000,-874.70000,-874.70000,-654.10000,0.10000,1921.50000,-517.80000,96.10000,-654.10000
2020-12-31,1428.50000,664.80000,83.30000,748.10000,61.90000,1532.10000,-174.60000,1419.40000,3709.30000,-108.80000,-228.30000,-4622.30000,-4622.30000,-37.10000,-4996.50000,1943.89900,557.10000,2501.00000,-265.60000,-265.60000,-614.50000,0.20000,1621.10000,333.90000,87.20000,-614.50000
2019-12-31,1444.10000,598.20000,-313.60010,284.59990,-247.60000,3599.90000,401.10000,3753.40000,5493.20000,-132.40000,-1239.70000,-5827.29900,-5827.29900,-489.10000,-7688.50000,1898.10100,680.90000,2579.00000,-245.00000,-245.00000,-606.00000,5.70000,1733.70000,-461.60000,82.60000,-606.00000
2018-12-31,1553.70000,482.40000,-209.90000,272.50000,37.80000,3610.20000,-282.00000,3366.00000,5156.50000,-92.30000,-209.30000,-5098.20000,-5098.20000,-302.70000,-5702.50000,1732.80000,561.50000,2294.30000,-638.70000,-638.70000,-598.60000,-4.30000,1052.70000,506.70000,77.40000,-598.60000
2017-12-31,2324.50000,430.30000,-1539.30000,-1109.00000,-114.20000,3296.80000,-227.10000,2955.50000,4188.00000,-164.80000,281.40000,-4098.60000,-4098.60000,-70.80000,-4052.80000,108.59960,121.10000,229.69960,-71.20000,-71.20000,-540.00000,-2.50000,-384.00000,-248.80000,82.70000,-540.00000
2016-12-31,1361.80000,471.70000,-141.50000,330.20000,98.70000,2140.30000,-1.10000,2237.90000,3857.80000,-154.90000,-74.20000,-4950.80100,-4950.80100,26.00000,-5153.90000,2147.70000,-2.40000,2145.30000,-241.90000,-241.90000,-464.90000,12.40000,1450.90000,154.80000,84.40000,-464.90000
2015-12-31,1253.20000,463.80000,-455.40000,8.40000,-211.50000,3283.60000,145.70000,3217.80000,4377.10000,-136.40000,-404.30000,-2319.19900,-2319.19900,-307.70000,-3167.60000,496.10010,248.10000,744.20010,-247.00000,-797.00000,-457.50000,1.70000,-508.60000,700.90000,84.50000,-441.00000
2014-12-31,1176.40000,536.70000,-82.00000,454.70000,26.90000,1634.00000,,1660.90000,3102.90000,-136.00000,-281.70000,-673.29980,-673.29980,-81.70000,-1172.70000,-1565.50000,-87.60000,-1653.10000,-372.20000,-372.20000,-409.60000,-3.20000,-2438.10000,-507.90000,75.30000,-376.60000
2013-12-31,936.10000,341.00000,-48.10000,292.90000,-131.90000,1614.70000,,1482.80000,2221.20000,-59.40000,-1353.90000,155.29880,155.29880,31.70000,-1226.30000,-2317.40000,-117.70000,-2435.10000,-80.70000,-80.70000,-321.40000,36.90000,-2800.30000,-1805.40000,68.50000,-288.40000
2012-12-31,825.40000,227.00000,-54.70000,172.30000,70.60000,2054.70000,,2125.30000,3080.80000,-38.90000,-232.20000,-1183.10100,-1183.10100,-157.10000,-1611.30000,422.49950,-36.80000,385.69950,-243.80000,-243.80000,-264.30000,-3.80000,-126.20000,1343.30000,63.80000,-231.30000
2011-12-31,674.50000,391.30000,54.90000,446.20000,-130.20000,1017.70000,,887.50000,2713.30000,-56.90000,-400.40000,307.29980,307.29980,-52.10000,-202.10000,-759.70020,-15.30000,-775.00020,-530.50000,-530.50000,-246.70000,-2.50000,-1554.70000,956.50000,43.40000,-213.70000
2010-12-31,680.80000,433.40000,285.60000,719.00000,-102.30000,1303.90000,,1201.60000,2791.70000,-21.50000,-53.80000,184.00000,184.00000,-81.20000,27.50000,-3035.60000,47.90000,-2987.70000,18.00000,18.00000,-209.20000,-3.30000,-3182.20000,-363.00000,47.60000,-176.20000
2009-12-31,645.70000,230.70000,-50.20000,180.50000,-126.90000,1530.90000,,1404.00000,2243.00000,-26.20000,-107.90000,1192.50000,1192.50000,-31.60000,1026.80000,-4197.10000,-361.20000,-4558.30000,1118.90000,1118.90000,-192.50000,-5.50000,-3637.40000,-367.60000,37.20000,-159.50000
