,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-03-31,1287.00000,935.00000,2130.00000,3065.00000,-1843.00000,-1169.00000,2802.00000,-157.00000,-124.00000,4434.00000,-535.00000,572.00000,-126.00000,-89.00000,-1334.00000,,-1334.00000,-3296.00000,-3296.00000,-277.00000,-1414.00000,-6321.00000,-2461.00000,,-277.00000
2021-03-31,-4340.00000,1129.00000,-433.00000,696.00000,1145.00000,-2276.00000,1267.00000,7705.00000,7675.00000,4542.00000,-641.00000,365.00000,-139.00000,-415.00000,-540.00000,,-540.00000,-650.00000,-650.00000,-276.00000,-227.00000,-1693.00000,2373.00000,,-276.00000
2020-03-31,1120.00000,1061.00000,1504.00000,2565.00000,-2494.00000,-376.00000,3952.00000,-377.00000,697.00000,4374.00000,-506.00000,-96.00000,23.00000,-579.00000,-298.00000,,-298.00000,-1821.00000,-1821.00000,-294.00000,-321.00000,-2734.00000,1042.00000,,-294.00000
2019-03-31,255.00000,3028.00000,139.00000,3167.00000,-967.00000,-368.00000,1976.00000,,546.00000,4036.00000,-557.00000,-804.00000,-20.00000,-1381.00000,-13.00000,-3.00000,-16.00000,-1564.00000,-1564.00000,-292.00000,-355.00000,-2227.00000,309.00000,,-292.00000
2018-03-31,297.00000,3168.00000,-858.00000,2310.00000,1175.00000,-458.00000,271.00000,,1659.00000,4345.00000,-580.00000,-2519.00000,106.00000,-2993.00000,-877.00000,-183.00000,-1060.00000,-1577.00000,-1577.00000,-262.00000,-185.00000,-3084.00000,-1582.00000,,-262.00000
2017-03-31,5153.00000,1200.00000,-2775.00000,-1575.00000,-762.00000,320.00000,2070.00000,-150.00000,1624.00000,4744.00000,-562.00000,-4006.00000,1299.00000,-3269.00000,223.00000,170.00000,393.00000,-2191.00000,-2191.00000,-253.00000,-18.00000,-2069.00000,-738.00000,,-253.00000
2016-03-31,2310.00000,893.00000,436.00000,1329.00000,-1957.00000,-1251.00000,3302.00000,-120.00000,-104.00000,3672.00000,-677.00000,170.00000,-1050.00000,-1557.00000,-1598.00000,-127.00000,-1725.00000,-1489.00000,-1489.00000,-244.00000,5.00000,-3453.00000,-1293.00000,123.00000,-244.00000
2015-03-31,1543.00000,1258.00000,879.00000,2137.00000,-2821.00000,-2144.00000,4718.00000,-141.00000,-610.00000,3112.00000,-545.00000,-155.00000,23.00000,-677.00000,-350.00000,-52.00000,-402.00000,-298.00000,-298.00000,-227.00000,-41.00000,-968.00000,1148.00000,174.00000,-227.00000
2014-03-31,1258.00000,735.00000,661.00000,1396.00000,-868.00000,-1182.00000,2412.00000,-81.00000,499.00000,3136.00000,-419.00000,-4537.00000,-90.00000,-5046.00000,3776.00000,-52.00000,3724.00000,47.00000,47.00000,-214.00000,62.00000,3619.00000,1737.00000,160.00000,-214.00000
2013-03-31,1338.00000,581.00000,584.00000,1165.00000,318.00000,-60.00000,-125.00000,-44.00000,-9.00000,2483.00000,-400.00000,-1873.00000,64.00000,-2209.00000,655.00000,-400.00000,255.00000,-1048.00000,-1048.00000,-194.00000,31.00000,-956.00000,-693.00000,167.00000,-194.00000
2012-03-31,1403.00000,493.00000,556.00000,1049.00000,-768.00000,-882.00000,2037.00000,97.00000,503.00000,2950.00000,-398.00000,-1051.00000,-53.00000,-1502.00000,-430.00000,400.00000,-30.00000,-1707.00000,-1707.00000,-195.00000,27.00000,-1905.00000,-463.00000,154.00000,-195.00000
2011-03-31,1202.00000,496.00000,482.00000,978.00000,-673.00000,367.00000,533.00000,42.00000,302.00000,2338.00000,-388.00000,-183.00000,-53.00000,-624.00000,-41.00000,,-41.00000,-1683.00000,-1683.00000,-171.00000,54.00000,-1841.00000,-119.00000,137.00000,-171.00000
2010-03-31,1263.00000,474.00000,18.00000,492.00000,-133.00000,-782.00000,1340.00000,27.00000,540.00000,2316.00000,-378.00000,-17.00000,86.00000,-309.00000,-218.00000,-1.00000,-219.00000,-111.00000,-111.00000,-131.00000,40.00000,-421.00000,1622.00000,114.00000,-131.00000
2009-03-31,823.00000,441.00000,733.00000,1174.00000,-708.00000,370.00000,-189.00000,-55.00000,-629.00000,1351.00000,-392.00000,-295.00000,-40.00000,-727.00000,695.00000,,695.00000,-405.00000,-405.00000,-116.00000,4.00000,178.00000,747.00000,99.00000,-116.00000
