,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-03-31,418.02200,285.81700,290.18000,575.99700,-17.85700,4.10600,-45.60500,-692.92210,-752.27810,257.98400,-158.64200,,-161.33100,23.67400,434.69300,458.36700,0.82200,139.21600,,,,-180.35500,-180.35500,-76.45800,-256.81300,135.08400,182.96900
2021-03-31,588.88600,232.81300,149.14100,381.95400,47.19500,2.50300,78.67300,-192.40800,-64.03700,912.31800,-68.92300,,-102.46900,-278.19000,-357.14200,-635.33200,,-806.72400,,,,14.21400,14.21400,-71.55200,-57.33800,66.85500,110.47200
2020-03-31,404.45900,236.54300,275.43200,511.97500,-195.48400,8.48900,299.73300,-352.56800,-239.83000,685.67800,-53.38400,,-12.04000,-99.35600,168.82900,69.47300,,4.04900,,,,10.51500,10.51500,-87.96800,-77.45300,601.40600,257.88100
2019-03-31,333.83700,264.82600,358.30300,623.12900,-98.07500,-14.40300,201.15200,-202.80000,-114.12600,843.51500,-66.96900,,-28.14900,42.59900,-171.05700,-128.45800,,-223.57600,,,,-362.39200,-362.39200,-101.29300,-463.68500,145.61500,247.70000
2018-03-31,173.53300,160.58100,90.18300,250.76400,-26.99800,3.91700,198.73300,-113.37500,62.27700,493.52700,-87.52200,,-9.40100,-128.98600,-45.91800,-174.90400,,-271.82700,,,,-154.79200,-154.79200,-126.67500,-281.46700,-34.84300,116.34900
2017-03-31,67.30300,281.80500,83.54900,365.35400,-41.95600,-4.94200,189.34400,-163.79000,-21.34400,407.90300,-21.16700,,-130.66900,-65.73500,88.54100,22.80600,,-129.03000,,,,,,-49.77200,-49.77200,221.30300,81.87900
2016-03-31,-8.30200,188.45600,67.04300,255.49900,49.34800,3.80900,,-211.79900,11.52000,261.30500,-37.28000,,,-107.18700,-179.70000,-286.88700,-0.34900,-324.51600,,,,-26.55200,-26.55200,-21.49500,-48.04700,-112.37800,69.99600
2015-03-31,-279.47000,178.54300,50.04900,228.59200,-164.71700,9.72900,,338.02700,261.62410,212.81400,-49.50100,,,-100.11600,-70.52400,-170.64000,,-220.14100,,,,,,0.92800,0.92800,-24.28000,65.24600
2014-03-31,361.60500,307.19800,63.40300,370.60100,136.45300,0.43800,,-362.85500,-31.73600,700.26200,-29.81300,,,,,,-1.00000,-30.81300,145.96700,,145.96700,-276.83600,-276.83600,-2.81500,-133.68400,532.89800,78.11800
2013-03-31,-29.49100,269.26500,32.98100,302.24600,-144.56100,-7.74100,83.73400,-209.53200,-278.10000,-4.56700,-16.82000,,,0.00000,,,,-16.82000,,,,,,,,-17.77700,35.76500
2012-03-31,-108.81600,177.06100,34.28800,211.34900,39.18200,2.10100,,-190.26300,-188.72800,-84.96400,-10.78600,2.20000,-1.47500,,,,-4.10100,-14.16200,250.00000,,250.00000,0.23900,0.23900,-6.87500,243.36400,139.92000,33.49400
2011-03-31,48.45800,171.36200,33.01600,204.37800,-10.08200,-0.09900,41.21700,-147.97700,-116.94100,134.79800,-9.65300,,3.07500,,,,-1.00000,-7.57800,,,,0.73400,0.73400,,0.73400,134.52100,28.76500
2010-03-31,-122.99500,135.84700,49.81900,185.66600,-3.33200,5.58100,-5.31400,-196.09600,-199.16100,-135.70200,-9.93300,,39.76200,,,,-6.80400,23.02500,94.40800,-70.00000,24.40800,26.36000,26.36000,-4.98400,45.78400,-58.30000,26.50300
2009-10-31,-140.45400,127.08000,39.38200,166.46200,-57.27500,11.79200,13.72800,-200.00100,-231.75600,-210.20400,-11.17600,,,,,,-5.81300,-16.98900,94.40800,-70.00000,24.40800,26.36400,26.36400,-4.98400,45.78800,-178.19400,25.93300
