,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2111.00000,465.00000,35.00000,500.00000,-137.00000,-486.00000,-29.00000,-145.00000,-699.00000,1912.00000,-585.00000,,-312.00000,-9.00000,-9.00000,23.00000,-883.00000,1348.00000,2.00000,1350.00000,-1594.00000,-1594.00000,-611.00000,-49.00000,-904.00000,96.00000,62.00000,-611.00000
2021-12-31,2034.00000,448.00000,74.00000,522.00000,-155.00000,-366.00000,-17.00000,220.00000,-343.00000,2213.00000,-475.00000,,-14.00000,-12.00000,-12.00000,43.00000,-458.00000,-600.00000,-4.00000,-604.00000,-743.00000,-743.00000,-474.00000,-41.00000,-1862.00000,-119.00000,58.00000,-474.00000
2020-12-31,1636.00000,441.00000,134.00000,575.00000,74.00000,-346.00000,147.00000,23.00000,-85.00000,2126.00000,-432.00000,,-113.00000,,,-27.00000,-572.00000,740.00000,4.00000,744.00000,-250.00000,-250.00000,-380.00000,9.00000,123.00000,1670.00000,59.00000,-380.00000
2019-12-31,1500.00000,412.00000,34.00000,446.00000,-69.00000,-104.00000,-10.00000,40.00000,-151.00000,1795.00000,-439.00000,,-195.00000,101.00000,101.00000,29.00000,-504.00000,,-9.00000,-9.00000,-626.00000,-626.00000,-314.00000,-2.00000,-951.00000,332.00000,67.00000,-314.00000
2018-12-31,1424.00000,308.00000,-54.00000,254.00000,-67.00000,61.00000,37.00000,14.00000,112.00000,1790.00000,-282.00000,,-1998.00000,28.00000,28.00000,-7.00000,-2259.00000,1496.00000,8.00000,1504.00000,-698.00000,-698.00000,-243.00000,-30.00000,533.00000,38.00000,53.00000,-243.00000
2017-12-31,862.00000,242.00000,252.00000,494.00000,-50.00000,19.00000,-10.00000,-54.00000,-10.00000,1346.00000,-187.00000,,-82.00000,,,-1.00000,-270.00000,481.00000,,481.00000,-500.00000,-500.00000,-206.00000,-26.00000,-251.00000,837.00000,44.00000,-206.00000
2016-12-31,819.00000,240.00000,88.00000,328.00000,15.00000,-101.00000,-28.00000,-340.00000,-434.00000,713.00000,-126.00000,,-88.00000,,,,-214.00000,-400.00000,-5.00000,-405.00000,-300.00000,-300.00000,-188.00000,-10.00000,-903.00000,-427.00000,37.00000,-188.00000
2015-12-31,339.00000,199.00000,334.00000,533.00000,-58.00000,-262.00000,17.00000,61.00000,-208.00000,664.00000,-222.00000,,-883.00000,,,-10.00000,-1115.00000,1117.00000,-2.00000,1115.00000,-203.00000,-203.00000,-168.00000,11.00000,755.00000,272.00000,43.00000,-168.00000
2014-12-31,587.00000,204.00000,84.00000,288.00000,69.00000,-110.00000,-210.00000,11.00000,-249.00000,626.00000,-171.00000,-15.00000,,,,-1.00000,-187.00000,,-8.00000,-8.00000,,,-146.00000,,-154.00000,272.00000,32.00000,-146.00000
2013-12-31,503.00000,209.00000,94.00000,303.00000,-99.00000,-178.00000,-82.00000,225.00000,-125.00000,681.00000,-175.00000,,,,,-4.00000,-179.00000,2625.00000,16.00000,2641.00000,,,-98.00000,-2743.00000,-200.00000,293.00000,43.00000,-98.00000
2012-12-31,436.00000,200.00000,-33.00000,167.00000,-65.00000,-318.00000,96.00000,57.00000,-149.00000,454.00000,-123.00000,,,,,-12.00000,-135.00000,,,,,,-63.00000,-15.00000,-78.00000,238.00000,28.00000,-63.00000
2011-12-31,248.00000,205.00000,161.00000,366.00000,-85.00000,40.00000,-16.00000,-4.00000,-117.00000,497.00000,-101.00000,,-345.00000,,,-3.00000,-449.00000,-143.00000,,-143.00000,,,-416.00000,529.00000,-30.00000,16.00000,19.00000,-416.00000
2010-12-31,111.00000,185.00000,-142.00000,43.00000,30.00000,117.00000,25.00000,-14.00000,100.00000,254.00000,79.00000,,-81.00000,,,-7.00000,-9.00000,,,,-3.00000,-3.00000,-207.00000,-67.00000,-277.00000,-36.00000,16.00000,-207.00000
