,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,569.17900,479.59900,-106.00000,373.59900,66.09300,-48.63400,-43.80400,,-262.96800,679.81000,-71.12700,,-7.51800,-47.18100,-47.18100,-7.02500,-132.85100,-57.87600,-501.29200,-559.16800,-66.52400,-66.52400,-35.34400,-0.76700,-661.80300,-148.59100,51.51800,-35.34400
2021-12-31,943.15700,351.60600,-17.00300,334.60300,165.59000,32.28000,-7.57700,,132.99000,1410.75000,-84.56000,,-3982.21600,-23.13000,-23.13000,-22.85200,-4112.75800,2587.63900,486.33000,3073.96900,-47.95200,-47.95200,-32.37300,-51.98700,2941.65700,216.72300,29.67500,-32.37300
2020-12-31,727.88700,206.87000,108.74000,315.61000,-398.85300,-127.35700,63.23100,,-151.32000,892.17700,-59.35400,,-411.49500,-20.05900,-20.05900,-13.59000,-504.49800,-182.97600,-4.49400,-187.47000,30.72700,30.72700,-31.21200,-14.91700,-202.87200,210.72000,26.90400,-31.21200
2019-12-31,227.55800,239.46100,35.00200,274.46300,-100.63000,-9.60700,7.35100,,-164.65900,363.46900,-75.78100,-5.00000,-400.40500,-6.38700,-6.38700,,-487.57300,223.84610,-14.97500,208.87110,13.41900,13.41900,-31.05900,-41.10100,150.13000,25.57900,31.51400,-31.05900
2018-12-31,237.92700,203.20100,-11.27700,191.92400,-94.51200,-30.18300,8.90000,,-130.72800,311.03800,-55.22600,,-97.68600,-7.01900,-7.01900,0.07200,-159.85900,-37.66000,-28.38300,-66.04300,-32.61200,-32.61200,-31.00900,-49.56600,-179.23000,-36.05500,28.76700,-31.00900
2017-12-31,292.63300,113.78000,-69.86000,43.92000,-36.63300,-17.92300,34.33100,,-37.66100,288.45300,-37.98900,,-1527.18300,-10.78300,-10.78300,309.36500,-1266.59000,824.98710,-2.83100,822.15610,14.17000,14.17000,-30.79300,-23.29700,782.23600,-174.19800,25.42100,-30.79300
2016-12-31,234.29900,102.50500,34.33200,136.83700,-18.96000,6.75200,30.71600,,-35.03200,350.61500,-10.70200,,-71.92400,,,-1.25800,-83.88400,64.19000,-1.09600,63.09400,-137.38300,-137.38300,-30.79900,-9.92300,-115.01100,138.29800,17.15800,-30.79900
2015-12-31,212.42500,114.13500,18.53600,132.67100,4.06100,-27.93100,-10.89700,-2.43500,-67.37900,287.09800,-28.21800,,-72.04000,,,-0.59800,-100.85600,-34.00000,-1.07200,-35.07200,-61.53400,-61.53400,-31.57100,21.03800,-107.13900,63.11100,17.27800,-31.57100
2014-12-31,157.77800,114.32400,-7.41000,106.91400,-12.05900,-19.44300,2.84700,0.00000,-60.27700,281.59700,-24.62100,,-271.47700,,,0.20100,-295.89700,119.00000,-12.67500,106.32500,-41.07400,-41.07400,-31.62000,-2.70000,30.93100,1.57900,14.05700,-31.62000
2013-12-31,167.21200,133.58400,-9.42700,124.15700,-14.07100,-14.17100,-1.08300,0.00000,-114.60200,158.59100,13.22100,,-15.69900,,,1.26700,-1.21100,-161.11900,144.28100,-16.83800,-107.08500,-107.08500,-31.60000,1.36300,-154.16000,1.79800,14.05300,-31.60000
2012-12-31,69.94000,133.85700,55.19300,189.05000,-44.87800,-7.86000,-8.08300,1.76700,-142.15600,152.17000,-42.40100,,-40.85800,,,2.95000,-80.30900,,-35.57600,-35.57600,30.37400,30.37400,-31.90300,-7.05800,-44.16300,29.10200,20.62500,-31.90300
2011-12-31,7.65500,120.66400,21.63400,142.29800,-20.59700,-2.20000,-1.77600,-9.32100,-0.05300,224.87400,-30.13600,,-914.04100,,,34.31600,-909.86100,496.86000,21.69700,518.55700,-86.26900,-86.26900,-31.82900,-3.25500,397.20400,-277.74400,15.48200,-31.82900
2010-12-31,390.98300,91.77600,-284.75400,-192.97800,-38.10300,-22.53500,27.78900,2.40500,-37.58400,164.25300,-22.63200,,-150.37400,,,468.15500,295.14900,-140.84600,-0.14900,-140.99500,-43.73300,-43.73300,-32.99200,-0.64700,-218.36700,240.37900,12.41600,-32.99200
2009-12-31,82.08100,84.44300,67.20600,151.64900,-30.43900,-3.67500,-10.43500,0.22200,-106.35600,148.72200,-25.51600,,-101.92600,,,-26.42500,-153.86700,44.95300,-0.11600,44.83700,-8.37500,-8.37500,-32.70100,-1.34900,2.41200,0.59700,13.99500,-32.70100
