,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,670.70100,941.73300,-195.40800,746.32490,-0.27300,77.85000,-200.28200,-122.70500,1294.32100,-5190.84300,,-46.05400,-46.05400,156.43900,-5080.45800,1373.79600,1373.79600,2346.44400,2346.44400,-757.74200,1267.27500,4229.77200,442.74800,57.74000,-757.74200
2021-12-31,654.28200,775.68100,-324.50000,451.18100,-0.04400,60.92900,-156.15100,-95.26600,1010.19700,-7333.92500,-9.04800,2.39300,2.39300,233.25600,-7107.32400,1255.74200,1255.74200,3529.09700,3529.09700,-655.96800,1787.49000,5916.36100,-182.47800,48.66900,-655.96800
2020-12-31,827.17100,647.79900,-522.07800,125.72100,2.80400,-1.12200,-72.06400,-70.38200,882.51000,-3268.84400,,-36.95000,-36.95000,27.63300,-3278.16100,796.68160,796.68160,2315.86200,2315.86200,-532.98000,170.79200,2750.35600,355.01600,43.50200,-532.98000
2019-12-31,404.04700,520.12700,-203.15200,316.97510,-0.89700,39.01200,-75.28000,-37.16500,683.85700,-3668.47800,,-102.08100,-102.08100,129.23900,-3641.32000,1290.97000,1290.97000,1216.44500,1207.20500,-451.17000,880.47700,2927.48200,-29.44100,43.64000,-447.02900
2018-12-31,402.79300,463.58800,-240.44900,223.13910,0.43500,21.90900,-77.93700,-55.59300,570.33900,-1944.15800,-35.92200,-248.27200,-248.27200,66.59200,-2161.76000,718.21680,718.21680,1293.30100,1279.32500,-385.83900,-23.27000,1588.43300,-5.05600,35.01900,-380.63200
2017-12-31,194.20400,406.36500,-93.89700,312.46800,-0.50200,25.57300,-80.86100,-55.79000,450.88200,-1553.83700,-60.29100,-159.27400,-159.27400,36.27600,-1737.12600,602.42680,602.42680,1275.39700,1127.11300,-321.75000,12.55100,1420.34100,135.82000,25.61000,-312.13100
2016-12-31,-49.79900,319.03900,165.90300,484.94200,-0.28500,5.32200,-46.69300,-41.65600,393.48700,-1438.28700,,-63.33800,-63.33800,3.21900,-1498.40600,6.10110,6.10110,1432.17700,1225.35100,-262.76100,125.08400,1093.77500,-12.60400,25.43300,-240.34700
2015-12-31,146.11400,265.80200,-38.67800,227.12400,0.00700,43.80000,-74.43400,-30.62700,342.61100,-683.34000,,-37.83600,-37.83600,-1.21900,-722.39500,200.81100,200.81100,78.46300,78.46300,-243.09000,382.94200,419.12600,39.08700,17.51200,-218.10400
2014-12-31,106.77800,232.27700,10.89800,243.17500,-0.67300,26.65200,-41.60700,-15.62800,334.32500,-544.08000,,-41.25700,-41.25700,-49.49200,-634.82900,569.07200,569.07200,,-14.41400,-228.27100,4.92500,331.31200,28.31500,13.99600,-202.38600
2013-12-31,140.24900,197.92700,-20.66400,177.26300,-1.51900,56.95800,-60.22400,-4.78500,312.72700,-561.49000,,-19.55300,-19.55300,-10.33200,-591.37500,-121.16890,-121.16890,534.08500,534.08500,-194.96100,-20.38500,197.57000,-83.27500,15.55200,-169.07600
2012-12-31,105.52800,199.14800,-14.43000,184.71800,-0.98100,65.69700,-49.42900,15.28700,305.53300,-555.02200,,-9.25100,-9.25100,6.17300,-558.10000,482.09300,482.09300,13.24400,8.47400,-154.31700,-21.39000,314.86000,62.43200,14.16000,-126.49800
2011-12-31,135.39300,161.81300,-10.66000,151.15300,-2.35900,41.82300,-79.05000,-39.58600,246.96000,-714.99000,,-16.40600,-16.40600,-2.18300,-733.57900,405.15100,405.15100,232.21700,232.21700,-135.24600,-22.96600,479.15600,-12.69300,11.75500,-106.88900
2010-12-31,139.02200,136.66300,-28.36100,108.30200,-1.30100,8.72000,-27.73700,-20.31800,227.00600,-449.66000,,-13.10900,-13.10900,18.02400,-444.74500,98.53400,98.53400,247.91000,247.91000,-96.23100,-12.30100,237.91200,20.60400,10.81600,-67.87400
2009-12-31,141.64800,127.80600,-16.34800,111.45800,2.55100,-24.85600,-23.84700,-46.15200,206.95400,-425.06400,,-7.26200,-7.26200,25.76000,-406.56600,-170.16890,-170.16890,491.18000,491.18000,-115.00900,-7.64700,198.35500,-0.53300,14.05100,-86.65200
