,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,471.00000,224.00000,190.00000,414.00000,-84.00000,-18.00000,15.00000,-99.00000,786.00000,-251.00000,,22.00000,-229.00000,-320.00000,237.00000,-83.00000,-20.00000,-20.00000,-586.00000,-689.00000,-138.00000,52.00000,-586.00000
2021-06-30,719.00000,540.00000,28.00000,568.00000,82.00000,-282.00000,-32.00000,-11.00000,1276.00000,-331.00000,-85.00000,-36.00000,-452.00000,,,,-802.00000,-802.00000,-589.00000,-1391.00000,-555.00000,50.00000,-589.00000
2020-06-30,939.00000,180.00000,78.00000,258.00000,-27.00000,50.00000,21.00000,349.00000,1546.00000,-254.00000,,2.00000,-252.00000,492.00000,-396.00000,96.00000,-86.00000,-86.00000,-533.00000,-523.00000,766.00000,50.00000,-533.00000
2019-06-30,820.00000,180.00000,-6.00000,174.00000,-32.00000,-7.00000,-6.00000,-2.00000,992.00000,-206.00000,,10.00000,-196.00000,,189.00000,189.00000,-514.00000,-514.00000,-490.00000,-815.00000,-21.00000,43.00000,-490.00000
2018-06-30,823.00000,166.00000,74.00000,240.00000,-24.00000,-21.00000,4.00000,-87.00000,976.00000,-194.00000,-681.00000,16.00000,-859.00000,491.00000,-214.00000,277.00000,-226.00000,-226.00000,-450.00000,-399.00000,-285.00000,53.00000,-450.00000
2017-06-30,701.00000,163.00000,48.00000,211.00000,-1.00000,-19.00000,-5.00000,-47.00000,865.00000,-231.00000,,26.00000,-205.00000,,-125.00000,-125.00000,-108.00000,-108.00000,-412.00000,-645.00000,14.00000,51.00000,-412.00000
2016-06-30,648.00000,165.00000,61.00000,226.00000,-52.00000,-45.00000,6.00000,-96.00000,778.00000,-172.00000,-290.00000,32.00000,-430.00000,-300.00000,426.00000,126.00000,-44.00000,-44.00000,-398.00000,-316.00000,19.00000,45.00000,-398.00000
2015-06-30,580.00000,169.00000,16.00000,185.00000,6.00000,-25.00000,6.00000,109.00000,874.00000,-125.00000,,19.00000,-106.00000,-80.00000,-48.00000,-128.00000,-183.00000,-183.00000,-385.00000,-696.00000,53.00000,32.00000,-385.00000
2014-06-30,558.00000,177.00000,23.00000,200.00000,20.00000,1.00000,5.00000,9.00000,767.00000,-137.00000,,-1.00000,-138.00000,,-60.00000,-60.00000,-164.00000,-164.00000,-368.00000,-592.00000,30.00000,36.00000,-368.00000
2013-06-30,572.00000,180.00000,43.00000,223.00000,-10.00000,-11.00000,12.00000,-20.00000,775.00000,-190.00000,,135.00000,-55.00000,-257.00000,-98.00000,-355.00000,5.00000,5.00000,-335.00000,-685.00000,32.00000,35.00000,-335.00000
2012-06-30,541.00000,178.00000,-27.00000,151.00000,-52.00000,1.00000,-3.00000,-80.00000,612.00000,-192.00000,-93.00000,8.00000,-277.00000,297.00000,-164.00000,133.00000,-139.00000,-139.00000,-315.00000,-321.00000,8.00000,27.00000,-315.00000
2011-06-30,557.00000,431.00000,-145.00000,286.00000,-33.00000,-37.00000,21.00000,-145.00000,698.00000,-228.00000,747.00000,25.00000,544.00000,-300.00000,87.00000,-213.00000,-562.00000,-562.00000,-303.00000,-1078.00000,172.00000,32.00000,-303.00000
2010-06-30,603.00000,183.00000,47.00000,230.00000,-21.00000,6.00000,-9.00000,-14.00000,819.00000,-201.00000,-19.00000,-11.00000,-231.00000,-302.00000,-52.00000,-354.00000,-70.00000,-70.00000,-282.00000,-706.00000,-119.00000,60.00000,-282.00000
2009-06-30,537.00000,188.00000,74.00000,262.00000,-10.00000,-5.00000,-8.00000,-61.00000,738.00000,-196.00000,,-1.00000,-197.00000,11.00000,-334.00000,-323.00000,41.00000,41.00000,-258.00000,-540.00000,-8.00000,58.00000,-258.00000
