,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,5895.60000,81.40000,204.60000,286.00000,-1723.20000,,-4932.10000,-5619.80000,561.80000,-148.20000,-271.50000,,,,4.80000,-414.90000,448.80000,448.80000,-1129.80000,-1129.80000,-316.50000,186.30000,-811.20000,-664.30000,105.10000,-316.50000
2021-09-30,4191.20000,82.10000,114.10000,196.20000,-303.60000,,-4394.50000,-3853.00000,534.40000,-229.80000,-24.50000,,,,2.10000,-252.20000,715.30000,715.30000,-814.90000,-814.90000,-289.30000,303.80000,-85.10000,197.10000,91.40000,-289.30000
2020-09-30,2380.50000,90.60000,56.20000,146.80000,,,-1671.90000,-1105.70000,1421.60000,-157.00000,-9.70000,,,,0.60000,-166.10000,663.20010,663.20010,-360.40000,-360.40000,-256.00000,223.80000,270.60000,1526.10000,77.80000,-256.00000
2019-09-30,1618.60000,82.90000,93.40000,176.30000,,,-1029.00000,-902.80000,892.10000,-80.30000,-315.80000,,,,2.10000,-394.00000,-157.90010,-157.90010,-379.10000,-379.10000,-227.30000,274.20000,-490.10000,8.00000,73.20000,-227.30000
2018-09-30,1462.30000,72.30000,257.50000,329.80000,,,-1376.00000,-1246.90000,545.20000,154.60000,-159.20000,,17.50000,17.50000,6.10000,19.00000,-18.20000,-18.20000,-127.50000,-127.50000,-191.60000,254.80000,-82.50000,481.70000,55.80000,-191.60000
2017-09-30,1038.40000,59.70000,210.20000,269.90000,,,-942.80000,-868.10000,440.20000,-157.30000,-4.10000,,,,-2.60000,-164.00000,-357.30000,-357.30000,-60.60000,-60.60000,-149.60000,2.90000,-564.60000,-288.40000,59.20000,-149.60000
2016-09-30,886.30000,73.60000,151.20000,224.80000,,,-535.20000,-487.20000,623.90000,-86.10000,-82.20000,,,,55.70000,-112.60000,-544.80000,-544.80000,,,-118.70000,71.60000,-591.90000,-80.60000,49.00000,-118.70000
2015-09-30,750.70000,69.50000,93.30000,162.80000,,,-273.40000,-213.10000,700.40000,-0.10000,-70.90000,,,,-24.40000,-95.40000,134.50000,134.50000,,,-91.60000,74.10000,117.00000,722.00000,42.20000,-91.60000
2014-09-30,533.50000,65.80000,128.20000,194.00000,,,-1504.80000,-1388.90000,-661.40000,-100.20000,-244.10000,,,,62.20000,-282.10000,630.70000,630.70000,,,-48.60000,45.80000,627.90000,-315.60000,26.20000,-48.60000
2013-09-30,462.70000,62.40000,174.10000,236.50000,,139.50000,-2082.40000,-1928.50000,-1229.30000,-58.00000,-9.40000,296.50000,1.40000,297.90000,-49.60000,180.90000,962.80000,962.80000,,,-60.20000,36.40000,939.00000,-109.40000,19.00000,-60.20000
2012-09-30,956.30000,59.20000,-685.50000,-626.30000,,,-733.80000,-622.20000,-292.20000,-33.60000,-96.50000,-8.00000,,-8.00000,-4.90000,-143.00000,748.40000,748.40000,,,-47.80000,50.90000,751.50000,316.30000,18.10000,-47.80000
2011-09-30,71.80000,57.10000,70.30000,127.40000,,,-82.10000,-180.30000,18.90000,-16.30000,,-7.60000,,-7.60000,0.60000,-23.30000,-489.30000,-489.30000,-38.60000,-38.60000,-47.80000,3.40000,-572.30000,-576.70000,14.20000,-47.80000
2010-09-30,245.10000,49.20000,80.10000,129.30000,,,114.30000,335.00000,709.40000,-19.20000,,-300.30000,,-300.30000,1.50000,-318.00000,-1002.10000,-1002.10000,,,-47.70000,10.40000,-1039.40000,-648.00000,13.30000,-47.70000
2009-09-30,-549.80000,36.60000,631.00000,667.60000,,,742.40000,1023.40000,1141.20000,-6.20000,,0.00000,,,-53.20000,-59.40000,-468.70000,-468.70000,,,-47.50000,4.40000,-511.80000,570.00000,13.70000,-47.50000
