,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1015.00000,437.00000,81.00000,518.00000,246.00000,53.00000,119.00000,1718.00000,-404.00000,,-144.00000,5.00000,5.00000,,-543.00000,-2.00000,-2.00000,-1285.00000,-1285.00000,-305.00000,-140.00000,-1732.00000,-557.00000,77.00000,-305.00000
2021-12-31,2080.00000,408.00000,-288.00000,120.00000,81.00000,-9.00000,87.00000,2233.00000,-403.00000,,-331.00000,,,755.00000,21.00000,-2.00000,-2.00000,-2070.00000,-2070.00000,-309.00000,-159.00000,-2540.00000,-286.00000,79.00000,-309.00000
2020-12-31,1499.00000,361.00000,201.00000,562.00000,-455.00000,3.00000,22.00000,2005.00000,-418.00000,,-330.00000,-24.00000,-24.00000,,-772.00000,-805.00000,-805.00000,-136.00000,-136.00000,-297.00000,-29.00000,-1267.00000,-34.00000,97.00000,-297.00000
2019-12-31,906.00000,329.00000,12.00000,341.00000,-63.00000,-4.00000,35.00000,1243.00000,-400.00000,,-58.00000,-44.00000,-44.00000,91.00000,-411.00000,832.00000,832.00000,-234.00000,-234.00000,-286.00000,-87.00000,225.00000,1057.00000,56.00000,-286.00000
2018-12-31,788.00000,309.00000,146.00000,455.00000,-65.00000,31.00000,-49.00000,1200.00000,-383.00000,,-421.00000,1.00000,1.00000,2.00000,-801.00000,124.00000,124.00000,-223.00000,-223.00000,-266.00000,-36.00000,-401.00000,-2.00000,61.00000,-266.00000
2017-12-31,824.00000,270.00000,98.00000,368.00000,9.00000,-26.00000,-9.00000,1175.00000,-252.00000,,-580.00000,1.00000,1.00000,1.00000,-830.00000,23.00000,23.00000,-335.00000,-335.00000,-247.00000,-33.00000,-592.00000,-247.00000,79.00000,-247.00000
2016-12-31,696.00000,249.00000,38.00000,287.00000,-42.00000,79.00000,135.00000,1116.00000,-293.00000,,-139.00000,10.00000,10.00000,295.00000,-127.00000,141.00000,141.00000,-517.00000,-517.00000,-223.00000,-139.00000,-738.00000,251.00000,69.00000,-223.00000
2015-12-31,753.00000,304.00000,133.00000,437.00000,-262.00000,-42.00000,-369.00000,821.00000,-263.00000,,-67.00000,-32.00000,-32.00000,,-362.00000,-84.00000,-84.00000,-164.00000,-164.00000,-212.00000,-58.00000,-518.00000,-59.00000,52.00000,-212.00000
2014-12-31,592.00000,314.00000,370.00000,684.00000,-312.00000,2.00000,-320.00000,944.00000,-308.00000,,-728.00000,11.00000,11.00000,,-1025.00000,371.00000,371.00000,-54.00000,-54.00000,-187.00000,-44.00000,86.00000,5.00000,51.00000,-187.00000
2013-12-31,883.00000,283.00000,-161.00000,122.00000,-247.00000,-11.00000,-372.00000,652.00000,-231.00000,474.00000,83.00000,2.00000,2.00000,,328.00000,-4.00000,-4.00000,-899.00000,-899.00000,-185.00000,-18.00000,-1106.00000,-109.00000,28.00000,-185.00000
2012-12-31,592.00000,287.00000,408.00000,695.00000,-243.00000,64.00000,-92.00000,1187.00000,-182.00000,0.00000,-51.00000,16.00000,16.00000,,-217.00000,-654.00000,-654.00000,-38.00000,-38.00000,-108.00000,-22.00000,-822.00000,131.00000,50.00000,-108.00000
2011-12-31,506.00000,281.00000,613.00000,894.00000,-307.00000,-227.00000,-513.00000,895.00000,-161.00000,,-1299.00000,217.00000,217.00000,,-1243.00000,979.00000,979.00000,-798.00000,-798.00000,-65.00000,-52.00000,64.00000,-284.00000,72.00000,-65.00000
2010-12-31,757.01700,253.96400,325.90200,579.86600,-309.93200,16.16200,-241.80300,1118.04700,-205.40000,,,-11.11000,-11.11000,,-216.51000,-169.49100,-169.49100,-701.46500,-701.46500,-71.32100,-44.21500,-986.49200,-84.95500,53.92700,-71.32100
2009-12-31,766.22200,256.68700,473.61300,730.30000,-314.10200,-292.42400,-528.80300,997.41800,-166.92800,,-18.29500,-10.68100,-10.68100,,-195.90400,26.98710,26.98710,-412.87100,-412.87100,-74.74800,-60.57200,-521.20400,280.31000,75.05900,-74.74800
