,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,8978.00000,3280.00000,-200.00000,3080.00000,-1763.00000,-1142.00000,118.00000,-888.00000,10811.00000,-4956.00000,-824.00000,-117.00000,,-117.00000,3467.00000,-2430.00000,-797.00000,-13.00000,-810.00000,-1362.00000,-1362.00000,-6172.00000,-179.00000,-8523.00000,-607.00000,343.00000,-6172.00000
2021-12-31,7679.00000,3215.00000,-371.00000,2844.00000,-651.00000,-582.00000,159.00000,718.00000,11616.00000,-4459.00000,108.00000,1077.00000,,1077.00000,5.00000,-3269.00000,-4177.00000,45.00000,-4132.00000,79.00000,79.00000,-5815.00000,-912.00000,-10780.00000,-2547.00000,301.00000,-5815.00000
2020-12-31,7175.00000,3026.00000,551.00000,3577.00000,-420.00000,-516.00000,26.00000,-303.00000,10613.00000,-4185.00000,-6366.00000,-1108.00000,,-1108.00000,40.00000,-11619.00000,10879.00000,414.00000,11293.00000,-1821.00000,-1821.00000,-5509.00000,-144.00000,3819.00000,2684.00000,264.00000,-5509.00000
2019-12-31,7353.00000,2844.00000,127.00000,2971.00000,-650.00000,-190.00000,-87.00000,-479.00000,9649.00000,-4062.00000,-2464.00000,97.00000,,97.00000,-8.00000,-6437.00000,-356.00000,1.00000,-355.00000,-2671.00000,-2671.00000,-5304.00000,-159.00000,-8489.00000,-5199.00000,237.00000,-5304.00000
2018-12-31,12559.00000,2399.00000,-6197.00000,-3798.00000,-253.00000,-174.00000,9.00000,912.00000,9415.00000,-3148.00000,-991.00000,8701.00000,,8701.00000,2.00000,4564.00000,-5596.00000,-1366.00000,-6962.00000,-1719.00000,-1719.00000,-4930.00000,-158.00000,-13769.00000,112.00000,256.00000,-4930.00000
2017-12-31,4908.00000,2369.00000,3545.00000,5914.00000,-202.00000,-168.00000,20.00000,-487.00000,10030.00000,-2789.00000,206.00000,-1849.00000,,-1849.00000,29.00000,-4403.00000,3103.00000,-1053.00000,2050.00000,-1538.00000,-1543.00000,-4472.00000,-221.00000,-4186.00000,1488.00000,292.00000,-4472.00000
2016-12-31,6379.00000,2368.00000,950.00000,3318.00000,-349.00000,-75.00000,10.00000,896.00000,10663.00000,-2941.00000,-127.00000,-4089.00000,,-4089.00000,7.00000,-7150.00000,4713.00000,1537.00000,6250.00000,-2535.00000,-2542.00000,-4227.00000,-2692.00000,-3211.00000,50.00000,284.00000,-4227.00000
2015-12-31,5501.00000,2416.00000,1955.00000,4371.00000,-461.00000,-244.00000,-50.00000,992.00000,10864.00000,-2672.00000,-10.00000,-314.00000,,-314.00000,-573.00000,-3569.00000,4607.00000,25.00000,4632.00000,-4496.00000,-4501.00000,-4040.00000,-203.00000,-4112.00000,2962.00000,295.00000,-4040.00000
2014-12-31,6558.00000,2625.00000,433.00000,3058.00000,-343.00000,-111.00000,80.00000,1159.00000,10506.00000,-2744.00000,115.00000,-2298.00000,,-2298.00000,-10.00000,-4937.00000,1666.00000,-1997.00000,-331.00000,-4257.00000,-4267.00000,-3730.00000,64.00000,-8264.00000,-3241.00000,297.00000,-3730.00000
2013-12-31,6787.00000,2663.00000,-371.00000,2292.00000,-88.00000,4.00000,-51.00000,958.00000,9688.00000,-2686.00000,21.00000,61.00000,,61.00000,-21.00000,-2625.00000,301.00000,1165.00000,1466.00000,-1878.00000,-1885.00000,-3434.00000,64.00000,-3789.00000,3078.00000,303.00000,-3434.00000
2012-12-31,6214.00000,2689.00000,-658.00000,2031.00000,-250.00000,144.00000,89.00000,434.00000,8479.00000,-2619.00000,-459.00000,61.00000,,61.00000,12.00000,-3005.00000,3550.00000,-1461.00000,2089.00000,-2097.00000,-2104.00000,-3305.00000,14.00000,-3306.00000,2230.00000,278.00000,-3305.00000
2011-12-31,6462.00000,2737.00000,1277.00000,4014.00000,-666.00000,-331.00000,-27.00000,-844.00000,8944.00000,-3255.00000,-2249.00000,66.00000,-164.00000,-98.00000,-16.00000,-5618.00000,633.00000,303.00000,936.00000,-1544.00000,-1551.00000,-3157.00000,-1363.00000,-5135.00000,-1876.00000,326.00000,-3157.00000
2010-12-31,6338.00000,2327.00000,-848.00000,1479.00000,-268.00000,276.00000,144.00000,763.00000,8448.00000,-3172.00000,-3804.00000,-212.00000,-463.00000,-675.00000,-17.00000,-7668.00000,5892.00000,2482.00000,8374.00000,-3940.00000,-3945.00000,-2978.00000,-65.00000,1386.00000,2000.00000,299.00000,-2978.00000
2009-12-31,5979.00000,1635.00000,-801.00000,834.00000,188.00000,17.00000,-127.00000,264.00000,6796.00000,-2070.00000,-386.00000,55.00000,,55.00000,,-2401.00000,831.00000,-1018.00000,-187.00000,413.00000,406.00000,-2732.00000,16.00000,-2497.00000,1879.00000,227.00000,-2732.00000
