,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1403.80000,224.80000,147.50000,372.30000,-129.10000,-197.90000,-350.10000,-166.90000,-844.00000,926.50000,-78.20000,-276.80000,,-25.90000,-25.90000,,-380.90000,,8.90000,8.90000,-594.00000,-594.00000,-601.90000,-175.00000,-1362.00000,-1035.00000,81.70000,-601.90000
2021-12-31,1507.60000,203.30000,34.20000,237.50000,-989.10000,-281.70000,921.30000,510.00000,160.49990,1945.40000,-665.80000,-45.90000,,2.50000,2.50000,,-709.20000,-28.70000,6.40000,-22.30000,-518.20000,-518.20000,-614.20000,-236.30000,-1391.00000,-283.70000,84.70000,-614.20000
2020-12-31,1020.80000,214.50000,348.70000,563.20000,141.20000,293.00000,-428.60000,25.30000,30.90000,1724.60000,-75.40000,-63.90000,,3.20000,3.20000,,-136.10000,586.60000,-5.60000,581.00000,-217.90000,-217.90000,-585.00000,-186.50000,-408.40000,1294.80000,70.80000,-585.00000
2019-12-31,1435.90000,216.70000,78.30000,295.00000,,,,125.10000,125.10000,1856.00000,-102.20000,69.40000,,1.90000,1.90000,,-30.90000,212.40000,2.00000,214.40000,-603.70000,-603.70000,-661.60000,-171.10000,-1222.00000,653.30000,72.50000,-661.60000
2018-12-31,1440.50000,251.10000,-49.80000,201.30000,,,,80.50000,80.50000,1722.30000,-195.70000,-42.00000,,15.90000,15.90000,,-221.80000,,,,-568.30000,-568.30000,-548.50000,-324.30000,-1441.10000,-143.60000,70.50000,-548.50000
2017-12-31,1192.20000,269.20000,214.00000,483.20000,-341.60000,5.40000,763.20000,-78.50000,348.50000,2023.90000,-156.00000,-26.30000,,66.90000,66.90000,,-115.40000,,-18.10000,-18.10000,-557.70000,-557.70000,-616.90000,-149.90000,-1342.60000,793.80000,80.20000,-616.90000
2016-12-31,1246.70000,277.50000,125.40000,402.90000,,,,302.80000,302.80000,1952.40000,-165.50000,-308.80000,,-7.30000,-7.30000,,-481.60000,389.60000,-1.20000,388.40000,-575.40000,-575.40000,-592.60000,-218.70000,-998.30000,397.00000,93.40000,-592.60000
2015-12-31,1203.40000,281.90000,99.40000,381.30000,,,,559.50000,559.50000,2199.50000,-202.70000,-60.30000,-0.50000,,-0.50000,,-263.50000,,-1.10000,-1.10000,-707.40000,-707.40000,-496.70000,-251.10000,-1456.30000,217.10000,99.40000,-496.70000
2014-12-31,1233.10000,287.20000,63.90000,351.10000,,,,-106.20000,-106.20000,1476.50000,-213.00000,-74.90000,21.00000,,21.00000,,-266.90000,494.90000,2.10000,497.00000,-1023.70000,-1023.70000,-468.00000,-263.40000,-1258.10000,-322.40000,93.50000,-468.00000
2013-12-31,1111.60000,277.50000,48.50000,326.00000,,,,351.30000,351.30000,1809.00000,-212.00000,-32.80000,,,,16.60000,-228.20000,-406.70000,-0.40000,-407.10000,-523.00000,-523.00000,-419.00000,-70.70000,-1419.80000,32.20000,86.30000,-419.00000
2012-12-31,1117.50000,282.70000,24.70000,307.40000,,,,25.20000,25.20000,1451.30000,-226.30000,-132.70000,,8.60000,8.60000,,-350.40000,1273.20000,-3.30000,1269.90000,-917.30000,-917.30000,-98.40000,-474.30000,-220.10000,897.10000,80.80000,-98.40000
2011-12-31,1060.40000,273.70000,-94.40000,179.30000,,,,29.20000,29.20000,1315.30000,-185.50000,-403.70000,,14.60000,14.60000,,-574.60000,-0.10000,-43.10000,-43.20000,-731.50000,-731.50000,-370.40000,-60.60000,-1205.70000,-507.50000,74.50000,-370.40000
2010-12-31,923.70000,253.00000,1.00000,254.00000,,,,310.30000,310.30000,1488.00000,-153.70000,-152.10000,12.10000,,12.10000,,-293.70000,923.60000,35.00000,958.60000,-1172.90000,-1172.90000,-310.70000,-12.30000,-537.30000,701.70000,69.30000,-310.70000
2009-12-31,871.40000,242.80000,53.00000,295.80000,,,,564.40000,564.40000,1731.60000,-130.60000,-137.40000,42.00000,,42.00000,,-226.00000,-818.20000,2.50000,-815.70000,3.60000,3.60000,-278.80000,-37.10000,-1128.00000,489.70000,78.60000,-278.80000
