,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-03-31,1033.35300,361.41500,178.27600,539.69100,-107.89600,-236.19600,-201.84400,-523.80100,1049.24300,-602.60200,,,,,6.64600,-595.95600,301.57000,301.57000,-1113.98400,-1113.98400,-63.09600,-875.51000,-425.50400,83.50700
2021-03-31,733.61100,456.10400,133.80100,589.90510,-91.27500,9.39000,-4.65000,-21.66300,1301.85300,-234.02900,,,,,15.37100,-218.65800,118.75600,118.75600,-472.48600,-472.48600,-48.19300,-401.92300,682.69700,89.32200
2020-03-31,334.32500,468.93100,63.74100,532.67200,21.02900,10.25200,-16.72700,78.64900,945.64600,-1110.14700,,,,,4.40500,-1105.74200,659.00000,659.00000,-464.93300,-464.93300,-28.50800,165.55900,4.23000,75.97800
2019-03-31,133.12500,663.09700,110.22400,773.32100,-32.11900,-39.59000,-35.64100,-96.08200,810.36400,-220.93700,,,0.40000,0.40000,-27.01700,-247.55400,-145.33010,-145.33010,-596.78500,-596.78500,-34.54900,-776.66400,-215.02000,71.58000
2018-03-31,-40.28800,714.21500,87.89800,802.11300,12.90600,-41.88700,83.34700,90.69500,852.52000,-269.83500,,,,,-7.57400,-277.40900,-7.72900,-7.72900,-162.49500,-162.49500,-26.62400,-196.84800,380.62300,68.15800
2017-03-31,-16.55800,704.57700,67.90400,772.48100,-36.87300,-6.44200,38.38100,20.89700,776.82000,-552.70200,,-117.99400,186.32400,186.32400,-5.97600,-490.34800,,,-150.20900,-150.20900,-15.44100,-165.65000,119.71700,88.84500
2016-03-31,-28.84500,674.95100,123.50400,798.45500,36.68200,-84.11600,-37.65000,-81.68300,687.92700,-315.62400,,,49.48200,49.48200,-12.57200,-278.71400,1000.00000,1000.00000,-1248.13400,-1248.13400,-34.85000,-282.98400,125.93500,139.51600
2015-03-31,196.30300,216.98800,-49.43500,167.55300,-30.36900,10.42300,-4.29500,-58.23200,305.62400,-169.86200,,224.32400,-126.54900,-126.54900,8.14500,-63.94200,-87.50300,-87.50300,-4.80200,-4.80200,-20.59300,-112.89800,127.91600,64.94100
2014-03-31,12.64200,85.59600,35.92400,121.52000,6.16000,35.26600,-6.17100,-3.31300,130.84900,-64.25400,-1.32700,,8.54800,8.54800,,-57.03300,,,4.70000,4.70000,-8.94500,-4.24500,70.23600,29.90100
2013-03-31,-52.99900,72.36300,60.56000,132.92300,-38.40000,-19.07100,2.79300,-8.67200,71.25200,-53.79600,0.00000,-47.69700,87.01600,87.01600,,-14.47700,-79.43200,-79.43200,-3.01100,-3.01100,-7.22700,-89.67000,-33.86200,30.81900
