,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2455.00000,5843.00000,900.00000,6743.00000,-788.00000,-476.00000,805.00000,-2822.00000,-3271.00000,5927.00000,-11367.00000,-4243.00000,4333.00000,-58.00000,4275.00000,-638.00000,-11973.00000,7478.00000,574.00000,8052.00000,9.00000,9.00000,-3179.00000,1247.00000,6129.00000,83.00000,-3179.00000
2021-12-31,3579.00000,5663.00000,-262.00000,5401.00000,-297.00000,-34.00000,249.00000,-892.00000,-690.00000,8290.00000,-9715.00000,-6098.00000,5248.00000,-81.00000,5167.00000,-289.00000,-10935.00000,3758.00000,479.00000,4237.00000,5.00000,5.00000,-3114.00000,1481.00000,2609.00000,-36.00000,-3114.00000
2020-12-31,1082.00000,5486.00000,2829.00000,8315.00000,-56.00000,66.00000,-21.00000,-647.00000,-541.00000,8856.00000,-9907.00000,-8011.00000,7949.00000,-370.00000,7579.00000,-265.00000,-10604.00000,1824.00000,-319.00000,1505.00000,2745.00000,2745.00000,-2812.00000,293.00000,1731.00000,-17.00000,-2812.00000
2019-12-31,3571.00000,5176.00000,384.00000,5560.00000,78.00000,-122.00000,-164.00000,-490.00000,-922.00000,8209.00000,-11122.00000,-3348.00000,3343.00000,-324.00000,3019.00000,-506.00000,-11957.00000,3615.00000,-380.00000,3235.00000,384.00000,2346.00000,-2668.00000,817.00000,3730.00000,-18.00000,-2668.00000
2018-12-31,2644.00000,4696.00000,1052.00000,5748.00000,-345.00000,156.00000,479.00000,-1519.00000,-1206.00000,7186.00000,-9389.00000,-3762.00000,,3331.00000,3331.00000,-240.00000,-10060.00000,2393.00000,1171.00000,3564.00000,1838.00000,1838.00000,-2471.00000,29.00000,2960.00000,86.00000,-2471.00000
2017-12-31,3064.00000,4046.00000,744.00000,4790.00000,-83.00000,268.00000,-204.00000,-1360.00000,-1230.00000,6624.00000,-8052.00000,-4071.00000,,3684.00000,3684.00000,-3.00000,-8442.00000,4593.00000,-362.00000,4231.00000,,,-2450.00000,1.00000,1782.00000,-36.00000,-2450.00000
2016-12-31,2170.00000,3880.00000,662.00000,4542.00000,-372.00000,272.00000,296.00000,-281.00000,151.00000,6863.00000,-7901.00000,-4778.00000,,-224.00000,-224.00000,1375.00000,-11528.00000,7315.00000,-1447.00000,5868.00000,731.00000,731.00000,-2332.00000,-16.00000,4251.00000,60.00000,-2332.00000
2015-12-31,2831.00000,3613.00000,539.00000,4152.00000,383.00000,-237.00000,-6.00000,-385.00000,-283.00000,6700.00000,-6766.00000,-1334.00000,,2708.00000,2708.00000,115.00000,-5277.00000,-74.00000,1245.00000,1171.00000,-1483.00000,-1483.00000,-2254.00000,-36.00000,-2602.00000,-80.00000,-2254.00000
2014-12-31,1889.00000,3507.00000,1791.00000,5298.00000,58.00000,-269.00000,-30.00000,-346.00000,-601.00000,6586.00000,-5384.00000,-54.00000,,112.00000,112.00000,-47.00000,-5373.00000,-123.00000,1688.00000,1565.00000,25.00000,25.00000,-2234.00000,-34.00000,-678.00000,-13.00000,-2234.00000
2013-12-31,2676.00000,3229.00000,1385.00000,4614.00000,-281.00000,-31.00000,73.00000,-746.00000,-908.00000,6382.00000,-5526.00000,,,369.00000,369.00000,179.00000,-4978.00000,840.00000,93.00000,933.00000,9.00000,-87.00000,-2188.00000,15.00000,-1327.00000,77.00000,-2188.00000
2012-12-31,1782.00000,2652.00000,813.00000,3465.00000,39.00000,-258.00000,131.00000,227.00000,-3.00000,5244.00000,-5501.00000,-380.00000,,24.00000,24.00000,-340.00000,-6197.00000,1672.00000,278.00000,1950.00000,23.00000,23.00000,-1752.00000,46.00000,267.00000,-686.00000,-1752.00000
2011-12-31,1714.00000,2026.00000,402.00000,2428.00000,2.00000,-247.00000,41.00000,-293.00000,-470.00000,3672.00000,-4363.00000,-51.00000,,-63.00000,-63.00000,43.00000,-4434.00000,2292.00000,208.00000,2500.00000,67.00000,67.00000,-1329.00000,-36.00000,1202.00000,440.00000,-1329.00000
2010-12-31,1323.00000,1994.00000,578.00000,2572.00000,19.00000,198.00000,167.00000,202.00000,616.00000,4511.00000,-4855.00000,,,501.00000,501.00000,-69.00000,-4423.00000,1091.00000,-55.00000,1036.00000,302.00000,302.00000,-1284.00000,-14.00000,40.00000,128.00000,-1284.00000
2009-12-31,1085.00000,1846.00000,395.00000,2241.00000,-38.00000,-298.00000,-80.00000,501.00000,137.00000,3463.00000,-4433.00000,-124.00000,,19.00000,19.00000,46.00000,-4492.00000,2876.00000,-548.00000,2328.00000,519.00000,519.00000,-1222.00000,-40.00000,1585.00000,556.00000,-1222.00000
