,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-5053.00000,1979.00000,2447.00000,4426.00000,142.00000,420.00000,838.00000,-1564.00000,4139.00000,3512.00000,-1187.00000,,,5568.00000,5568.00000,-11.00000,4370.00000,-1310.00000,34.00000,-1276.00000,50.00000,50.00000,,-40.00000,-1266.00000,6510.00000,725.00000,0.00000
2021-12-31,-4290.00000,2144.00000,5707.00000,7851.00000,-713.00000,-1127.00000,-3783.00000,1600.00000,-6977.00000,-3416.00000,-451.00000,,-6.00000,9776.00000,9776.00000,5.00000,9324.00000,-15371.00000,9795.00000,-5576.00000,42.00000,42.00000,,-66.00000,-5600.00000,217.00000,833.00000,0.00000
2020-12-31,-11941.00000,2246.00000,8620.00000,10866.00000,909.00000,-11002.00000,-5363.00000,-377.00000,-17335.00000,-18410.00000,-1007.00000,,,-17341.00000,-17341.00000,-18.00000,-18366.00000,-10998.00000,47248.00000,36250.00000,36.00000,36.00000,-1158.00000,-173.00000,34955.00000,-1819.00000,250.00000,-1158.00000
2019-12-31,-636.00000,2271.00000,548.00000,2819.00000,603.00000,-12391.00000,1600.00000,254.00000,-4629.00000,-2446.00000,-1500.00000,-127.00000,9.00000,101.00000,101.00000,-13.00000,-1530.00000,-12171.00000,25389.00000,13218.00000,-2593.00000,-2593.00000,-4630.00000,-256.00000,5739.00000,1672.00000,212.00000,-4630.00000
2018-12-31,10460.00000,2114.00000,464.00000,2578.00000,-795.00000,568.00000,2.00000,1572.00000,2284.00000,15322.00000,-1602.00000,-69.00000,-3230.00000,291.00000,291.00000,-11.00000,-4621.00000,-7183.00000,8548.00000,1365.00000,-8919.00000,-8919.00000,-3946.00000,-222.00000,-11722.00000,-1250.00000,202.00000,-3946.00000
2017-12-31,8458.00000,2047.00000,589.00000,2636.00000,-840.00000,-1403.00000,130.00000,3374.00000,2252.00000,13346.00000,-1647.00000,-131.00000,-324.00000,38.00000,38.00000,6.00000,-2058.00000,-953.00000,2077.00000,1124.00000,-8925.00000,-8925.00000,-3417.00000,-132.00000,-11350.00000,-56.00000,202.00000,-3417.00000
2016-12-31,5034.00000,1889.00000,651.00000,2540.00000,326.00000,4004.00000,622.00000,-1608.00000,2922.00000,10496.00000,-2575.00000,0.00000,-297.00000,-513.00000,-513.00000,7.00000,-3378.00000,-1359.00000,1325.00000,-34.00000,-6680.00000,-6680.00000,-2756.00000,-117.00000,-9587.00000,-2570.00000,190.00000,-2756.00000
2015-12-31,5176.00000,1833.00000,559.00000,2392.00000,-1069.00000,-1110.00000,-238.00000,3733.00000,1795.00000,9363.00000,-2408.00000,0.00000,-31.00000,554.00000,554.00000,39.00000,-1846.00000,-885.00000,1746.00000,861.00000,-6352.00000,-6352.00000,-2490.00000,61.00000,-7920.00000,-431.00000,189.00000,-2490.00000
2014-12-31,5446.00000,1906.00000,609.00000,2515.00000,-1328.00000,-4330.00000,1339.00000,4979.00000,897.00000,8858.00000,-2202.00000,,-163.00000,4799.00000,4799.00000,33.00000,2467.00000,-1601.00000,962.00000,-639.00000,-5658.00000,-5658.00000,-2115.00000,-181.00000,-8593.00000,2645.00000,195.00000,-2115.00000
2013-12-31,4585.00000,1844.00000,672.00000,2516.00000,-879.00000,-5562.00000,-298.00000,5489.00000,1078.00000,8179.00000,-2047.00000,-140.00000,-26.00000,-2941.00000,-2941.00000,,-5154.00000,-1434.00000,571.00000,-863.00000,-1704.00000,-1704.00000,-1467.00000,-215.00000,-4249.00000,-1253.00000,206.00000,-1467.00000
2012-12-31,3900.00000,1811.00000,917.00000,2728.00000,-27.00000,-5681.00000,1199.00000,2983.00000,880.00000,7508.00000,-1606.00000,-7.00000,-124.00000,-2020.00000,-2020.00000,,-3757.00000,-2076.00000,60.00000,-2016.00000,120.00000,120.00000,-1322.00000,-259.00000,-3477.00000,292.00000,193.00000,-1322.00000
2011-12-31,4018.00000,1675.00000,465.00000,2140.00000,-292.00000,-10012.00000,1164.00000,5506.00000,-2135.00000,4023.00000,-1619.00000,0.00000,-42.00000,3961.00000,3961.00000,69.00000,2369.00000,-930.00000,799.00000,-131.00000,114.00000,114.00000,-1244.00000,-439.00000,-1700.00000,4690.00000,186.00000,-1244.00000
2010-12-31,3307.00000,1746.00000,933.00000,2679.00000,8.00000,-7387.00000,313.00000,2542.00000,-3034.00000,2952.00000,-1062.00000,-2.00000,-932.00000,-3123.00000,-3123.00000,288.00000,-4831.00000,-689.00000,41.00000,-648.00000,87.00000,87.00000,-1253.00000,-148.00000,-1962.00000,-3856.00000,215.00000,-1253.00000
2009-12-31,1312.00000,1678.00000,703.00000,2381.00000,-391.00000,-1525.00000,1141.00000,751.00000,1910.00000,5603.00000,-1159.00000,0.00000,-639.00000,-1588.00000,-1588.00000,-408.00000,-3794.00000,-551.00000,5961.00000,5410.00000,-40.00000,-40.00000,-1220.00000,-56.00000,4094.00000,5947.00000,238.00000,-1220.00000
