,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,355.00000,236.00000,111.00000,347.00000,-192.00000,-147.00000,117.00000,6.00000,-102.00000,596.00000,-208.00000,1.00000,-3.00000,-3.00000,19.00000,-191.00000,-527.00000,,-527.00000,-44.00000,-44.00000,-217.00000,-2.00000,-790.00000,-405.00000,37.00000,-217.00000
2021-12-31,427.00000,245.00000,-6.00000,239.00000,-70.00000,-167.00000,81.00000,22.00000,-136.00000,538.00000,-208.00000,10.00000,3.00000,3.00000,12.00000,-183.00000,-600.00000,,-600.00000,-49.00000,-49.00000,-203.00000,-3.00000,-855.00000,-526.00000,33.00000,-203.00000
2020-12-31,254.00000,309.00000,7.00000,316.00000,109.00000,-5.00000,-39.00000,22.00000,208.00000,824.00000,-183.00000,,,,14.00000,-169.00000,985.00000,-281.00000,704.00000,-41.00000,-41.00000,-188.00000,-2.00000,473.00000,1151.00000,26.00000,-188.00000
2019-12-31,401.00000,405.00000,-35.00000,370.00000,-23.00000,47.00000,29.00000,4.00000,59.00000,839.00000,-226.00000,-18.00000,4.00000,4.00000,9.00000,-231.00000,,27.00000,27.00000,-27.00000,-27.00000,-174.00000,-3.00000,-177.00000,428.00000,29.00000,-174.00000
2018-12-31,549.00000,261.00000,-57.00000,204.00000,-103.00000,-97.00000,51.00000,-21.00000,-176.00000,586.00000,-237.00000,-411.00000,,,5.00000,-643.00000,-119.00000,283.00000,164.00000,-52.00000,-52.00000,-152.00000,,-40.00000,-118.00000,30.00000,-152.00000
2017-12-31,330.00000,234.00000,-38.00000,196.00000,-79.00000,27.00000,50.00000,11.00000,141.00000,686.00000,-169.00000,-17.00000,-1.00000,-1.00000,6.00000,-181.00000,,-282.00000,-282.00000,-9.00000,-9.00000,-130.00000,,-421.00000,106.00000,21.00000,-130.00000
2016-12-31,260.00000,151.00000,19.00000,170.00000,-6.00000,-15.00000,61.00000,21.00000,61.00000,497.00000,-123.00000,-1782.00000,,,19.00000,-1886.00000,932.00000,194.00000,1126.00000,20.00000,20.00000,-112.00000,,1034.00000,-372.00000,18.00000,-112.00000
2015-12-31,340.00000,133.00000,-36.00000,97.00000,-24.00000,23.00000,20.00000,10.00000,15.00000,464.00000,-117.00000,-17.00000,,,2.00000,-132.00000,,-3.00000,-3.00000,-158.00000,-158.00000,-102.00000,1.00000,-262.00000,17.00000,15.00000,-102.00000
2014-12-31,337.00000,142.00000,-57.00000,85.00000,-37.00000,-49.00000,17.00000,35.00000,-6.00000,416.00000,-117.00000,30.00000,,,1.00000,-86.00000,,52.00000,52.00000,-108.00000,-108.00000,-94.00000,3.00000,-147.00000,130.00000,18.00000,-94.00000
2013-12-31,228.00000,150.00000,-23.00000,127.00000,-47.00000,-39.00000,4.00000,-2.00000,-46.00000,324.00000,-120.00000,-81.00000,,,2.00000,-199.00000,-2.00000,39.00000,37.00000,-51.00000,-51.00000,-87.00000,1.00000,-100.00000,29.00000,27.00000,-87.00000
2012-12-31,297.00000,142.00000,-15.00000,127.00000,2.00000,5.00000,-4.00000,12.00000,-30.00000,396.00000,-107.00000,-41.00000,,,1.00000,-147.00000,-14.00000,13.00000,-1.00000,11.00000,11.00000,-75.00000,-9.00000,-74.00000,186.00000,22.00000,-75.00000
2011-12-31,279.00000,137.00000,10.00000,147.00000,-61.00000,-18.00000,-9.00000,2.00000,23.00000,449.00000,-115.00000,-309.00000,,,1.00000,-423.00000,1190.00000,5.00000,1195.00000,1.00000,1.00000,-19.00000,-1005.00000,172.00000,187.00000,13.00000,-19.00000
2010-12-31,329.00000,92.00000,-32.00000,60.00000,-45.00000,7.00000,41.00000,8.00000,6.00000,395.00000,-90.00000,-1004.00000,,,1.00000,-1093.00000,,,,,,,745.00000,745.00000,50.00000,9.00000,0.00000
2009-12-31,263.00000,70.00000,-36.00000,34.00000,45.00000,62.00000,-38.00000,16.00000,73.00000,370.00000,-51.00000,-33.00000,,,,-84.00000,,,,,,,-292.00000,-292.00000,,9.00000,
