,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,361.57300,125.79300,165.68000,291.47300,21.54900,-130.09700,-36.52300,176.37200,-84.31400,568.73200,-291.90000,-12.30400,93.09900,,93.09900,-2.21100,-213.31600,,,,-408.88700,-408.88700,-92.79900,-501.68600,-157.78400,133.36700
2021-12-31,772.02000,108.72900,137.55800,246.28700,-262.06600,-112.45000,19.74700,338.01400,154.23700,1172.54400,-401.09800,-8.00200,-197.31600,,-197.31600,42.98600,-563.43000,,,,-349.41500,-349.41500,-108.91700,-458.33200,138.66500,114.33600
2020-12-31,1775.88800,93.53800,-1336.94000,-1243.40200,-139.77700,-29.11000,52.20600,207.00300,129.68800,662.17400,-154.91600,-420.78800,316.11700,,316.11700,28.08100,-231.50600,,,,20.31400,20.31400,-51.12200,-30.80800,410.34000,98.42700
2019-12-31,442.77600,78.99000,150.29100,229.28100,-121.01400,-58.26900,22.09900,157.54600,75.21300,747.27000,-149.70700,,-207.85300,,-207.85300,7.11600,-350.44400,-45.77300,,-45.77300,-382.09200,-382.09200,-57.67500,-485.54000,-86.43200,88.18400
2018-12-31,400.23500,54.72700,81.02800,135.75500,-109.22400,-24.10900,25.04500,127.27700,18.69100,554.68100,-223.31200,,204.47400,,204.47400,25.76500,6.92700,,,,-283.36700,-283.36700,-86.06700,-369.43400,187.44100,70.76300
2017-12-31,231.41800,37.73900,93.49200,131.23100,-90.99000,-5.48100,8.17500,70.99300,75.89000,438.53900,-195.69500,-8.95300,-1.46800,-12.76400,-14.23200,-32.59700,-251.47700,,,,-89.33200,-89.33200,-46.16800,-135.50000,57.10600,58.85400
2016-12-31,189.68200,24.00200,50.57700,74.57900,-95.80800,-7.66300,-3.39500,51.26600,-16.60700,247.65400,-70.57600,,198.38000,-46.74500,151.63500,-8.03100,73.02800,,,,-82.44000,-82.44000,-13.08400,-95.52400,221.78400,54.14800
2015-12-31,144.02000,18.00400,55.14600,73.15000,-40.77500,-3.56300,7.57500,38.12800,20.82700,237.99700,-53.45100,,-112.95600,,-112.95600,0.04600,-166.36100,,,,-90.46600,-90.46600,-10.32000,-100.78600,-32.15700,52.94300
2014-12-31,145.83200,17.85600,54.01700,71.87300,-27.22900,-1.99900,2.88700,12.84300,9.19400,226.89900,-24.09200,,-177.35200,,-177.35200,-0.18300,-201.62700,,,,-80.20500,-80.20500,13.79300,-66.42000,-43.08200,39.82300
2013-12-31,64.29500,16.82500,91.69400,108.51900,-11.98100,1.15800,-0.18600,14.50900,13.16200,185.97600,-19.41200,-7.65200,-181.25900,,-181.25900,-2.41100,-210.73400,,,,-60.91100,-60.91100,22.74000,-38.17100,-63.43300,26.43800
2012-12-31,58.69100,17.81100,63.18700,80.99800,-11.66600,-5.71800,-0.00600,8.53600,-5.91100,133.77800,-38.33300,,-42.31300,,-42.31300,2.34600,-78.30000,,,,-4.87600,-4.87600,15.08100,10.20500,65.71100,21.48300
2011-12-31,66.71600,17.47700,16.18800,33.66500,-24.14700,-4.05800,7.53500,13.65300,30.08800,130.46900,-30.40400,-187.58800,10.31700,,10.31700,-3.93100,-211.60600,,,,17.74700,17.74700,9.49400,27.24100,-53.98900,19.16500
2010-12-31,74.25300,15.01300,29.41400,44.42700,-12.18400,-0.50800,2.61200,1.22400,10.84900,129.52900,-18.03100,,2.25600,,2.25600,-0.14500,-15.92000,,,,11.82200,11.82200,2.88500,14.70700,128.17700,16.07200
2009-12-31,-31.26900,19.16900,70.38100,89.55000,-2.58600,-0.08500,-0.61400,15.83300,15.88400,74.16500,-7.19200,,5.97000,,5.97000,-0.33400,-1.55600,,-0.13600,-0.13600,8.09700,8.09700,-1.12400,6.83700,79.38700,15.08800
