,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,969.35100,644.52000,297.04900,941.56900,,-23.83800,-83.89200,-134.03800,1776.88200,-1431.89500,-118.17500,,,,-1550.07000,-350.00000,317.50000,-32.50000,-331.21000,-331.21000,-166.72400,,-530.43400,-303.62200,77.53500,-166.72400
2021-12-31,760.80600,557.09300,-206.61400,350.47900,,140.29500,-15.25200,112.61300,1223.89800,-877.01800,,,,,-877.01800,,,,-180.19100,-180.19100,-124.44200,,-304.63300,42.24700,61.50500,-124.44200
2020-12-31,506.03500,527.37500,-5.74200,521.63290,,-5.48200,-18.03800,95.19100,1122.85900,-600.76900,-12.13600,,,-0.05200,-612.95700,,2.02400,2.02400,-119.39000,-119.39000,-114.23400,,-231.60000,278.30200,60.69800,-114.23400
2019-12-31,516.32000,499.14500,161.51500,660.66000,50.31000,-85.32700,-4.97500,-78.63300,1098.34700,-688.19700,-115.65400,,,-0.11100,-803.96200,450.00000,-312.98600,137.01400,-292.18200,-292.18200,-111.81700,,-266.98500,27.40000,53.32400,-111.81700
2018-12-31,489.58500,435.89300,161.06700,596.96000,-130.93100,98.03700,-6.13300,1.29600,1087.84100,-885.48500,,,,-1.28800,-886.77300,,66.81520,66.81520,-169.90100,-169.90100,-104.99400,,-208.08000,-7.01200,47.36900,-104.99400
2017-12-31,686.26300,383.51800,-182.86300,200.65500,-166.11100,85.23700,69.46200,-31.76500,855.15300,-510.51500,-136.87900,,,-3.88800,-651.28200,,103.65410,103.65410,-197.92800,-197.92800,-101.36200,,-195.63600,8.23500,38.29100,-101.36200
2016-12-31,432.09000,361.51000,96.52900,458.03900,-120.99400,60.81800,-37.10100,-35.98600,854.14300,-485.25600,,,,-0.13200,-485.38800,,-8.93800,-8.93800,-267.06000,-267.06000,-98.99000,7.04400,-367.94400,0.81100,40.62500,-98.99000
2015-12-31,427.23500,339.61300,116.37400,455.98700,8.01100,8.60000,-26.49300,-9.91400,873.30800,-556.43600,,,,-20.09600,-576.53200,99.12900,-27.66600,71.46300,-284.14700,-284.14700,-97.36400,12.87700,-297.17100,-0.39500,37.22800,-97.36400
2014-12-31,374.79200,294.49600,108.33400,402.83000,-72.33900,15.28400,-42.73000,-130.84300,646.77900,-659.71000,,,,0.02900,-659.68100,249.64200,-18.55590,231.08610,-141.09500,-141.09500,-93.60400,16.64500,13.03200,0.13000,35.33300,-93.60400
2013-12-31,342.38200,253.38000,75.09600,328.47600,-102.50800,11.53000,-23.25400,-96.50700,574.35100,-442.50400,,,,-0.03700,-442.54100,-100.00000,122.57600,22.57610,-123.28300,-123.28300,-52.81100,21.95000,-131.56800,0.24200,32.35400,-52.81100
2012-12-31,310.35400,229.16600,33.66500,262.83100,-54.53200,15.09700,-4.82600,-25.14100,548.04400,-369.67900,,,,0.08500,-369.59400,-50.00000,-12.55910,-62.55910,-52.41100,-52.41100,-83.43100,20.09000,-178.31100,0.13900,29.71500,-83.43100
2011-12-31,257.00600,213.94300,130.44300,344.38600,-60.29200,56.17900,1.29800,34.30000,635.69200,-445.86900,,,,0.34000,-445.52900,,96.96100,96.96100,-242.64400,-242.64400,-62.24300,15.56200,-192.36400,-2.20100,26.84100,-62.24300
2010-12-31,199.61700,197.06200,59.95400,257.01600,-40.84800,1.88300,-9.42600,-28.55500,428.07800,-225.93200,,,,-0.08400,-226.01600,249.20700,-159.61500,89.59200,-244.09000,-244.09000,-59.91000,12.15400,-202.25400,-0.19200,21.39700,-59.91000
2009-12-31,136.43500,189.04500,57.32700,246.37200,-30.18000,13.89100,2.50100,-25.88400,356.92300,-241.77300,,7.64600,7.64600,-9.82400,-243.95100,-68.50000,1.34400,-67.15600,5.14400,5.14400,-55.69200,10.20200,-107.50200,5.47000,17.56600,-55.69200
