,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,31407.00000,5064.00000,-2748.00000,2316.00000,261.00000,592.00000,-6500.00000,-4456.00000,29267.00000,-3236.00000,,-22997.00000,7954.00000,-1272.00000,6682.00000,3768.00000,-15783.00000,-3298.00000,-218.00000,-3516.00000,-2000.00000,-2000.00000,-8983.00000,-335.00000,-14834.00000,-1515.00000,872.00000,-8983.00000
2021-12-31,22025.00000,5191.00000,-7440.00000,-2249.00000,-3811.00000,-1125.00000,16498.00000,12804.00000,32580.00000,-2711.00000,,,-19098.00000,-419.00000,-19517.00000,-317.00000,-22546.00000,-1007.00000,-96.00000,-1103.00000,,,-8729.00000,16.00000,-9816.00000,159.00000,1182.00000,-8729.00000
2020-12-31,9195.00000,4681.00000,836.00000,5517.00000,-1275.00000,-778.00000,1391.00000,-307.00000,14403.00000,-2226.00000,,,-1798.00000,126.00000,-1672.00000,-374.00000,-4271.00000,1219.00000,-13974.00000,-12755.00000,,,-8440.00000,11547.00000,-9649.00000,475.00000,755.00000,-8440.00000
2019-12-31,16056.00000,5755.00000,-5321.00000,434.00000,-1124.00000,-1071.00000,-1366.00000,-3902.00000,12588.00000,-2046.00000,,-10861.00000,9273.00000,31.00000,9304.00000,-343.00000,-3945.00000,-1864.00000,10628.00000,8764.00000,-8865.00000,-8865.00000,-8043.00000,-342.00000,-8485.00000,125.00000,687.00000,-8043.00000
2018-12-31,11188.00000,6150.00000,-1178.00000,4972.00000,-458.00000,-432.00000,315.00000,-334.00000,15827.00000,-1984.00000,-152.00000,,1987.00000,4447.00000,6434.00000,227.00000,4525.00000,1408.00000,-2343.00000,-935.00000,-10939.00000,-10939.00000,-7978.00000,-588.00000,-20441.00000,-205.00000,923.00000,-7978.00000
2017-12-31,21355.00000,6269.00000,-12158.00000,-5889.00000,259.00000,-357.00000,-60.00000,1334.00000,16802.00000,-1956.00000,-261.00000,-1000.00000,-2236.00000,42.00000,-2194.00000,671.00000,-4740.00000,-880.00000,-61.00000,-941.00000,-4138.00000,-4138.00000,-7659.00000,-611.00000,-13350.00000,-1235.00000,840.00000,-7659.00000
2016-12-31,7246.00000,5757.00000,3091.00000,8848.00000,-134.00000,365.00000,-270.00000,98.00000,16192.00000,-1823.00000,-176.00000,-18368.00000,9239.00000,3257.00000,12496.00000,80.00000,-7791.00000,3287.00000,-681.00000,2606.00000,-3981.00000,-3981.00000,-7317.00000,-536.00000,-9228.00000,-1041.00000,691.00000,-7317.00000
2015-12-31,6986.00000,5157.00000,1805.00000,6962.00000,21.00000,-199.00000,900.00000,741.00000,14688.00000,-1397.00000,-99.00000,-16466.00000,17251.00000,-2613.00000,14638.00000,344.00000,-2980.00000,-2990.00000,4309.00000,1319.00000,-4897.00000,-4897.00000,-6940.00000,109.00000,-10409.00000,298.00000,669.00000,-6940.00000
2014-12-31,9168.00000,5537.00000,754.00000,6291.00000,148.00000,175.00000,511.00000,1623.00000,17084.00000,-1199.00000,-384.00000,-195.00000,350.00000,-4573.00000,-4223.00000,347.00000,-5654.00000,2381.00000,-1838.00000,543.00000,-3998.00000,-3998.00000,-6609.00000,-123.00000,-10187.00000,1160.00000,586.00000,-6609.00000
2013-12-31,22072.00000,6410.00000,-7420.00000,-1010.00000,940.00000,-538.00000,-3939.00000,-3378.00000,17684.00000,-1206.00000,-259.00000,-15.00000,-5911.00000,-3465.00000,-9376.00000,312.00000,-10544.00000,2472.00000,3564.00000,6036.00000,-14540.00000,-14540.00000,-6580.00000,109.00000,-14975.00000,-7898.00000,523.00000,-6580.00000
