,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1065.37600,307.53800,-6.88700,300.65100,-209.02100,-199.03300,15.42200,-16.38400,-560.30300,805.72400,-214.90100,-312.85500,,,-13.16800,-540.92400,,629.89100,629.89100,-585.00000,-585.00000,-287.55100,-17.60500,-260.26500,-4.63600,30.82100,-287.55100
2021-12-31,1123.81800,290.12300,-213.96700,76.15600,-201.54000,-297.62300,229.33400,-28.68600,-84.10900,1115.86500,-164.39500,-837.09300,,,8.73500,-992.75300,,105.00000,105.00000,-21.63700,-21.63700,-286.89600,-46.34700,-249.88000,-127.57100,31.11100,-286.89600
2020-12-31,683.45100,279.05100,5.95300,285.00400,122.40700,10.51900,-95.63600,-37.71600,136.35500,1104.81000,-158.48500,-320.38600,,,-2.50800,-481.37900,,-84.70000,-84.70000,-106.27900,-106.27900,-284.31200,-30.99900,-506.29000,115.82200,25.02600,-284.31200
2019-12-31,677.91800,272.28700,96.35000,368.63700,-7.90300,-56.87000,12.67000,-47.23300,-101.24900,945.30600,-182.63600,-191.46900,,,-10.15000,-384.25500,42.35700,-135.65000,-93.29300,-143.28000,-143.28000,-282.19700,-39.27200,-558.04200,1.03200,29.70200,-282.19700
2018-12-31,570.26700,282.58000,18.15300,300.73300,-87.57300,-85.05200,105.58600,-33.38600,-81.80700,789.19300,-165.08600,-64.62000,,,-15.77400,-245.48000,-350.00000,-10.72200,-360.72200,-894.97700,-894.97700,-283.57000,641.43100,-897.83800,-357.74300,23.69800,-283.57000
2017-12-31,811.66500,283.27800,-386.14300,-102.86500,-43.45000,0.60500,94.05200,-23.82000,30.60900,739.40900,-158.29400,345.47800,,,21.15100,208.33500,,-182.59600,-182.59600,-105.02300,-105.02300,-283.95900,-21.35500,-592.93300,404.81800,24.07300,-283.95900
2016-12-31,508.89200,249.67200,-126.87100,122.80100,-74.04900,-3.28700,70.83600,-23.45700,102.90300,734.59600,-124.35500,-1355.33000,,,-1.05700,-1480.74200,654.51000,254.83400,909.34400,8.43100,8.43100,-267.73900,-15.70000,634.33600,-13.03900,18.65000,-267.73900
2015-12-31,869.82900,327.08900,-211.22600,115.86300,37.91600,63.12900,42.92500,-29.34300,-36.63300,949.05900,-139.64700,121.47100,-17.75200,-17.75200,1.35000,-34.57800,94.25200,-327.00000,-232.74800,-596.14000,-596.14000,-257.96900,-5.02900,-1091.88600,-319.39600,30.69700,-257.96900
2014-12-31,775.23500,307.18800,18.21100,325.39900,-87.20700,-63.71700,60.17600,-42.75900,-150.47000,950.16400,-151.66000,-610.90600,0.00000,,-19.99100,-782.55700,-6.56600,251.50000,244.93400,-580.74010,-580.74010,-258.48700,338.80400,-255.48900,-122.30100,31.62800,-258.48700
2013-12-31,1003.12900,278.03300,-112.76300,165.27000,-87.80600,1.68400,38.80800,-48.71000,-188.78700,979.61200,-117.89300,-246.38100,,,2.59700,-361.67700,400.53000,-381.00000,19.53000,-450.25200,-450.25200,-247.82000,,-678.54200,3.80600,30.48000,-247.82000
2012-12-31,811.07000,229.93400,-101.90400,128.03000,10.86900,-16.29500,35.55200,-49.36000,29.26900,968.36900,-137.17000,-1080.43300,,,-7.72700,-1225.33000,-3.58200,607.50000,603.91800,-682.89300,-682.89300,-240.95900,-23.00800,-342.94200,-406.67900,30.88400,-240.95900
2011-12-31,895.24300,290.47700,-29.61200,260.86500,-124.19300,-56.14500,82.62400,-61.42400,-207.24400,948.86400,-253.31300,-865.31600,124.41000,124.41000,-18.21100,-1012.43000,386.31700,-15.00200,371.31500,-202.66200,-202.66200,-219.15400,,-50.50100,19.39400,25.13000,-219.15400
2010-12-31,700.10400,229.23700,8.35000,237.58700,-147.01100,-88.55200,79.18300,-49.99600,-107.39600,830.29500,-153.11100,-99.91800,86.58500,86.58500,,-166.44400,-75.85500,15.00000,-60.85500,-43.83400,-43.83400,-200.09900,,-304.78800,469.17300,20.40700,-200.09900
2009-12-31,356.43800,231.36300,88.53000,319.89300,119.22400,79.78300,-20.37800,-57.32600,67.05000,743.38100,-91.35500,-218.42300,57.59400,57.59400,,-252.18400,-32.40800,-192.74900,-225.15700,26.57800,26.57800,-189.87400,,-388.45300,166.54700,17.15800,-189.87400
