,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,14957.00000,861.00000,10688.00000,11549.00000,-97.00000,67.00000,-9158.00000,-7657.00000,18849.00000,-970.00000,-1948.00000,,-1498.00000,-1498.00000,128.00000,-4288.00000,2218.00000,2218.00000,-11393.00000,-11393.00000,-3203.00000,-318.00000,-12696.00000,578.00000,602.00000,-3203.00000
2021-09-30,12311.00000,804.00000,8814.00000,9618.00000,-343.00000,88.00000,-7446.00000,-6702.00000,15227.00000,-705.00000,-75.00000,,519.00000,519.00000,109.00000,-152.00000,-3000.00000,-3000.00000,-8468.00000,-8468.00000,-2798.00000,-144.00000,-14410.00000,628.00000,542.00000,-2798.00000
2020-09-30,10866.00000,767.00000,7205.00000,7972.00000,-43.00000,21.00000,-9009.00000,-8398.00000,10440.00000,-736.00000,-77.00000,,2168.00000,2168.00000,72.00000,1427.00000,7212.00000,7212.00000,-7924.00000,-7924.00000,-2664.00000,-592.00000,-3968.00000,8339.00000,416.00000,-2664.00000
2019-09-30,12080.00000,656.00000,6351.00000,7007.00000,-333.00000,-24.00000,-6342.00000,-6303.00000,12784.00000,-756.00000,-699.00000,,842.00000,842.00000,22.00000,-591.00000,,,-8445.00000,-8445.00000,-2269.00000,-1347.00000,-12061.00000,-145.00000,407.00000,-2269.00000
2018-09-30,10301.00000,602.00000,4477.00000,5079.00000,-70.00000,3.00000,-4584.00000,-2439.00000,12941.00000,-718.00000,-196.00000,,-2186.00000,-2186.00000,16.00000,-3084.00000,-1750.00000,-1750.00000,-7028.00000,-7028.00000,-1918.00000,-94.00000,-10790.00000,-1034.00000,327.00000,-1918.00000
2017-09-30,6699.00000,556.00000,6537.00000,7093.00000,-54.00000,-30.00000,-4857.00000,-4475.00000,9317.00000,-695.00000,-302.00000,4.00000,1728.00000,1732.00000,,735.00000,2488.00000,2488.00000,-6742.00000,-6742.00000,-1579.00000,-91.00000,-5924.00000,4364.00000,235.00000,-1579.00000
2016-09-30,5991.00000,502.00000,2603.00000,3105.00000,-65.00000,43.00000,-3734.00000,-3522.00000,5574.00000,-523.00000,-9082.00000,,-1311.00000,-1311.00000,,-10916.00000,15971.00000,15971.00000,-7062.00000,-7062.00000,-1350.00000,-82.00000,7477.00000,2101.00000,221.00000,-1350.00000
2015-09-30,6328.00000,494.00000,3293.00000,3787.00000,-19.00000,-13.00000,-3185.00000,-3531.00000,6584.00000,-404.00000,-93.00000,,-938.00000,-938.00000,,-1435.00000,,,-2828.00000,-2828.00000,-1177.00000,402.00000,-3603.00000,1547.00000,187.00000,-1177.00000
2014-09-30,5438.00000,3027.00000,-2403.00000,624.00000,-53.00000,-56.00000,-259.00000,1143.00000,7205.00000,-553.00000,-149.00000,,-239.00000,-239.00000,,-941.00000,,,-4027.00000,-4027.00000,-1006.00000,-1445.00000,-6478.00000,-215.00000,172.00000,-1006.00000
2013-09-30,4980.00000,2718.00000,1685.00000,4403.00000,-38.00000,40.00000,-2681.00000,-6361.00000,3022.00000,-471.00000,,,-693.00000,-693.00000,,-1164.00000,-6.00000,-6.00000,-5257.00000,-5257.00000,-864.00000,4381.00000,-1746.00000,112.00000,179.00000,-864.00000
2012-09-30,2142.00000,2488.00000,2479.00000,4967.00000,-161.00000,-17.00000,-1488.00000,-2100.00000,5009.00000,-374.00000,-3.00000,,-2037.00000,-2037.00000,,-2414.00000,-6.00000,-6.00000,-536.00000,-536.00000,-595.00000,-1518.00000,-2655.00000,-53.00000,147.00000,-595.00000
2011-09-30,3646.00000,2168.00000,92.00000,2260.00000,-79.00000,29.00000,-1851.00000,-2034.00000,3872.00000,-353.00000,-268.00000,,-1678.00000,-1678.00000,,-2299.00000,-54.00000,-54.00000,-1925.00000,-1925.00000,-423.00000,-902.00000,-3304.00000,-1740.00000,154.00000,-423.00000
2010-09-30,2964.00000,1825.00000,237.00000,2062.00000,-7.00000,-21.00000,-1470.00000,-2335.00000,2691.00000,-238.00000,-1805.00000,89.00000,50.00000,139.00000,,-1904.00000,-24.00000,-24.00000,-944.00000,-944.00000,-368.00000,-206.00000,-1542.00000,-750.00000,131.00000,-368.00000
2009-09-30,2352.00000,1460.00000,8.00000,1468.00000,-102.00000,-3.00000,-1146.00000,-3262.00000,558.00000,-306.00000,,884.00000,1252.00000,2136.00000,,1830.00000,-54.00000,-54.00000,-2614.00000,-2614.00000,-318.00000,235.00000,-2751.00000,-362.00000,115.00000,-318.00000
