,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4366.27400,888.14600,-2143.43500,-1255.28900,3117.14100,-773.28400,-757.94400,,2636.01100,2636.01100,15.21300,1119.99600,,-513.49500,-513.49500,35.27100,278.10300,-3908.49700,-49.38100,-4193.27000,43.86700,56.70300,-3908.49700
2021-12-31,1959.63900,713.42800,-147.26000,566.16800,2543.55500,-552.21900,-5047.10600,,,,35.81400,-5563.51100,5038.90400,-2.21800,5036.68600,95.86000,68.31500,-1588.88800,-17.97200,3498.14100,478.69000,59.81500,-1588.88800
2020-12-31,1361.22700,553.25700,121.42400,674.68100,2042.90200,-359.41100,-792.26600,,,,33.96300,-1117.71400,545.15100,-2.02000,543.13100,12.66400,0.87010,-1606.42900,-13.28800,-1075.71600,-150.95400,33.36300,-1606.42900
2019-12-31,1525.65100,512.91800,21.37500,534.29300,2067.63400,-471.98500,-437.75800,,,,12.39200,-897.35100,496.90000,-1.92000,494.98000,33.56400,42.72000,-1608.74900,-49.68600,-1120.73500,49.53500,25.83300,-1608.74900
2018-12-31,1717.22300,483.64600,-131.44100,352.20500,2063.64600,-481.01200,-181.02000,,,,146.11100,-515.92100,,-1.78400,-1.78400,12.52500,12.52500,-1612.68000,-17.64900,-1619.58800,-72.03400,69.93600,-1612.68000
2017-12-31,1448.46500,454.52600,67.55200,522.07800,1972.88900,-457.88800,-285.27900,,,,6.10300,-737.06400,992.07700,-1.70100,990.37600,42.50000,-318.82300,-1630.34700,-33.42500,-992.21900,243.48000,37.54800,-1630.34700
2016-12-31,1460.43900,433.31400,46.86500,480.17900,1945.33600,-351.35100,-416.17800,,67.42000,67.42000,0.99800,-699.11100,,77.16100,77.16100,25.54100,299.24400,-1505.75800,-19.47300,-1148.82600,97.01800,37.48300,-1505.75800
2015-12-31,1317.68900,426.00800,-1.48100,424.52700,1748.27900,-294.07200,-177.07600,,,,15.01300,-456.13500,,247.01800,247.01800,29.66300,-240.33700,-1371.03100,-26.93300,-1391.28300,-99.45700,32.57000,-1371.03100
2014-12-31,1149.95500,437.11400,29.30000,466.41400,1603.54200,-222.53100,-392.96400,,,,417.16400,-198.33100,-750.10000,-44.40600,-794.50600,37.87200,776.82600,-1200.54500,-18.63900,-1236.86400,168.54300,29.54100,-1200.54500
2013-12-31,1057.53100,387.40200,-33.02400,354.37800,1430.33900,-159.90800,-1150.68600,,-105.04000,-105.04000,3.24100,-1412.39300,617.10000,-251.89500,365.20500,21.11100,722.79800,-1091.46100,-12.70200,-16.16000,1.93000,,-1091.46100
2012-12-31,943.03500,358.10300,-23.37100,334.73200,1285.65900,-78.42500,-225.51500,,,,13.47500,-290.46500,71.98700,,71.98700,103.12200,-224.19290,-959.15400,-5.94500,-1117.30500,-121.76900,,-959.15400
2011-12-31,836.45900,358.52500,-9.26200,349.26300,1203.45200,-88.94100,-78.50200,102.27900,-358.87700,-256.59800,342.68600,-81.35500,-174.35500,,-174.35500,-92.00200,-403.63100,-846.24600,-14.31400,-1438.54600,-317.24400,,-846.24600
2010-12-31,696.11400,354.38600,48.10600,402.49200,1093.22100,-94.25900,-107.94500,-104.82800,,-104.82800,40.42700,-266.60500,,-77.09200,-77.09200,-264.45800,-276.30500,-754.77000,-24.54200,-1132.70900,-307.53700,,-754.77000
2009-12-31,790.45600,342.12700,-48.85100,293.27600,1112.85700,-76.51700,11.59600,-17.82500,,-17.82500,-8.66300,-91.40900,-109.62200,-7.50400,-117.12600,2.19200,-15.34300,-624.66500,-181.26700,-938.40100,83.08800,,-624.66500
