,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1103.00000,380.00000,530.00000,910.00000,-316.00000,159.00000,1458.00000,1301.00000,3314.00000,-660.00000,-63.00000,-27.00000,-1505.00000,-1532.00000,-92.00000,-2347.00000,-67.00000,-67.00000,-795.00000,-795.00000,-159.00000,-16.00000,-1037.00000,-89.00000,-159.00000
2021-12-31,1703.00000,434.00000,-440.00000,-6.00000,-1409.00000,-49.00000,2384.00000,926.00000,2623.00000,-482.00000,497.00000,-141.00000,-1148.00000,-1289.00000,87.00000,-1187.00000,6.00000,6.00000,-1154.00000,-1154.00000,-129.00000,-12.00000,-1289.00000,143.00000,-129.00000
2020-12-31,-1291.00000,667.00000,1984.00000,2651.00000,-425.00000,-571.00000,1381.00000,385.00000,1745.00000,-710.00000,7.00000,427.00000,-528.00000,-101.00000,-610.00000,-1414.00000,933.00000,933.00000,-960.00000,-960.00000,-169.00000,-2.00000,-198.00000,142.00000,-169.00000
2019-12-31,871.00000,854.00000,227.00000,1081.00000,114.00000,-494.00000,169.00000,-211.00000,1741.00000,-901.00000,-257.00000,-57.00000,750.00000,693.00000,-206.00000,-671.00000,120.00000,120.00000,-1074.00000,-1074.00000,-174.00000,-16.00000,-1144.00000,-69.00000,-174.00000
2018-12-31,706.00000,842.00000,831.00000,1673.00000,-131.00000,1702.00000,272.00000,1843.00000,4222.00000,-882.00000,-37.00000,-339.00000,-126.00000,-465.00000,-60.00000,-1444.00000,-178.00000,-178.00000,-2530.00000,-2530.00000,-201.00000,74.00000,-2835.00000,-67.00000,-201.00000
2017-12-31,1412.00000,834.00000,126.00000,960.00000,93.00000,108.00000,17.00000,218.00000,2590.00000,-1031.00000,-1139.00000,-167.00000,55.00000,-112.00000,-373.00000,-2655.00000,656.00000,656.00000,-216.00000,-216.00000,-223.00000,-16.00000,201.00000,145.00000,-223.00000
2016-12-31,716.00000,814.00000,1043.00000,1857.00000,24.00000,-528.00000,184.00000,-320.00000,2253.00000,-1120.00000,-79.00000,158.00000,-1304.00000,-1146.00000,158.00000,-2187.00000,196.00000,196.00000,-134.00000,-134.00000,-218.00000,-10.00000,-166.00000,-113.00000,-218.00000
2015-12-31,287.00000,992.00000,998.00000,1990.00000,120.00000,674.00000,476.00000,1270.00000,3547.00000,-1522.00000,-157.00000,120.00000,-204.00000,-84.00000,-172.00000,-1935.00000,-101.00000,-101.00000,-1173.00000,-1173.00000,-255.00000,4.00000,-1525.00000,76.00000,-255.00000
2014-12-31,962.00000,902.00000,841.00000,1743.00000,738.00000,-129.00000,-324.00000,285.00000,2990.00000,-1722.00000,-448.00000,1396.00000,-588.00000,808.00000,-108.00000,-1470.00000,-265.00000,-265.00000,-760.00000,-760.00000,-433.00000,16.00000,-1442.00000,70.00000,-433.00000
2013-12-31,1069.00000,1483.00000,-26.00000,1457.00000,87.00000,-901.00000,384.00000,-430.00000,2096.00000,-1737.00000,-53.00000,-101.00000,-1150.00000,-1251.00000,-257.00000,-3298.00000,1761.00000,1761.00000,147.00000,147.00000,-597.00000,-40.00000,1271.00000,66.00000,-597.00000
2012-12-31,1110.00000,855.00000,553.00000,1408.00000,327.00000,-406.00000,415.00000,336.00000,2854.00000,-1184.00000,-987.00000,-192.00000,-590.00000,-782.00000,-142.00000,-3095.00000,242.00000,242.00000,650.00000,650.00000,-549.00000,-7.00000,336.00000,99.00000,-549.00000
2011-12-31,1694.00000,769.00000,446.00000,1215.00000,1085.00000,354.00000,-383.00000,1056.00000,3965.00000,-1113.00000,-548.00000,1461.00000,-1576.00000,-115.00000,-127.00000,-1903.00000,-511.00000,-511.00000,-556.00000,-556.00000,-500.00000,-486.00000,-2053.00000,9.00000,-500.00000
2010-12-31,1988.00000,698.00000,107.00000,805.00000,-335.00000,-1778.00000,-727.00000,-2840.00000,-47.00000,-112.00000,,1892.00000,-1116.00000,776.00000,,664.00000,-14.00000,-14.00000,-53.00000,-53.00000,-597.00000,-24.00000,-688.00000,-70.00000,-597.00000
2009-12-31,1383.00000,585.00000,1826.00000,2411.00000,691.00000,760.00000,-654.00000,797.00000,4591.00000,-2444.00000,,-1620.00000,-860.00000,-2480.00000,61.00000,-4863.00000,1226.00000,1226.00000,-146.00000,-146.00000,-756.00000,-3.00000,321.00000,59.00000,-756.00000
