,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2465.00000,954.00000,-122.00000,832.00000,-743.00000,-490.00000,334.00000,57.00000,-688.00000,2533.00000,-435.00000,-579.00000,-19.00000,-19.00000,-168.00000,-1200.00000,-17.00000,317.00000,300.00000,-258.00000,-258.00000,-1299.00000,-83.00000,-1340.00000,-3.00000,-1299.00000
2021-12-31,2146.00000,922.00000,-275.00000,647.00000,-271.00000,-629.00000,832.00000,-78.00000,-309.00000,2163.00000,-531.00000,-1371.00000,379.00000,379.00000,-241.00000,-1764.00000,785.00000,20.00000,805.00000,-59.00000,-59.00000,-1219.00000,-62.00000,-535.00000,-141.00000,-1219.00000
2020-12-31,1415.00000,811.00000,10.00000,821.00000,219.00000,371.00000,76.00000,129.00000,635.00000,2944.00000,-377.00000,1208.00000,-441.00000,-441.00000,7.00000,397.00000,-249.00000,-254.00000,-503.00000,-1537.00000,-1537.00000,-1175.00000,-43.00000,-3258.00000,68.00000,-1175.00000
2019-12-31,2213.00000,884.00000,137.00000,1021.00000,172.00000,-60.00000,147.00000,-9.00000,243.00000,3451.00000,-587.00000,-1216.00000,-70.00000,-70.00000,7.00000,-1866.00000,884.00000,-159.00000,725.00000,-963.00000,-963.00000,-1201.00000,-55.00000,-1494.00000,87.00000,-1201.00000
2018-12-31,2146.00000,903.00000,19.00000,922.00000,-152.00000,-242.00000,23.00000,6.00000,-341.00000,2658.00000,-565.00000,,355.00000,355.00000,-188.00000,-398.00000,-164.00000,,-164.00000,-1242.00000,-1242.00000,-1149.00000,-26.00000,-2581.00000,-278.00000,-1149.00000
2017-12-31,2986.00000,914.00000,-861.00000,53.00000,-231.00000,-202.00000,388.00000,-201.00000,-191.00000,2666.00000,-520.00000,607.00000,-298.00000,-298.00000,-6.00000,-217.00000,-554.00000,,-554.00000,-784.00000,-784.00000,-1068.00000,-36.00000,-2442.00000,18.00000,-1068.00000
2016-12-31,1919.00000,929.00000,122.00000,1051.00000,-170.00000,34.00000,,-65.00000,-151.00000,2570.00000,-497.00000,,-40.00000,-40.00000,8.00000,-529.00000,-22.00000,,-22.00000,-656.00000,-656.00000,-1037.00000,-23.00000,-1738.00000,275.00000,-1037.00000
2015-12-31,1974.00000,925.00000,187.00000,1112.00000,5.00000,-8.00000,-120.00000,-31.00000,-191.00000,2409.00000,-506.00000,-71.00000,37.00000,37.00000,-35.00000,-575.00000,-602.00000,,-602.00000,-630.00000,-630.00000,-1026.00000,-47.00000,-2305.00000,-513.00000,-1026.00000
2014-12-31,1803.00000,983.00000,-217.00000,766.00000,-205.00000,-152.00000,49.00000,81.00000,-332.00000,1878.00000,-632.00000,284.00000,522.00000,522.00000,-31.00000,143.00000,-582.00000,,-582.00000,-596.00000,-596.00000,-929.00000,-23.00000,-2130.00000,-134.00000,-929.00000
2013-12-31,1873.00000,997.00000,-20.00000,977.00000,-231.00000,-92.00000,86.00000,-88.00000,-324.00000,2285.00000,-614.00000,768.00000,-288.00000,-288.00000,-68.00000,-202.00000,-1087.00000,,-1087.00000,121.00000,121.00000,-796.00000,26.00000,-1736.00000,338.00000,-796.00000
2012-12-31,1220.00000,598.00000,117.00000,715.00000,108.00000,166.00000,-220.00000,147.00000,63.00000,1664.00000,-593.00000,-6933.00000,603.00000,603.00000,-49.00000,-6972.00000,5832.00000,,5832.00000,254.00000,254.00000,-512.00000,-94.00000,5480.00000,192.00000,-512.00000
2011-12-31,1352.00000,556.00000,-98.00000,458.00000,-219.00000,-113.00000,92.00000,-19.00000,-174.00000,1248.00000,-568.00000,-310.00000,103.00000,103.00000,-25.00000,-800.00000,303.00000,,303.00000,-272.00000,-272.00000,-462.00000,50.00000,-381.00000,52.00000,-462.00000
2010-12-31,937.00000,551.00000,123.00000,674.00000,-305.00000,-219.00000,322.00000,-24.00000,-34.00000,1282.00000,-394.00000,-222.00000,-392.00000,-392.00000,-4.00000,-1012.00000,-47.00000,,-47.00000,,,-363.00000,149.00000,-261.00000,-7.00000,-363.00000
2009-12-31,385.00000,573.00000,-12.00000,561.00000,440.00000,292.00000,-73.00000,106.00000,749.00000,1408.00000,-195.00000,-10.00000,-64.00000,-64.00000,44.00000,-225.00000,-329.00000,-424.00000,-753.00000,27.00000,27.00000,-334.00000,-1.00000,-1061.00000,152.00000,-334.00000
