,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,9571.00000,1260.00000,792.00000,2052.00000,-605.00000,-605.00000,11018.00000,-1409.00000,385.00000,1020.00000,,1020.00000,-759.00000,-763.00000,-958.00000,-958.00000,-581.00000,-581.00000,-7616.00000,-1095.00000,-10250.00000,-506.00000,356.00000,-7616.00000
2021-12-31,9804.00000,1452.00000,44.00000,1496.00000,1325.00000,1325.00000,12625.00000,-1259.00000,-2586.00000,1029.00000,,1029.00000,51.00000,-2765.00000,228.00000,228.00000,591.00000,591.00000,-7252.00000,-353.00000,-6786.00000,2574.00000,337.00000,-7252.00000
2020-12-31,7768.00000,1536.00000,-150.00000,1386.00000,690.00000,690.00000,9844.00000,-988.00000,-863.00000,252.00000,,252.00000,122.00000,-1477.00000,-1862.00000,-1862.00000,529.00000,529.00000,-7047.00000,310.00000,-8070.00000,58.00000,126.00000,-7047.00000
2019-12-31,8985.00000,1365.00000,-245.00000,1120.00000,366.00000,366.00000,10471.00000,-1076.00000,-5113.00000,-4704.00000,6973.00000,2269.00000,-56.00000,-3976.00000,-1841.00000,-1841.00000,-91.00000,-91.00000,-6845.00000,-227.00000,-9004.00000,-2838.00000,201.00000,-6845.00000
2018-12-31,6476.00000,1086.00000,1305.00000,2391.00000,-1240.00000,-1240.00000,7627.00000,-1300.00000,99.00000,7188.00000,,7188.00000,-60.00000,5927.00000,-2995.00000,-2995.00000,-436.00000,-436.00000,-6644.00000,-272.00000,-10347.00000,2704.00000,225.00000,-6644.00000
2017-12-31,1283.00000,1260.00000,1056.00000,2316.00000,3442.00000,3442.00000,7041.00000,-1642.00000,12.00000,-602.00000,,-602.00000,-80.00000,-2312.00000,1055.00000,1055.00000,-2087.00000,-2087.00000,-6320.00000,-95.00000,-7447.00000,-2748.00000,219.00000,-6320.00000
2016-12-31,6550.00000,1787.00000,680.00000,2467.00000,-225.00000,-225.00000,8792.00000,-2112.00000,197.00000,1216.00000,,1216.00000,-305.00000,-1004.00000,1666.00000,1666.00000,-2247.00000,-2247.00000,-6043.00000,79.00000,-6545.00000,943.00000,258.00000,-6043.00000
2015-12-31,7366.00000,1970.00000,1349.00000,3319.00000,-157.00000,-157.00000,10528.00000,-2468.00000,-1926.00000,-1752.00000,,-1752.00000,-40.00000,-6186.00000,2696.00000,2696.00000,-2319.00000,-2319.00000,-5741.00000,251.00000,-5113.00000,-1649.00000,236.00000,-5741.00000
2014-12-31,7124.00000,1976.00000,1954.00000,3930.00000,-439.00000,-439.00000,10615.00000,-2183.00000,-241.00000,-4814.00000,,-4814.00000,-268.00000,-7506.00000,4712.00000,4712.00000,-2630.00000,-2630.00000,-5350.00000,-363.00000,-3631.00000,-1456.00000,209.00000,-5350.00000
2013-12-31,8626.00000,1977.00000,871.00000,2848.00000,-932.00000,-932.00000,10542.00000,-2439.00000,519.00000,-1991.00000,,-1991.00000,-303.00000,-4214.00000,4711.00000,4711.00000,-3504.00000,-3504.00000,-4969.00000,17.00000,-3745.00000,1972.00000,227.00000,-4969.00000
2012-12-31,9086.00000,1982.00000,657.00000,2639.00000,-1080.00000,-1080.00000,10645.00000,-2637.00000,-1466.00000,-7033.00000,,-7033.00000,-268.00000,-11404.00000,4218.00000,4218.00000,-3070.00000,-3070.00000,-4595.00000,100.00000,-3347.00000,-4361.00000,259.00000,-4595.00000
2011-12-31,8646.00000,1954.00000,767.00000,2721.00000,-1893.00000,-1893.00000,9474.00000,-2819.00000,-573.00000,1013.00000,,1013.00000,-145.00000,-2524.00000,4965.00000,4965.00000,-2944.00000,-2944.00000,-4300.00000,45.00000,-2234.00000,4286.00000,354.00000,-4300.00000
2010-12-31,11837.00000,1443.00000,-4118.00000,-2675.00000,370.00000,370.00000,9532.00000,-2081.00000,-1539.00000,-547.00000,-132.00000,-679.00000,-106.00000,-4405.00000,1848.00000,1848.00000,-1295.00000,-1295.00000,-4068.00000,50.00000,-3465.00000,1496.00000,380.00000,-4068.00000
2009-12-31,6906.00000,1236.00000,608.00000,1844.00000,-564.00000,-564.00000,8186.00000,-1889.00000,-60.00000,-2130.00000,-22.00000,-2152.00000,-48.00000,-4149.00000,2363.00000,2363.00000,-854.00000,-854.00000,-3800.00000,-2.00000,-2293.00000,2320.00000,241.00000,-3800.00000
