,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4392.00000,196.00000,2318.00000,2514.00000,,-846.00000,234.00000,7140.00000,-227.00000,,0.00000,-5449.00000,-5449.00000,-19961.00000,-25637.00000,1656.00000,-1750.00000,-94.00000,-2349.00000,-2349.00000,-703.00000,19208.00000,16062.00000,-2435.00000,,-703.00000
2021-12-31,5449.00000,236.00000,420.00000,656.00000,,-496.00000,-86.00000,6019.00000,-194.00000,,2200.00000,2608.00000,4808.00000,-4574.00000,40.00000,-2646.00000,1750.00000,-896.00000,-2251.00000,-2251.00000,-636.00000,-4533.00000,-8316.00000,-2257.00000,,-636.00000
2020-12-31,1141.00000,165.00000,4636.00000,4801.00000,,118.00000,254.00000,6196.00000,-261.00000,,-2196.00000,926.00000,-1270.00000,3045.00000,1514.00000,-4792.00000,,-4792.00000,-338.00000,155.00000,-576.00000,4128.00000,-1085.00000,6625.00000,,-576.00000
2019-12-31,2957.00000,15.00000,3180.00000,3195.00000,37.00000,-202.00000,44.00000,6196.00000,-284.00000,,0.00000,-7146.00000,-7146.00000,-7844.00000,-15274.00000,-1714.00000,,-1714.00000,-1761.00000,-1761.00000,-573.00000,4945.00000,897.00000,-8181.00000,,-573.00000
2018-12-31,2742.00000,32.00000,2928.00000,2960.00000,45.00000,-7.00000,-511.00000,5191.00000,-254.00000,,,-1845.00000,-1845.00000,-8480.00000,-10579.00000,796.00000,,796.00000,-2059.00000,-2059.00000,-552.00000,8961.00000,7146.00000,1758.00000,,-552.00000
2017-12-31,2099.00000,-6.00000,2940.00000,2934.00000,55.00000,-502.00000,175.00000,5208.00000,-218.00000,,,128.00000,128.00000,-8701.00000,-8791.00000,823.00000,,823.00000,-2076.00000,-2088.00000,-527.00000,6753.00000,4961.00000,1378.00000,,-527.00000
2016-12-31,2393.00000,-44.00000,1972.00000,1928.00000,57.00000,-187.00000,104.00000,4425.00000,-179.00000,,,1259.00000,1259.00000,-5978.00000,-4898.00000,773.00000,,773.00000,-1901.00000,-1901.00000,-514.00000,4453.00000,2811.00000,2338.00000,,-514.00000
2015-12-31,2297.00000,-41.00000,1504.00000,1463.00000,169.00000,-237.00000,94.00000,3854.00000,-167.00000,2.00000,,769.00000,769.00000,-3472.00000,-2868.00000,2130.00000,-113.00000,2017.00000,-1710.00000,-1710.00000,-515.00000,1510.00000,1302.00000,2288.00000,,-515.00000
2014-12-31,2323.00000,-105.00000,1718.00000,1613.00000,55.00000,-238.00000,-110.00000,3826.00000,-145.00000,,,967.00000,967.00000,-5019.00000,-4197.00000,2017.00000,-27.00000,1990.00000,-1559.00000,-1559.00000,-467.00000,1137.00000,1101.00000,730.00000,,-467.00000
2013-12-31,2470.00000,-131.00000,1467.00000,1336.00000,232.00000,-252.00000,-289.00000,3517.00000,-231.00000,,,1011.00000,1011.00000,-3943.00000,-3163.00000,2756.00000,-231.00000,2525.00000,-1283.00000,-1283.00000,-399.00000,2773.00000,3616.00000,3970.00000,,-399.00000
2012-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-30,2345.00000,63.00000,723.00000,786.00000,-327.00000,-112.00000,-90.00000,3041.00000,-143.00000,,,131.00000,131.00000,-5681.00000,-5693.00000,2085.00000,234.00000,2319.00000,-1190.00000,-630.00000,-209.00000,2248.00000,3728.00000,1076.00000,47.00000,-209.00000
2011-11-30,2227.00000,-9.00000,1069.00000,1060.00000,-5.00000,-22.00000,311.00000,3598.00000,-108.00000,-401.00000,375.00000,-1137.00000,-762.00000,-6839.00000,-8110.00000,-2406.00000,50.00000,-2356.00000,-413.00000,-413.00000,-110.00000,5142.00000,2263.00000,-2249.00000,44.00000,-110.00000
2010-11-30,765.00000,-23.00000,3340.00000,3317.00000,24.00000,-201.00000,136.00000,4218.00000,-55.00000,,975.00000,-4541.00000,-3566.00000,-1447.00000,-5068.00000,-7144.00000,,-7144.00000,-179.00000,-1404.00000,-845.00000,2321.00000,-7072.00000,-7922.00000,37.00000,-845.00000
2009-11-30,1276.18500,70.10800,2360.33400,2430.44200,,436.82500,-108.73500,3597.89200,-52.54400,,-1350.00000,-253.94890,-1603.94900,-4504.28700,-6160.78000,693.98300,-500.00000,193.98300,522.43700,1746.99500,-101.03400,3572.52000,5412.46400,2849.57600,44.24900,-101.03400
