,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-09-30,322.16000,115.60900,255.14900,370.75800,-130.60500,-46.31000,-92.53500,-250.28700,442.63100,-33.62400,,-67.91100,319.65100,319.65100,,218.11600,-20.00000,-20.00000,-435.48300,-435.48300,-21.02500,-476.50800,177.87400,249.21600
2021-09-30,331.24100,115.42400,246.15900,361.58300,-46.28900,5.84300,-30.11500,-47.62800,645.19600,-30.65100,,-411.31900,-3.36500,-3.36500,,-445.33500,-20.00000,-20.00000,-434.24800,-434.24800,-14.03200,-468.28000,-268.49300,243.27900
2020-09-30,307.44100,95.85700,260.17500,356.03200,46.50200,6.50300,-90.32200,-2.57500,660.89800,-59.94000,,-955.57400,268.51200,268.51200,,-747.00200,390.00000,390.00000,-47.18100,-47.18100,-5.57600,337.24300,250.57200,201.94800
2019-09-30,427.73400,68.50700,186.50000,255.00700,-18.30500,-3.83200,12.52700,65.10000,747.84100,-103.54200,,-611.55000,300.45800,300.45800,,-414.63400,,,-155.44700,-155.44700,,-155.44700,176.36000,162.91400
2018-09-30,453.68900,59.49100,179.85900,239.35000,-4.88900,-0.73400,67.06900,68.02900,761.06800,-52.46500,,,-403.55800,-403.55800,,-456.02300,,,-551.26300,-551.26300,,-551.26300,-248.55800,157.85500
2017-09-30,420.76100,61.14800,170.62700,231.77500,-24.11500,4.21800,77.11800,87.74500,740.28100,-38.68100,-4.00000,,10.46900,10.46900,,-32.21200,,,-553.05100,-553.05100,7.01900,-546.03200,158.73000,175.32600
2016-09-30,365.85500,56.77600,161.94600,218.72200,9.73200,-0.33400,84.34300,126.95800,711.53500,-63.48800,-4.75000,,130.96100,130.96100,-0.00300,62.72000,,,-655.25500,-655.25500,2.60800,-652.64700,124.11100,156.76000
2015-09-30,365.01400,52.58300,134.75200,187.33500,-38.68000,-9.24600,140.59700,132.19200,684.54100,-60.30700,-6.77900,,56.38700,56.38700,,-10.69900,,,-566.41890,-566.41890,9.51700,-556.90200,108.95800,145.55300
2014-09-30,311.18300,46.12100,126.74100,172.86200,-40.89500,-5.44500,92.94800,64.94700,548.99200,-22.71800,,-49.43900,222.79800,222.79800,,150.64100,,,-615.24300,-615.24300,10.28300,-604.96000,91.80900,127.15600
2013-09-30,277.31400,40.00500,105.52400,145.52900,-18.86700,-1.61700,80.54400,76.85000,499.69300,-26.58300,,-212.64200,-113.24500,-113.24500,,-352.47000,,,-170.40900,-170.40900,4.09100,-166.31800,-21.48800,104.21200
2012-09-30,275.18600,35.13900,93.17300,128.31200,-20.20700,-0.26200,102.45500,91.93900,495.43700,-29.86700,-0.25000,-128.33500,-193.82710,-193.82710,,-352.27900,,,-159.60200,-159.60200,10.37100,-149.23100,-5.60300,95.34800
2011-09-30,241.39700,20.88700,95.05300,115.94000,-54.52600,1.66600,91.98500,59.60100,416.93800,-30.44500,-5.71500,,-103.55900,-103.55900,,-139.71900,,,-250.28700,-250.28700,23.62300,-226.66400,48.03000,89.74700
2010-09-30,151.15300,23.83300,80.09700,103.93000,-6.36500,-4.99600,57.73300,58.52900,313.61200,-12.62500,0.00000,,-225.59800,-225.59800,,-238.22300,,,-43.33000,-43.33000,26.53200,-16.79800,57.91700,70.77300
2009-09-30,91.53500,26.40700,52.63600,79.04300,-12.55500,-3.67100,37.38100,31.40300,201.98100,-11.66900,-0.70600,,-86.73400,-86.73400,,-99.10900,,,-68.74800,-68.74800,-1.95800,-70.70600,32.53400,56.06400
