,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,2428.00000,785.00000,195.00000,980.00000,200.00000,-41.00000,-396.00000,-337.00000,-940.00000,2468.00000,-662.00000,,-220.00000,,,4.00000,-878.00000,400.00000,400.00000,-1358.00000,-1358.00000,-685.00000,-41.00000,-1684.00000,-115.00000,119.00000,-685.00000
2021-09-30,2261.00000,769.00000,-161.00000,608.00000,-518.00000,-556.00000,560.00000,42.00000,-193.00000,2676.00000,-604.00000,,-423.00000,,,-10.00000,-1037.00000,-47.00000,-47.00000,-664.00000,-664.00000,-647.00000,-28.00000,-1386.00000,258.00000,94.00000,-647.00000
2020-09-30,-241.00000,1611.00000,768.00000,2379.00000,-63.00000,-89.00000,-80.00000,194.00000,-146.00000,1992.00000,-543.00000,,-339.00000,,,17.00000,-865.00000,22.00000,22.00000,-468.00000,-468.00000,-625.00000,-34.00000,-1105.00000,18.00000,74.00000,-625.00000
2019-09-30,1844.00000,690.00000,21.00000,711.00000,31.00000,64.00000,-178.00000,100.00000,-133.00000,2422.00000,-706.00000,,14.00000,,,,-692.00000,4.00000,4.00000,-1006.00000,-1006.00000,-608.00000,-33.00000,-1643.00000,79.00000,75.00000,-608.00000
2018-09-30,2565.00000,667.00000,-492.00000,175.00000,-269.00000,-247.00000,201.00000,-33.00000,-289.00000,2451.00000,-912.00000,,-153.00000,,,-29.00000,-1094.00000,-319.00000,-319.00000,-779.00000,-779.00000,-588.00000,-36.00000,-1722.00000,-370.00000,95.00000,-588.00000
2017-09-30,1683.00000,611.00000,-97.00000,514.00000,-204.00000,-270.00000,314.00000,61.00000,124.00000,2321.00000,-660.00000,,-250.00000,,,-22.00000,-932.00000,259.00000,259.00000,-497.00000,-497.00000,-546.00000,-30.00000,-814.00000,571.00000,95.00000,-546.00000
2016-09-30,2009.00000,560.00000,675.00000,1235.00000,95.00000,154.00000,-87.00000,314.00000,-1297.00000,1947.00000,-595.00000,,-1003.00000,,,17.00000,-1581.00000,181.00000,181.00000,-2697.00000,-2697.00000,-509.00000,-30.00000,-3055.00000,-2682.00000,87.00000,-509.00000
2015-09-30,2420.00000,616.00000,-545.00000,71.00000,-210.00000,-220.00000,-5.00000,81.00000,-561.00000,1930.00000,-583.00000,,1232.00000,,,-13.00000,636.00000,-184.00000,-184.00000,-920.00000,-920.00000,-502.00000,252.00000,-1354.00000,872.00000,89.00000,-502.00000
2014-09-30,1781.00000,551.00000,-57.00000,494.00000,-182.00000,-98.00000,71.00000,130.00000,-192.00000,2083.00000,-506.00000,,-519.00000,,,-50.00000,-1075.00000,939.00000,939.00000,-422.00000,-422.00000,-443.00000,-9.00000,65.00000,1054.00000,77.00000,-443.00000
2013-09-30,1277.00000,536.00000,570.00000,1106.00000,-65.00000,-28.00000,143.00000,13.00000,-337.00000,2046.00000,-559.00000,,8.00000,,,6.00000,-545.00000,-664.00000,-664.00000,-630.00000,-630.00000,-384.00000,,-1678.00000,-186.00000,71.00000,-384.00000
2012-09-30,1115.00000,609.00000,200.00000,809.00000,17.00000,123.00000,-189.00000,157.00000,23.00000,1947.00000,-510.00000,,-990.00000,,,-10.00000,-1510.00000,406.00000,406.00000,-125.00000,-125.00000,-332.00000,-14.00000,-65.00000,371.00000,68.00000,-332.00000
2011-09-30,1250.00000,564.00000,197.00000,761.00000,26.00000,-208.00000,-38.00000,267.00000,-232.00000,1779.00000,-509.00000,68.00000,-731.00000,155.00000,155.00000,-26.00000,-1043.00000,-416.00000,-416.00000,-785.00000,-785.00000,-296.00000,-15.00000,-1512.00000,-772.00000,71.00000,-296.00000
2010-09-30,1109.00000,514.00000,-20.00000,494.00000,-320.00000,-169.00000,310.00000,-108.00000,76.00000,1679.00000,-364.00000,0.00000,-38.00000,1.00000,1.00000,-41.00000,-442.00000,,,-476.00000,-476.00000,-289.00000,-14.00000,-779.00000,469.00000,61.00000,-289.00000
2009-09-30,-3259.00000,4062.00000,-229.00000,3833.00000,651.00000,634.00000,-420.00000,129.00000,755.00000,1329.00000,-315.00000,,709.00000,,,-3.00000,391.00000,-803.00000,-803.00000,-151.00000,-151.00000,-294.00000,-6.00000,-1254.00000,431.00000,50.00000,-294.00000
