,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3492.00000,2147.00000,-169.00000,1978.00000,-1728.00000,-737.00000,-85.00000,-1750.00000,3720.00000,-1498.00000,-97.00000,-58.00000,138.00000,220.00000,358.00000,-93.00000,-1388.00000,-1650.00000,37.00000,-1613.00000,223.00000,223.00000,-848.00000,-144.00000,-2382.00000,-102.00000,313.00000,-848.00000
2021-12-31,1928.00000,2120.00000,238.00000,2358.00000,-36.00000,75.00000,320.00000,365.00000,4651.00000,-1141.00000,-39.00000,-103.00000,787.00000,-365.00000,422.00000,-58.00000,-919.00000,-2042.00000,-105.00000,-2147.00000,137.00000,137.00000,-699.00000,-115.00000,-2824.00000,913.00000,324.00000,-699.00000
2020-12-31,-10486.00000,2566.00000,11636.00000,14202.00000,2345.00000,86.00000,328.00000,-772.00000,2944.00000,-1116.00000,-101.00000,401.00000,-1141.00000,-303.00000,-1444.00000,-93.00000,-2353.00000,674.00000,156.00000,830.00000,120.00000,120.00000,-1734.00000,-89.00000,-873.00000,-293.00000,397.00000,-1734.00000
2019-12-31,-10107.00000,3589.00000,12301.00000,15890.00000,142.00000,-314.00000,-25.00000,-352.00000,5431.00000,-1724.00000,-231.00000,325.00000,238.00000,-464.00000,-226.00000,-155.00000,-2011.00000,-795.00000,-44.00000,-839.00000,-59.00000,-59.00000,-2769.00000,-51.00000,-3718.00000,-296.00000,405.00000,-2769.00000
2018-12-31,2177.00000,3556.00000,110.00000,3666.00000,430.00000,-10.00000,377.00000,-130.00000,5713.00000,-2160.00000,-100.00000,287.00000,,962.00000,962.00000,-29.00000,-1040.00000,-1963.00000,-85.00000,-2048.00000,-139.00000,-139.00000,-2770.00000,-63.00000,-5020.00000,-366.00000,345.00000,-2770.00000
2017-12-31,-1513.00000,3837.00000,3658.00000,7495.00000,-124.00000,108.00000,319.00000,-319.00000,5663.00000,-2107.00000,-276.00000,-847.00000,,1668.00000,1668.00000,-217.00000,-1779.00000,-590.00000,-1022.00000,-1612.00000,-672.00000,-672.00000,-2778.00000,29.00000,-5033.00000,-1130.00000,343.00000,-2778.00000
2016-12-31,-1627.00000,4094.00000,4040.00000,8134.00000,1098.00000,800.00000,-354.00000,-246.00000,6261.00000,-2055.00000,-630.00000,-2398.00000,,4513.00000,4513.00000,-54.00000,-624.00000,-1990.00000,-387.00000,-2377.00000,-363.00000,-363.00000,-2647.00000,-41.00000,-5428.00000,136.00000,267.00000,-2647.00000
2015-12-31,2135.00000,4078.00000,2868.00000,6946.00000,2176.00000,625.00000,278.00000,-276.00000,8805.00000,-2410.00000,-486.00000,-443.00000,,-6801.00000,-6801.00000,-112.00000,-10252.00000,5794.00000,-3.00000,5791.00000,-1734.00000,-1734.00000,-2419.00000,-264.00000,1374.00000,-337.00000,326.00000,-2419.00000
2014-12-31,5506.00000,4094.00000,2159.00000,6253.00000,-187.00000,-36.00000,-409.00000,-564.00000,11195.00000,-3976.00000,-321.00000,-1008.00000,,-294.00000,-294.00000,19.00000,-5580.00000,-589.00000,552.00000,-37.00000,-3853.00000,-3853.00000,-1968.00000,-38.00000,-5896.00000,-342.00000,329.00000,-1968.00000
2013-12-31,6774.00000,3879.00000,-127.00000,3752.00000,-803.00000,188.00000,91.00000,164.00000,10690.00000,-3943.00000,-394.00000,-1210.00000,,-1550.00000,-1550.00000,218.00000,-6879.00000,1413.00000,37.00000,1450.00000,-2059.00000,-2059.00000,-1608.00000,18.00000,-2199.00000,1567.00000,315.00000,-1608.00000
2012-12-31,5519.00000,3647.00000,-256.00000,3391.00000,-2051.00000,-645.00000,-300.00000,-1995.00000,6915.00000,-4694.00000,-351.00000,-845.00000,,-1600.00000,-1600.00000,-55.00000,-7545.00000,1015.00000,621.00000,1636.00000,-562.00000,-562.00000,-1432.00000,19.00000,-339.00000,200.00000,335.00000,-1432.00000
2011-12-31,5007.00000,3274.00000,-332.00000,2942.00000,-1402.00000,-863.00000,106.00000,-2069.00000,5880.00000,-4004.00000,-289.00000,-186.00000,,351.00000,351.00000,230.00000,-3898.00000,1892.00000,-119.00000,1773.00000,-2560.00000,-2560.00000,-1300.00000,-613.00000,-2700.00000,-59.00000,272.00000,-1300.00000
2010-12-31,4265.00000,2757.00000,-1541.00000,1216.00000,-290.00000,-50.00000,-33.00000,28.00000,5509.00000,-2912.00000,-326.00000,-702.00000,,1023.00000,1023.00000,-19.00000,-2936.00000,1001.00000,-68.00000,933.00000,-1316.00000,-1316.00000,-1040.00000,14.00000,-1409.00000,1147.00000,198.00000,-1040.00000
2009-12-31,3142.00000,2476.00000,-67.00000,2409.00000,155.00000,64.00000,195.00000,-240.00000,5311.00000,-2395.00000,-230.00000,-514.00000,,-1159.00000,-1159.00000,228.00000,-4070.00000,219.00000,-111.00000,108.00000,-294.00000,-294.00000,-1006.00000,4.00000,-1188.00000,8.00000,186.00000,-1006.00000
