,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-01-31,1615.40000,772.50000,292.50000,1065.00000,,,-1065.60000,-1065.60000,1614.80000,-1253.80000,,,,,,,-1253.80000,,,-638.20000,-638.20000,-48.60000,-686.80000,-327.00000,110.40000
2022-01-31,1327.90000,724.90000,111.70000,836.60000,-940.40000,403.80000,-192.70000,-733.00010,1431.50000,-1022.80000,,,,,,2.90000,-1019.90000,197.40000,197.40000,-932.20000,-932.20000,-101.70000,-836.50000,-425.30000,79.90000
2021-01-31,1341.90000,690.60000,133.60000,824.20000,97.10000,142.60000,286.90000,550.20000,2716.30000,-889.70000,,,,,,,-889.70000,-550.00000,-550.00000,-383.00000,-383.00000,-16.90000,-949.90000,877.60000,83.90000
2020-01-31,827.00000,965.30000,95.00000,1060.30000,13.60000,-79.80000,46.00000,-17.50000,1869.80000,-1036.70000,,,,,,16.50000,-1020.20000,-500.00000,-500.00000,-184.80000,-184.80000,-25.00000,-709.80000,139.30000,61.40000
2019-01-31,-1590.80000,3405.30000,173.50000,3578.80000,-369.20000,242.60000,-123.90000,-222.00000,1766.00000,-816.70000,,,,,,,-816.70000,-1438.90000,-1438.90000,17.50000,17.50000,-178.50000,-1599.90000,-651.10000,63.10000
2018-01-31,1714.30000,626.60000,-378.40000,248.20000,-300.90000,54.50000,-147.40000,-452.30000,1510.20000,-631.90000,,,,4.00000,4.00000,,-627.90000,-659.10000,-659.10000,35.00000,35.00000,-27.40000,-651.50000,231.40000,65.70000
2017-01-31,896.20000,692.70000,-53.10000,639.60000,21.90000,-133.80000,172.30000,137.50000,1673.30000,-565.60000,,,,82.00000,82.00000,,-483.60000,-1073.70000,-1073.70000,41.50000,41.50000,-28.30000,-1060.50000,130.30000,61.60000
2016-01-31,282.40000,552.30000,86.50000,638.80000,-87.80000,183.90000,-217.90000,-118.70000,802.50000,-480.00000,,-6527.70000,,29.30000,29.30000,,-6978.40000,6203.50000,6203.50000,13.90000,13.90000,-168.60000,6048.80000,-128.00000,53.20000
2015-01-31,599.20000,205.90000,24.50000,230.40000,-6.00000,41.90000,81.90000,113.20000,942.80000,-324.00000,,,,9.00000,9.00000,,-315.00000,-12.80000,-12.80000,5.50000,5.50000,-23.30000,-30.60000,596.40000,38.30000
2014-01-31,596.70000,190.50000,48.30000,238.80000,-67.70000,46.90000,11.70000,-41.40000,794.10000,-330.90000,-0.30000,,,6.20000,6.20000,,-325.00000,498.50000,498.50000,-1112.10000,-1106.10000,9.80000,-597.80000,-132.20000,37.00000
2013-01-31,619.30000,175.30000,-28.30000,147.00000,-104.00000,59.30000,-59.60000,-88.00000,678.30000,-313.20000,0.00000,,,51.30000,51.30000,,-261.90000,5.50000,5.50000,-340.20000,-330.20000,21.30000,-303.40000,111.60000,35.50000
2012-01-31,488.30000,163.90000,46.90000,210.80000,-64.50000,26.90000,26.10000,-12.60000,686.50000,-250.10000,0.00000,,174.80000,-11.00000,163.80000,0.20000,-86.10000,-2.00000,-2.00000,-635.00000,-635.00000,13.80000,-623.20000,-22.90000,31.60000
2011-01-31,397.30000,159.70000,45.20000,204.90000,-126.70000,28.10000,-0.10000,-83.50000,518.70000,-178.70000,-0.20000,-49.40000,-147.00000,1.20000,-145.80000,,-374.10000,-15.10000,-15.10000,-397.00000,-397.00000,7.80000,-404.30000,-260.40000,28.30000
2010-01-31,320.50000,157.80000,27.90000,185.70000,-4.00000,27.00000,49.80000,74.80000,581.00000,-164.80000,,,-27.80000,-19.90000,-47.70000,,-212.50000,-0.40000,-0.40000,-164.80000,-164.80000,3.90000,-161.30000,207.20000,21.70000
2009-01-31,229.50000,161.70000,41.60000,203.30000,-34.60000,-7.50000,49.20000,-29.70000,403.10000,-131.30000,-0.40000,,40.50000,-10.80000,29.70000,,-102.00000,-1.20000,-1.20000,21.60000,21.60000,2.30000,22.70000,323.80000,16.70000
