,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2574.00000,1703.00000,945.00000,2648.00000,,,-1278.00000,-1278.00000,3944.00000,-2547.00000,,,-8.00000,-2555.00000,-99.00000,-86.00000,-185.00000,-432.00000,-432.00000,-975.00000,-24.00000,-1616.00000,-227.00000,83.00000,-975.00000
2021-12-31,890.00000,1528.00000,573.00000,2101.00000,-748.00000,135.00000,-176.00000,-101.00000,2890.00000,-1320.00000,,,-5.00000,-1325.00000,230.00000,-80.00000,150.00000,255.00000,255.00000,-975.00000,-21.00000,-591.00000,974.00000,77.00000,-975.00000
2020-12-31,-2839.00000,2074.00000,2568.00000,4642.00000,267.00000,-117.00000,-71.00000,-470.00000,1333.00000,-1704.00000,,,-3.00000,-1707.00000,993.00000,152.00000,1145.00000,15.00000,15.00000,-570.00000,-22.00000,568.00000,194.00000,79.00000,-570.00000
2019-12-31,-240.00000,2122.00000,355.00000,2477.00000,-383.00000,-16.00000,-216.00000,-595.00000,1642.00000,-2807.00000,-33.00000,-33.00000,-3.00000,-2843.00000,703.00000,32.00000,735.00000,15.00000,15.00000,-669.00000,-29.00000,52.00000,-1149.00000,85.00000,-669.00000
2018-12-31,-115.00000,1883.00000,361.00000,2244.00000,-138.00000,-12.00000,-126.00000,-190.00000,1939.00000,-1490.00000,-67.00000,-67.00000,-9.00000,-1566.00000,-633.00000,,-633.00000,-1365.00000,-1365.00000,-556.00000,28.00000,-2526.00000,-2153.00000,72.00000,-556.00000
2017-12-31,-3941.00000,2883.00000,2802.00000,5685.00000,-340.00000,-64.00000,-317.00000,-799.00000,945.00000,1359.00000,,,-1.00000,1358.00000,341.00000,-153.00000,188.00000,-110.00000,-110.00000,-363.00000,97.00000,-188.00000,2115.00000,86.00000,-363.00000
2016-12-31,-6076.00000,3244.00000,3674.00000,6918.00000,96.00000,77.00000,-142.00000,-47.00000,795.00000,-2111.00000,,,21.00000,-2090.00000,41.00000,43.00000,84.00000,1087.00000,1644.00000,-350.00000,-67.00000,1311.00000,16.00000,73.00000,-350.00000
2015-12-31,-3007.00000,3955.00000,1021.00000,4976.00000,793.00000,29.00000,-164.00000,12.00000,1981.00000,-4271.00000,,,65.00000,-4206.00000,533.00000,110.00000,643.00000,-142.00000,-142.00000,-287.00000,2283.00000,2497.00000,272.00000,97.00000,-287.00000
2014-12-31,2374.00000,3224.00000,-603.00000,2621.00000,-199.00000,62.00000,-372.00000,-538.00000,4457.00000,-2236.00000,,,2244.00000,8.00000,8.00000,,8.00000,-3533.00000,-3533.00000,-303.00000,-7.00000,-3835.00000,630.00000,87.00000,-303.00000
2013-12-31,5222.00000,2687.00000,-1687.00000,1000.00000,-239.00000,134.00000,-209.00000,-1124.00000,5098.00000,-1479.00000,,,1829.00000,350.00000,-736.00000,-1748.00000,-2484.00000,-1365.00000,-1365.00000,-235.00000,-192.00000,-4276.00000,1172.00000,60.00000,-235.00000
2012-12-31,2063.00000,2866.00000,-19.00000,2847.00000,125.00000,-124.00000,-163.00000,750.00000,5660.00000,-6839.00000,,,-212.00000,-7051.00000,197.00000,1648.00000,1845.00000,11.00000,11.00000,-171.00000,-3.00000,1682.00000,291.00000,83.00000,-171.00000
2011-12-31,1676.00000,2373.00000,1040.00000,3413.00000,-280.00000,-51.00000,-143.00000,-105.00000,4984.00000,-6451.00000,,,-115.00000,-6566.00000,322.00000,100.00000,422.00000,88.00000,88.00000,-136.00000,-49.00000,325.00000,-1257.00000,86.00000,-136.00000
2010-12-31,2138.00000,2317.00000,-34.00000,2283.00000,-760.00000,-16.00000,-351.00000,109.00000,4530.00000,-5309.00000,,,50.00000,-5259.00000,1098.00000,,1098.00000,54.00000,54.00000,-131.00000,-46.00000,975.00000,246.00000,112.00000,-131.00000
2009-12-31,807.00000,2200.00000,471.00000,2671.00000,320.00000,-137.00000,8.00000,-432.00000,3046.00000,-2918.00000,,,-6.00000,-2924.00000,1297.00000,-850.00000,447.00000,18.00000,18.00000,-131.00000,-2.00000,332.00000,454.00000,128.00000,-131.00000
