,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,686.00000,671.00000,-1.00000,670.00000,-672.00000,78.00000,-276.00000,-870.00000,486.00000,-1484.00000,551.00000,-933.00000,705.00000,127.00000,832.00000,25.00000,25.00000,-428.00000,2.00000,431.00000,-16.00000,-428.00000
2021-12-31,674.00000,657.00000,132.00000,789.00000,-530.00000,37.00000,-388.00000,-881.00000,582.00000,-1169.00000,441.00000,-728.00000,592.00000,126.00000,718.00000,28.00000,-172.00000,-403.00000,-13.00000,130.00000,-16.00000,-403.00000
2020-12-31,624.00000,615.00000,103.00000,718.00000,-468.00000,-3.00000,-370.00000,-841.00000,501.00000,-1366.00000,415.00000,-951.00000,593.00000,52.00000,645.00000,247.00000,247.00000,-377.00000,-27.00000,488.00000,38.00000,-377.00000
2019-12-31,567.00000,567.00000,64.00000,631.00000,-472.00000,,-66.00000,-538.00000,660.00000,-1640.00000,353.00000,-1287.00000,694.00000,-104.00000,590.00000,390.00000,390.00000,-337.00000,-24.00000,619.00000,-8.00000,-337.00000
2018-12-31,522.00000,507.00000,80.00000,587.00000,-475.00000,,-106.00000,-581.00000,528.00000,-1634.00000,567.00000,-1067.00000,644.00000,26.00000,670.00000,197.00000,197.00000,-312.00000,-24.00000,531.00000,-8.00000,-312.00000
2017-12-31,467.50000,461.80000,209.40000,671.20000,-441.20000,,-175.90000,-617.10000,521.60000,-1466.90000,433.50000,-1033.40000,545.40000,171.10000,716.50000,149.60000,149.60000,-288.30000,-45.20000,532.60000,20.80000,-288.30000
2016-12-31,381.70000,406.80000,220.60000,627.40010,-572.20000,,-44.10000,-616.30000,392.80000,-1196.80000,476.60000,-720.20000,486.60000,84.30000,570.90000,26.60000,26.60000,-266.50000,-1.70000,329.30000,1.90000,-266.50000
2015-12-31,388.40000,413.70000,196.90000,610.60000,19.80000,,-147.60000,-127.80000,871.20000,-894.40000,-24.80000,-919.20000,67.70000,18.50000,86.20000,151.20000,151.20000,-247.30000,6.80000,-3.10000,-51.10000,-247.30000
2014-12-31,393.30000,442.30000,168.50000,610.80000,41.70000,,-154.20000,-112.50000,891.60000,-838.90000,-78.80000,-917.70000,454.40000,-138.10000,316.30000,,,-225.80000,-17.30000,73.20000,47.10000,-225.80000
2013-12-31,376.20000,411.10000,177.90000,589.00010,-150.20000,,-84.00000,-234.20000,731.00000,-731.60000,-23.10000,-754.70000,248.50000,11.90000,260.40000,,-11.00000,-208.30000,-28.80000,12.30000,-11.40000,-208.30000
2012-12-31,335.70000,387.90000,192.50000,580.40000,51.30000,,-126.30000,-75.00000,841.10000,-1025.50000,-130.00000,-1155.50000,383.60000,164.70000,548.30000,,,-215.20000,-8.90000,324.20000,9.80000,-199.30000
2011-12-31,321.90000,380.10000,163.20000,543.30000,20.70000,,-183.20000,-162.50000,702.70000,-608.10000,-44.00000,-652.10000,0.40000,55.40000,55.80000,,-40.00000,-204.90000,-9.40000,-198.50000,-147.90000,-188.10000
2010-12-31,306.30000,344.10000,261.70000,605.80000,81.30000,,-72.30000,72.80000,984.90000,-833.30000,-33.20000,-866.50000,192.20000,-142.60000,49.60000,,,-193.30000,9.30000,-134.40000,-16.00000,-174.60000
2009-12-31,129.70000,317.70000,412.10000,729.80000,48.50000,,-235.10000,-202.40000,657.10000,-1149.60000,0.70000,-1148.90000,422.30000,103.90000,526.20000,,,-184.20000,-21.80000,320.20000,-171.60000,-165.50000
