,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-01-31,823.00000,150.00000,406.00000,556.00000,-247.00000,795.00000,692.00000,2071.00000,-40.00000,-6.00000,-96.00000,53.00000,53.00000,-54.00000,-143.00000,-350.00000,-350.00000,-977.00000,-977.00000,-160.00000,-1487.00000,419.00000,657.00000
2022-01-31,497.00000,148.10000,668.90000,817.00000,-66.20000,285.90000,217.30000,1531.30000,-56.00000,-10.50000,-1250.30000,-273.30000,-273.30000,-4.50000,-1594.60000,997.00000,997.00000,-964.80000,-964.80000,-200.80000,-168.60000,-243.80000,555.40000
2021-01-31,1208.20000,123.80000,-341.40000,-217.60000,12.60000,288.00000,446.60000,1437.20000,-91.10000,-4.80000,-246.20000,-4.00000,-4.00000,-57.80000,-403.90000,-450.00000,-450.00000,-437.60000,-437.60000,-159.20000,-1046.80000,-2.50000,398.40000
2020-01-31,214.50000,127.30000,361.30000,488.60000,-178.50000,975.20000,712.00000,1415.10000,-53.20000,0.00000,,7.50000,7.50000,-11.60000,-57.30000,-1.10000,-1.10000,-348.80000,-348.80000,-116.90000,-466.80000,888.70000,362.40000
2019-01-31,-80.80000,95.20000,276.60000,371.80000,-25.40000,204.50000,86.10000,377.10000,-67.00000,,-1040.20000,392.80000,392.80000,4.00000,-710.40000,500.00000,500.00000,-202.60000,-202.60000,-145.50000,151.90000,-192.00000,249.50000
2018-01-31,-566.90000,108.40000,323.70000,432.10000,13.30000,158.40000,135.70000,0.90000,-50.70000,,,569.30000,569.30000,-12.20000,506.40000,96.90000,96.90000,-604.60000,-604.60000,-148.90000,-656.60000,-135.10000,261.40000
2017-01-31,-582.10000,139.20000,255.80000,395.00000,201.50000,253.50000,356.80000,169.70000,-76.00000,,-85.20000,447.00000,447.00000,-13.80000,272.00000,,,-502.10000,-502.10000,-76.20000,-578.30000,-139.90000,221.80000
2016-01-31,-330.50000,145.80000,408.10000,553.90000,-195.50000,357.70000,190.60000,414.00000,-72.40000,,-148.50000,-544.10010,-544.10010,-44.50000,-809.50000,748.30000,748.30000,-347.20000,-347.20000,-57.90000,343.20000,-57.60000,197.20000
2015-01-31,81.80000,145.90000,166.10000,312.00000,-17.30000,252.00000,314.80000,708.60000,-75.50000,,-630.00000,-196.10000,-196.10000,-4.00000,-905.60000,,,-197.00000,-197.00000,-43.40000,-240.40000,-442.40000,165.60000
2014-01-31,228.80000,128.90000,70.40000,199.30000,72.30000,45.70000,135.40000,563.50000,-64.20000,,-176.10000,64.90000,64.90000,-18.60000,-194.00000,,,-111.00000,-111.00000,-15.50000,-126.50000,240.80000,132.20000
2013-01-31,247.40000,127.80000,165.70000,293.50000,-98.10000,113.40000,18.20000,559.10000,-56.40000,,-263.70000,-300.00000,-300.00000,-27.10000,-647.20000,745.60000,745.60000,-211.00000,-211.00000,6.80000,541.40000,455.30000,156.30000
2012-01-31,285.30000,115.50000,41.90000,157.40000,-71.80000,147.30000,130.80000,573.50000,-63.00000,,-221.70000,-55.10000,-55.10000,-30.50000,-370.30000,,,-151.30000,-151.30000,31.50000,-119.80000,81.80000,108.80000
2011-01-31,212.00000,105.40000,87.40000,192.80000,-40.70000,58.60000,136.00000,540.80000,-28.30000,,-13.50000,-96.50000,-96.50000,-4.00000,-142.30000,,,-159.40000,-159.40000,,-159.40000,236.40000,80.70000
2010-01-31,58.00000,132.50000,128.30000,260.80000,37.30000,-29.60000,-72.00000,246.80000,-31.70000,,-26.10000,-213.80000,-213.80000,-11.40000,-283.00000,,-52.10000,6.80000,6.80000,,-45.30000,-78.90000,93.60000
2009-01-31,183.60000,220.70000,141.50000,362.20000,81.80000,33.00000,48.10000,593.90000,-78.40000,,-364.50000,-35.20000,-35.20000,,-478.10000,,52.10000,-166.50000,-166.50000,,-114.40000,-0.30000,89.50000
