,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-610.30800,75.09300,232.00400,307.09700,-112.65600,-226.54800,188.66400,-150.54000,-453.75100,-77.34000,,,325.73610,325.73610,-20.15900,228.23700,125.36000,125.36000,125.36000,-101.34800,221.29700
2021-12-31,-674.47100,94.55900,168.92100,263.48000,-64.26800,-84.52700,60.77900,-88.01600,-499.00700,-52.33000,,,341.21410,341.21410,,288.88400,77.77900,77.77900,77.77900,-133.59000,173.11700
2020-12-31,613.67000,66.48800,133.55000,200.03800,-88.72700,-30.20400,161.79100,42.86000,856.56800,-82.40900,,,-1336.60300,-1336.60300,,-1419.01200,846.10800,846.10800,846.10800,283.86200,147.23300
2019-12-31,-158.65000,28.59800,79.07800,107.67600,-89.72000,-32.69300,9.65000,-112.76300,-163.73700,-70.75300,,,-206.97600,-206.97600,,-277.72900,637.84200,637.84200,637.84200,196.37600,127.34900
2018-12-31,-222.69300,23.50200,47.87200,71.37400,-45.23300,6.73900,-13.72300,-52.21700,-203.53600,-21.21900,-598.15100,,26.74000,26.74000,,-592.63000,713.40700,713.40700,713.40700,-82.75900,78.86100
2017-12-31,-125.53000,24.76600,-3.33200,21.43400,-22.84600,8.14600,-0.10400,-14.80400,-118.90000,-28.72200,-41.65700,,200.24000,200.24000,,129.86100,41.31100,41.31100,41.31100,52.27200,63.80200
2016-12-31,-140.11100,22.78000,52.47100,75.25100,-8.99800,-11.16100,-41.89100,-32.11100,-96.97100,-27.83500,,,96.02800,96.02800,,68.19300,35.19600,35.19600,35.19600,6.41800,52.47100
2015-12-31,-120.48600,17.35100,41.83600,59.18700,-13.68200,-13.51200,-51.24900,-71.90400,-133.20300,-13.39200,,-5.00000,-357.45800,-362.45800,,-375.85000,554.38100,554.38100,554.38100,45.32800,41.83600
2014-12-31,-76.14100,12.34000,40.61900,52.95900,-9.74000,-16.37800,-29.14700,-36.81700,-59.99900,-17.17600,,0.00000,53.79800,53.79800,,36.62200,16.18800,16.18800,16.18800,-7.18900,40.61900
2013-12-31,-62.52000,10.49800,31.40600,41.90400,3.93500,10.67400,3.40400,19.50600,-1.11000,-22.15400,,0.00000,-2.48200,-2.48200,,-24.63600,35.19900,35.19900,35.19900,9.45300,31.40600
2012-12-31,-53.78200,8.73300,25.34000,34.07300,21.51200,-28.27800,34.27400,30.59000,10.88100,-10.48500,,,-69.09100,-69.09100,,-79.57600,35.72400,35.72400,35.72400,-32.97100,25.34000
2011-12-31,-152.03000,16.64400,19.98400,36.62800,-35.67600,-9.46900,9.25100,-8.62900,-124.03100,-11.25200,,,19.57000,19.57000,-5.76400,2.55400,187.98400,187.98400,187.98400,66.50700,19.98400
2010-12-31,-66.26500,6.99100,14.33000,21.32100,60.84300,,-15.37800,51.75200,6.80800,-3.54800,,,-8.02200,-8.02200,0.02600,-11.54400,7.37700,7.37700,7.37700,2.64100,14.33000
2009-12-31,-81.68300,6.88200,11.84900,18.73100,-71.93600,,69.51600,1.19700,-61.75500,-4.58900,,,-142.82900,-142.82900,-0.02800,-147.44600,196.88700,196.88700,196.88700,-12.31400,11.84900
