,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,907.00000,110.00000,109.00000,219.00000,48.00000,-93.00000,435.00000,390.00000,1470.00000,-190.00000,318.00000,8650.00000,-2772.00000,5878.00000,-4601.00000,1405.00000,-290.00000,9514.00000,9224.00000,-193.00000,-193.00000,-269.00000,-11575.00000,-2813.00000,62.00000,30.00000,-269.00000
2021-12-31,1129.00000,-14.00000,-216.00000,-230.00000,14.00000,-107.00000,-65.00000,-158.00000,629.00000,-206.00000,,-5577.00000,-8641.00000,-14218.00000,2845.00000,-11579.00000,-286.00000,-669.00000,-955.00000,-779.00000,-905.00000,-261.00000,13123.00000,11002.00000,52.00000,28.00000,-261.00000
2020-12-31,539.00000,86.00000,382.00000,468.00000,-10.00000,-83.00000,-166.00000,-259.00000,719.00000,-171.00000,,-5611.00000,-1777.00000,-7388.00000,-4645.00000,-12204.00000,-429.00000,-481.00000,-910.00000,-68.00000,-68.00000,-259.00000,12560.00000,11323.00000,-162.00000,26.00000,-259.00000
2019-12-31,816.00000,188.00000,64.00000,252.00000,-84.00000,-76.00000,-193.00000,-353.00000,697.00000,-117.00000,,852.00000,1595.00000,2447.00000,-1955.00000,375.00000,992.00000,-3600.00000,-2608.00000,-1088.00000,-1088.00000,-260.00000,2975.00000,-981.00000,91.00000,27.00000,-260.00000
2018-12-31,884.00000,193.00000,-14.00000,179.00000,9.00000,42.00000,88.00000,139.00000,1176.00000,-129.00000,,-784.00000,144.00000,-640.00000,-1937.00000,-2706.00000,335.00000,677.00000,1012.00000,-652.00000,-652.00000,-236.00000,1472.00000,1596.00000,66.00000,26.00000,-236.00000
2017-12-31,592.00000,179.00000,196.00000,375.00000,97.00000,-33.00000,-60.00000,4.00000,928.00000,-169.00000,,683.00000,-2314.00000,-1631.00000,-2119.00000,-3919.00000,-153.00000,4149.00000,3996.00000,-296.00000,-440.00000,-129.00000,-625.00000,2802.00000,-189.00000,25.00000,-129.00000
2016-12-31,469.00000,123.00000,94.00000,217.00000,1.00000,-67.00000,-9.00000,-75.00000,596.00000,-196.00000,,4749.00000,-5914.00000,-1165.00000,-2075.00000,-3436.00000,-280.00000,480.00000,200.00000,-72.00000,-198.00000,-108.00000,2885.00000,2779.00000,-61.00000,26.00000,-108.00000
2015-12-31,309.00000,86.00000,156.00000,242.00000,-6.00000,22.00000,-73.00000,-57.00000,464.00000,-157.00000,,1837.00000,-3739.00000,-1902.00000,-520.00000,-2579.00000,-288.00000,103.00000,-185.00000,15.00000,-161.00000,-108.00000,2525.00000,2071.00000,-44.00000,25.00000,-108.00000
2014-12-31,398.46200,57.69100,-46.77000,10.92100,38.61000,-36.04500,-8.32000,-5.75500,380.34100,-175.79900,,-105.06600,-71.49810,-176.56410,-916.19900,-1268.56200,-1223.27500,-96.12500,-1319.40000,520.84900,520.84900,-96.13000,1451.78700,557.10600,-331.11500,,-96.13000
2013-12-31,263.45500,295.75000,-41.26700,254.48300,75.05800,-6.28600,253.62000,322.39200,835.10700,-88.58000,,295.64000,-246.08400,49.55600,-1313.97100,-1352.99500,-185.71400,-12.27400,-197.98800,,-5.32500,-119.66000,172.64100,-150.33200,-668.22000,,-119.66000
2012-12-31,348.15000,291.73000,28.40200,320.13200,-31.44500,11.98300,99.21100,79.74900,736.19500,-68.89400,-19.90100,-1631.27800,321.50100,-1309.77700,-480.97000,-1879.54200,384.71900,-370.26400,14.45500,,-1399.26000,-133.58100,3279.29000,1760.90400,617.55700,,-133.58100
2011-12-31,322.69000,276.17100,239.52600,515.69700,50.69600,8.39400,172.96200,232.05200,1068.74800,-77.66900,,-2416.74100,816.46190,-1600.27900,-786.17700,-2464.12500,97.40200,-208.54100,-111.13900,,25.68600,-156.13500,1937.18900,1695.60100,300.22400,,-156.13500
2010-12-31,-296.34900,372.75400,1014.45400,1387.20800,-32.95300,-25.12400,472.45800,414.38100,1471.63000,-79.07100,21.14900,-3974.80800,-535.61290,-4510.42100,2632.01000,-1936.33300,76.85500,-19.54100,57.31400,,977.14500,-109.31600,-906.50300,18.64000,-446.06300,,-109.31600
2009-12-31,-1221.67700,213.04000,2610.92700,2823.96700,-0.39600,18.52100,-569.87600,-551.75100,1058.46400,-97.13500,452.19200,1975.10700,-520.15000,1454.95700,1832.28700,3642.30100,295.49100,-3243.87300,-2948.38200,,416.94400,-96.27100,-2178.84300,-4806.55200,-105.78700,,-96.27100
