,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,480.90000,115.60000,-53.50000,62.10000,30.40000,-187.00000,-56.90000,33.80000,-179.70000,363.30000,-81.10000,-1580.90000,79.20000,-1582.80000,1427.50000,,1427.50000,-52.70000,-52.70000,-138.60000,-3.50000,1232.70000,14.40000,-10.30000,-138.60000
2021-12-31,553.00000,77.50000,40.30000,117.80000,-142.00000,-121.40000,114.20000,91.60000,-57.60000,613.20000,-56.30000,-337.10000,2.70000,-390.70000,55.60000,,55.60000,-127.80000,-127.80000,-133.00000,-17.00000,-222.20000,12.40000,54.30000,-133.00000
2020-12-31,358.60000,75.10000,70.80000,145.90000,148.30000,-29.10000,-81.90000,31.80000,69.10000,573.60000,-62.10000,-58.00000,2.20000,-117.90000,-191.50000,,-191.50000,-117.30000,-117.30000,-127.10000,,-435.90000,-0.40000,62.80000,-127.10000
2019-12-31,355.70000,80.00000,-5.80000,74.20000,-17.50000,13.60000,-63.60000,-9.40000,-76.90000,353.00000,-57.90000,-272.50000,-1.50000,-331.90000,250.00000,,250.00000,-137.50000,-137.50000,-122.70000,-6.90000,-17.10000,8.20000,2.30000,-122.70000
2018-12-31,347.40000,84.60000,3.80000,88.40000,-15.30000,-40.10000,58.30000,0.40000,3.30000,439.10000,-48.00000,-13.70000,-7.10000,-68.80000,-635.40000,,-635.40000,-486.70000,-486.70000,-187.20000,901.40000,-407.90000,-12.00000,20.30000,-187.20000
2017-12-31,666.50000,87.20000,-52.70000,34.50000,-13.40000,-20.50000,15.60000,-61.10000,-80.80000,620.20000,-35.40000,2713.50000,-47.70000,2630.40000,-2922.40000,,-2922.40000,-162.80000,-162.80000,-251.70000,-95.70000,-3432.60000,-130.60000,39.60000,-251.70000
2016-12-31,522.20000,88.40000,191.20000,279.60000,16.60000,33.90000,22.80000,-13.70000,59.60000,861.40000,-24.50000,-30.10000,-67.20000,-121.80000,-386.00000,,-386.00000,20.70000,20.70000,-243.60000,8.80000,-600.10000,113.30000,60.90000,-243.60000
2015-12-31,-76.40000,160.10000,622.60000,782.70000,-6.20000,54.70000,10.60000,-26.10000,33.00000,739.30000,-86.70000,-1916.90000,38.10000,-1965.50000,1721.70000,-2.30000,1719.40000,-180.60000,-180.60000,-231.70000,-20.80000,1286.30000,15.90000,17.40000,-231.70000
2014-12-31,214.90000,140.30000,514.30000,654.60000,15.30000,30.80000,5.30000,87.50000,138.90000,1008.40000,-81.80000,-12.30000,-34.20000,-128.30000,454.00000,0.50000,454.50000,-1113.00000,-1113.00000,-211.40000,-125.20000,-995.10000,-145.60000,31.90000,-211.40000
2013-12-31,542.60000,275.40000,29.00000,304.40000,-106.30000,58.10000,41.10000,88.00000,80.90000,927.90000,-164.00000,-48.90000,1.70000,-211.20000,97.50000,,97.50000,-635.80000,-635.80000,-194.20000,13.40000,-719.10000,18.60000,97.40000,-194.20000
2012-12-31,-104.60000,160.10000,-135.60000,24.50000,31.20000,108.30000,-53.80000,38.10000,123.80000,43.70000,-89.00000,470.50000,-5.90000,375.60000,230.90000,-3.70000,227.20000,-266.00000,-266.00000,-112.40000,-81.10000,-232.30000,187.30000,-56.10000,-112.40000
2011-12-31,-3.20000,108.10000,254.10000,362.20000,1.30000,18.30000,-24.30000,-13.60000,-38.80000,320.20000,-72.00000,-733.10000,-3.00000,-808.10000,589.50000,-1.20000,588.30000,0.50000,0.50000,-79.50000,-5.70000,503.60000,4.00000,19.50000,-79.50000
2010-12-31,189.40600,84.17900,28.32500,112.50400,-62.34400,-44.49500,55.32100,-7.26800,-31.53400,270.37600,-59.16500,,-1.14800,-60.31300,-101.07200,2.72800,-98.34400,-14.77100,-14.77100,-80.11200,2.63600,-190.59100,12.66000,21.46800,-80.11200
2009-12-31,116.20000,105.48000,-14.99200,90.48800,11.30700,66.68400,-13.82200,-7.02000,51.68100,258.36900,-52.92900,1.56700,-3.22400,-54.58600,-150.30400,2.20500,-148.09900,8.24700,8.24700,-70.92700,1.69600,-209.08300,-5.94800,-5.10700,-70.92700
