,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,14934.00000,4797.00000,3707.00000,8504.00000,4421.00000,6845.00000,8287.00000,19553.00000,25069.00000,-5569.00000,5741.00000,,-66954.00000,-66954.00000,-12673.00000,-79455.00000,58822.00000,19123.00000,77945.00000,-3250.00000,-3250.00000,-5003.00000,68071.00000,137763.00000,79992.00000,-5003.00000
2021-12-31,22025.00000,3964.00000,-2317.00000,1647.00000,-3809.00000,36561.00000,6112.00000,38864.00000,47090.00000,-3929.00000,,,-107011.00000,-107011.00000,194.00000,-110746.00000,-12532.00000,-1541.00000,-14073.00000,-7601.00000,-8086.00000,-5198.00000,44629.00000,17272.00000,-47582.00000,-5198.00000
2020-12-31,11087.00000,3937.00000,13424.00000,17361.00000,1202.00000,-50864.00000,-3520.00000,-53182.00000,-23488.00000,-3396.00000,,,-105586.00000,-105586.00000,16537.00000,-92445.00000,46242.00000,-15535.00000,30707.00000,-2925.00000,-1430.00000,-5352.00000,209670.00000,233595.00000,115696.00000,-5352.00000
2019-12-31,19467.00000,3905.00000,6222.00000,10127.00000,-909.00000,-44535.00000,-13916.00000,-59360.00000,-12837.00000,-5077.00000,,,1095.00000,1095.00000,-19392.00000,-23374.00000,-3324.00000,12703.00000,9379.00000,-17571.00000,-18055.00000,-5447.00000,57056.00000,42933.00000,5814.00000,-5447.00000
2018-12-31,18080.00000,3754.00000,6853.00000,10607.00000,770.00000,15666.00000,-612.00000,15824.00000,36952.00000,-3562.00000,,,-45598.00000,-45598.00000,-23958.00000,-73118.00000,24014.00000,-12106.00000,11908.00000,-14433.00000,-15226.00000,-5020.00000,52866.00000,44528.00000,7589.00000,-5020.00000
2017-12-31,-6738.00000,3659.00000,31142.00000,34801.00000,247.00000,-22413.00000,-11715.00000,-33881.00000,-8774.00000,-2984.00000,,,10332.00000,10332.00000,-46099.00000,-38751.00000,41430.00000,13751.00000,55181.00000,-14541.00000,-14541.00000,-3797.00000,30011.00000,66854.00000,20022.00000,-3797.00000
2016-12-31,14912.00000,3720.00000,7535.00000,11255.00000,6603.00000,18317.00000,-4354.00000,20566.00000,53733.00000,-2089.00000,,,-30832.00000,-30832.00000,-21214.00000,-54135.00000,3671.00000,9622.00000,13293.00000,-9290.00000,-6792.00000,-2287.00000,24078.00000,28292.00000,27397.00000,-2287.00000
2015-12-31,17332.00000,3506.00000,6292.00000,9798.00000,-7207.00000,25306.00000,1111.00000,19210.00000,39737.00000,-2621.00000,,15488.00000,4050.00000,19538.00000,-2034.00000,14883.00000,-35166.00000,-37256.00000,-72422.00000,-5452.00000,775.00000,-1253.00000,8127.00000,-64773.00000,-11208.00000,-1253.00000
2014-12-31,7502.00000,4161.00000,8963.00000,13124.00000,-1144.00000,19416.00000,2011.00000,20283.00000,46343.00000,-2763.00000,,40916.00000,-14584.00000,26332.00000,5013.00000,28582.00000,-22161.00000,-1099.00000,-23260.00000,-1232.00000,2467.00000,-633.00000,-48844.00000,-70270.00000,2223.00000,-633.00000
2013-12-31,13886.00000,3443.00000,9593.00000,13036.00000,4321.00000,28214.00000,-1342.00000,31193.00000,63244.00000,-2774.00000,,-66871.00000,-618.00000,-67489.00000,-21075.00000,-91338.00000,-17313.00000,199.00000,-17114.00000,-837.00000,3261.00000,-314.00000,37261.00000,23094.00000,-6568.00000,-314.00000
2012-12-31,7760.00000,2795.00000,7926.00000,10721.00000,-1106.00000,-39728.00000,-1042.00000,-41876.00000,-10362.00000,-2515.00000,,53650.00000,3504.00000,57154.00000,-24304.00000,30335.00000,-76869.00000,-2164.00000,-79033.00000,-5.00000,2245.00000,-143.00000,64430.00000,-12501.00000,7752.00000,-143.00000
2011-12-31,11215.00000,3068.00000,11791.00000,14859.00000,1021.00000,35266.00000,-799.00000,35488.00000,64795.00000,-2125.00000,,6653.00000,8275.00000,14928.00000,-21575.00000,-8772.00000,-58849.00000,-25067.00000,-83916.00000,3749.00000,3749.00000,-107.00000,23628.00000,-56646.00000,729.00000,-107.00000
2010-12-31,10883.00000,2868.00000,22900.00000,25768.00000,2483.00000,7143.00000,-3925.00000,5701.00000,35686.00000,256.00000,,4977.00000,-32544.00000,-27567.00000,70648.00000,43337.00000,-42233.00000,-47189.00000,-89422.00000,3744.00000,3744.00000,-9.00000,8259.00000,-77428.00000,2500.00000,-9.00000
2009-12-31,-1511.00000,2826.00000,29649.00000,32475.00000,-1711.00000,482.00000,-89548.00000,-90777.00000,-54610.00000,4039.00000,,2519.00000,-62106.00000,-59587.00000,92716.00000,37168.00000,-13655.00000,-51995.00000,-65650.00000,20295.00000,20295.00000,-3237.00000,61598.00000,13006.00000,-3781.00000,-3237.00000
