,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,281.38900,92.52600,91.71200,184.23800,-13.35300,-0.22400,11.67600,-126.85400,-100.52400,365.10300,-132.67800,-4.12000,113.51200,113.51200,-23.28600,-0.28700,361.13300,360.84600,-94.65200,-94.65200,-11.60700,254.58700,596.40400,94.89800
2021-12-31,195.96000,66.80600,130.20600,197.01200,-0.36000,0.48100,-0.66000,-102.49300,-73.61000,319.36200,-120.69200,-5.50000,-131.47800,-131.47800,-257.67000,-1.77500,233.07900,231.30400,,,-65.58000,165.72400,227.41600,97.50600
2020-12-31,143.45300,51.84600,112.86900,164.71500,0.16800,-0.04100,1.52900,-85.20700,-80.96100,227.20700,-94.10200,0.00000,-23.77500,-23.77500,-117.87700,-1.77500,-49.28300,-51.05800,-52.04000,-52.04000,-62.81100,-165.90900,-56.57900,90.10800
2019-12-31,180.57600,41.30600,69.65400,110.96000,-5.88400,-0.40300,-0.22100,-74.06900,-67.27300,224.26300,-92.93400,0.00000,-126.61100,-126.61100,-219.54500,-1.77500,694.99100,693.21600,,,-42.54400,650.67200,655.39000,47.26800
2018-12-31,137.06500,29.68900,55.87400,85.56300,-1.83800,-0.30600,1.07900,-51.14100,-37.81100,184.81700,-59.90600,,10.48900,10.48900,-49.41700,-0.88800,-121.41400,-122.30200,-105.18800,-105.18800,-20.30600,-247.79600,-112.39600,36.57600
2017-12-31,123.48600,19.06100,29.98800,49.04900,-0.23700,0.46200,0.07900,-37.45400,-42.38600,130.14900,-59.38900,,74.97000,74.97000,15.58100,5.60500,230.95700,236.56200,-56.88000,-56.88000,-34.01700,145.66500,291.39500,36.07600
2016-12-31,70.42100,13.62100,35.99700,49.61800,1.01500,0.41800,-1.57100,-32.21700,-21.22100,98.81800,-43.51000,,-161.40600,-161.40600,-204.91600,4.03600,161.54100,165.57700,-35.56100,-35.56100,-14.47400,115.54200,9.44400,20.72100
2015-12-31,20.94500,9.57800,2.21300,11.79100,0.44000,-0.22400,-0.43100,7.31000,10.23600,42.97200,-16.54900,,-36.14600,-36.14600,-52.32400,-1.11800,36.14600,35.02800,,,-0.10600,34.92200,25.57000,3.21900
2014-12-31,5.66300,11.34600,1.86400,13.21000,-1.08900,0.26700,-2.38600,6.06800,3.46400,22.33700,-14.27000,,-204.77800,-204.77800,-219.05000,-59.11200,204.77800,145.66600,62.84000,62.84000,-0.01100,208.49500,11.78200,0.71200
2013-12-31,0.60700,5.74400,0.54300,6.28700,-1.08300,0.13600,2.66700,3.31900,10.09000,16.98400,-16.91800,,-131.51300,-131.51300,-148.43200,6.97900,131.51300,138.49200,,,-7.11700,131.37500,-0.07300,0.93400
2012-12-31,-0.40600,5.68400,0.00600,5.69000,-0.13300,0.00800,1.15700,2.30800,5.69000,10.97400,-5.86500,,-71.00100,-71.00100,-76.98300,17.74700,71.00100,88.74800,2.40900,2.40900,-18.96500,72.19200,6.18300,0.50300
2011-12-31,1.43000,5.28600,0.16500,5.45100,-0.24100,-0.07500,-0.59700,2.23700,2.20400,9.08500,-14.85800,,-87.19000,-87.19000,-102.29900,9.61200,87.19100,96.80300,-1.00000,-1.00000,-1.44300,94.36000,1.14600,0.16500
