,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,781.64300,732.60200,50.22400,782.82600,-148.39400,-0.75700,87.48100,51.33800,0.10100,1564.57000,-485.84700,,-57.30800,-58.48700,-31.88500,-90.37200,3.18000,-630.34700,-11.27910,-11.27910,-839.59500,-839.59500,-270.25400,-1121.12800,-215.97100,95.42700
2021-12-31,1211.76200,680.61500,179.13800,859.75310,-138.14000,5.72000,-30.32000,1.89700,-140.63900,1930.87600,-580.00100,,-187.05000,-5.95700,-13.92400,-19.88100,2.19900,-784.73300,754.25500,754.25500,-1598.62700,-1598.62700,-238.59400,-1082.96600,53.17000,102.20900
2020-12-31,994.67700,630.43500,458.08800,1088.52300,-21.08700,-12.34900,37.20000,0.38600,-104.17200,1979.02800,-624.40200,,-182.01300,0.24600,-22.34100,-22.09500,3.13900,-825.37100,-63.52930,-63.52930,-1459.41700,-1459.41700,-323.83100,-1846.77700,-706.92800,91.45800
2019-12-31,1021.29400,615.15200,349.05000,964.20200,-79.95700,10.15800,-84.53900,160.24900,86.85900,2072.35500,3110.84600,,-100.86100,93.59400,-110.82800,-17.23400,2.58900,2995.34000,-1994.87100,-1994.87100,-2372.43400,-2372.43400,-329.14400,-4696.45000,793.29800,67.85000
2018-12-31,333.04000,591.03500,748.66600,1339.70100,-81.17600,73.50500,-35.95900,81.99900,98.89900,1771.64000,-836.93300,,-183.15600,29.97700,-19.17700,10.80000,3.64600,-1005.64300,699.80470,699.80470,-1147.93400,-1147.93400,-177.22400,-625.35400,-103.50000,73.06100
2017-12-31,830.55500,777.48500,693.90700,1471.39200,-156.30500,-18.62500,26.87600,-110.31200,-388.78100,1913.16600,-812.91400,,-803.87900,256.77100,-4.81600,251.95500,0.10600,-1364.73200,154.84770,154.84770,-781.69700,-781.69700,-139.40800,-766.25700,-164.54300,35.09200
2016-12-31,1033.08200,720.25200,-6.98600,713.26610,-152.24000,22.92000,11.89700,197.55300,225.77800,1972.12600,-764.37000,,-563.85600,112.73410,13.82400,126.55810,,-1201.66800,-124.63280,-124.63280,-1074.27900,-1074.27900,-153.07200,-1351.98100,-561.45400,38.33800
2015-12-31,427.41000,638.02400,431.92300,1069.94700,-202.86700,-48.31300,30.99800,183.30800,59.84300,1557.20000,-688.28300,,-96.46900,-79.25000,-17.91100,-97.16100,0.12900,-881.78400,543.02730,543.02730,-523.78000,-523.78000,-158.21600,-138.97000,508.02000,56.66400
2014-12-31,863.33000,590.93500,35.13700,626.07200,-40.67600,-46.39800,-2.95600,23.24900,-29.99500,1459.40700,-632.53900,-1.01800,-272.09400,-337.52100,-35.38200,-372.90300,0.82500,-1277.72900,-7.98050,-7.98050,19.50000,19.50000,-176.50000,-164.97900,18.99200,56.74300
2013-12-31,757.20100,528.11900,413.84000,941.95900,-59.64000,-8.97100,16.66600,54.25900,74.18100,1773.34100,-555.33900,-2.39100,-310.39400,-7.95000,-1.30500,-9.25500,0.49700,-876.88200,-437.28910,-437.28910,16.42300,16.42300,-62.12600,-482.99100,412.50100,59.99800
2012-12-31,641.23700,343.90800,149.85100,493.75900,-47.67300,4.05200,40.87800,80.06700,-34.14800,1100.84800,-546.58700,-0.83000,-4294.07700,10.38800,-1.35200,9.03600,0.00800,-4832.45000,3962.14800,3962.14800,6.64700,6.64700,-96.41100,3872.38400,139.99600,45.38400
2011-12-31,573.39500,267.31500,164.20400,431.51900,-88.84800,10.27000,84.40000,14.81800,175.13200,1180.04600,-324.97300,,-1077.44200,42.87300,-40.02600,2.84700,0.34000,-1399.22800,127.66020,127.66020,-312.03200,-312.03200,-62.81100,-247.18300,-466.36500,48.71800
2010-12-31,484.21900,234.37800,222.04200,456.42000,55.37900,-3.89200,4.22800,-150.52200,-100.95600,839.68300,-273.60200,,-165.77500,0.90000,1.48300,2.38300,0.36100,-436.63300,674.75590,674.75590,-564.73600,-564.73600,-192.41200,-82.39200,320.65800,45.55100
2009-12-31,479.75900,228.98600,127.32300,356.30900,-32.31300,15.11500,-104.87900,-82.72100,-169.35800,666.71000,-266.90800,,-87.61700,8.34700,-2.42900,5.91800,2.54700,-346.06000,-61.23240,-61.23240,-85.58700,-85.58700,-45.25300,-192.07200,128.57800,44.42200
