,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-1304.46000,222.20300,-251.87000,-29.66700,-16.49800,-1256.34900,180.46900,169.28900,-892.13100,-2226.25800,-1074.85200,,-2704.41500,-2704.41500,97.59000,-3681.67700,4.61800,-15.33000,-10.71200,1332.87800,1332.87800,25.06900,1347.23500,-4560.70000,423.50000
2021-12-31,-2579.76100,81.38100,1622.77500,1704.15600,-2.88800,-175.09100,4.35400,-25.07000,-182.52800,-1058.13300,-421.19800,0.50500,,0.50500,,-420.69300,1999.34900,14.04800,2013.39700,138.62600,738.62600,4384.40500,7136.42800,5657.60200,516.75700
2020-12-31,-719.38000,10.21700,124.34000,134.55700,0.14800,-0.35900,-69.86100,71.45000,14.62700,-570.19600,-459.58200,,,,,-459.58200,-0.36400,,-0.36400,3.28500,1290.90900,,1290.54500,260.76700,4.61400
2019-12-31,-277.35700,7.23600,23.20800,30.44400,0.98400,-0.18800,5.84300,2.20100,11.61400,-235.29900,-104.29000,,,,,-104.29000,70.94900,,70.94900,0.48300,550.48300,,621.43200,281.84300,7.71900
