,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,899.10100,286.82600,58.61100,345.43700,-14.02600,-3.01100,18.20800,49.30800,78.64100,1323.17900,-479.16400,,-350.86800,-350.86800,-830.03200,,,-830.14000,-830.14000,-99.26400,-929.40400,-437.26400,98.03000
2021-12-31,652.98400,254.65700,177.01500,431.67200,-1.68700,-6.39200,21.44000,24.24300,197.42500,1282.08100,-438.44000,,-83.60200,-83.60200,-522.04200,,,-466.46200,-466.46200,-82.14400,-548.60600,210.39400,176.39200
2020-12-31,355.76600,238.53400,223.65700,462.19100,3.01000,-0.39400,-3.85900,20.10500,-154.11000,663.84700,-373.35200,-10.02500,-49.34000,-49.34000,-432.71700,,,-54.40100,-54.40100,-50.45000,-104.85100,127.35500,82.62600
2019-12-31,350.15800,212.77800,290.15300,502.93100,-2.63000,-4.53000,-0.97300,-139.54300,-131.45700,721.63200,-319.94300,,27.96900,27.96900,-291.97400,,,-190.61700,-190.61700,-11.11800,-201.73500,228.32900,91.39600
2018-12-31,176.55300,201.97900,138.94300,340.92200,-8.29800,-1.72200,32.08000,23.17900,104.07700,621.55200,-287.39000,,-100.18800,-100.18800,-387.57800,,,-160.93700,-160.93700,-5.59800,-166.53500,65.98200,69.16400
2017-12-31,176.25300,163.34800,60.57000,223.91800,-0.14000,-5.25000,10.90800,32.33300,68.04500,468.21600,-216.77700,,130.19900,130.19900,-86.57800,,,-285.21800,-285.21800,-0.67600,-285.89400,97.80000,65.25500
2016-12-31,22.93800,146.36800,71.65000,218.01800,-1.92300,-0.09100,-6.73400,43.50400,114.20400,355.16000,-258.84200,,585.64800,585.64800,326.80600,,,-836.76000,-836.76000,0.47700,-836.28300,-154.20700,64.16600
2015-12-31,475.60200,130.36800,8.88800,139.25600,-3.50400,0.26200,19.52500,26.85900,68.45800,683.31600,-257.41800,,-206.72200,-206.72200,-464.14000,,,-460.67500,-460.67500,74.23500,-386.44000,-171.46000,57.91100
2014-12-31,445.37400,110.47400,61.19100,171.66500,-10.96600,-2.30700,2.16800,32.28300,65.02800,682.06700,-252.59000,,-266.25400,-266.25400,-518.84400,,,-88.33800,-88.33800,21.60100,-66.73700,96.26200,96.44000
2013-12-31,327.43800,96.05400,34.65800,130.71200,-7.23800,-1.95000,2.05200,21.41200,70.63000,528.78000,-199.92600,,-228.38900,-228.38900,-428.31500,,,-138.90300,-138.90300,38.55200,-100.35100,0.65000,63.65700
2012-12-31,278.00000,84.13000,-20.39600,63.73400,-9.43800,-2.18000,7.84900,1.33400,78.22900,419.96300,-197.03700,,-158.46200,-158.46200,-355.49900,,,-217.09200,-217.09200,73.55800,-143.53400,-78.69000,64.27600
2011-12-31,214.94500,74.93800,23.07700,98.01500,-2.97000,-1.81600,9.43200,9.48400,98.13600,411.09600,-151.14700,-0.58600,-58.48500,-58.48500,-210.21800,,,-63.50800,-63.50800,39.24000,-24.26800,176.40500,41.38200
2010-12-31,178.98100,68.92100,23.47900,92.40000,-0.74300,-1.48100,6.98900,9.64700,17.81000,289.19100,-113.21500,-1.90000,-74.76600,-74.76600,-189.88100,-0.09600,-0.09600,-126.60200,-126.60200,32.17600,-94.52200,5.27200,21.38100
2009-12-31,126.84500,61.30800,18.91300,80.22100,-0.87500,-0.82500,1.43500,19.14100,53.60700,260.67300,-117.19800,,49.99000,49.99000,-67.20800,-0.08200,-0.08200,-72.29600,-72.29600,10.43500,-61.94300,131.52200,14.99200
