,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1774.70000,323.60000,-44.20000,279.40000,-345.40000,-466.70000,317.90000,-55.90000,-550.10000,1504.00000,-282.10000,-234.70000,-23.60000,-540.40000,-9.60000,,-9.60000,-1197.60000,-1197.60000,-634.70000,-10.30000,-1852.20000,-938.70000,56.30000,-634.70000
2021-12-31,1436.60000,299.40000,95.40000,394.80000,-265.40000,-348.80000,275.30000,95.80000,-243.10000,1588.30000,-207.90000,-269.20000,-68.60000,-545.70000,-432.50000,,-432.50000,-1022.00000,-1022.00000,-576.00000,-97.10000,-2127.60000,-1130.70000,66.50000,-576.00000
2020-12-31,870.00000,294.30000,-73.00000,221.30000,5.90000,109.00000,75.80000,153.00000,343.70000,1435.00000,-146.10000,-182.80000,-47.30000,-376.20000,-307.50000,,-307.50000,-185.50000,-185.50000,-525.60000,1902.90000,884.30000,2011.30000,69.50000,-525.60000
2019-12-31,1428.50000,288.80000,272.50000,561.30000,-77.80000,3.90000,93.20000,-89.60000,-70.30000,1919.50000,-203.20000,-83.40000,-1493.40000,-1780.00000,1490.40000,,1490.40000,-677.60000,-677.60000,-525.90000,-16.40000,270.50000,400.20000,66.40000,-525.90000
2018-12-31,1357.50000,282.30000,140.50000,422.80000,-213.50000,-186.90000,99.60000,-71.70000,-372.50000,1407.80000,-275.00000,-285.70000,-68.70000,-629.40000,24.00000,-6.40000,17.60000,-857.10000,-857.10000,-520.90000,-18.40000,-1378.80000,-646.00000,78.80000,-520.90000
2017-12-31,1312.30000,353.30000,49.20000,402.50000,-156.70000,-112.40000,167.20000,-89.40000,-191.30000,1523.50000,-219.80000,-157.60000,2.70000,-374.70000,-7.70000,-4.00000,-11.70000,-940.20000,-940.20000,-445.90000,-34.70000,-1432.50000,-165.30000,70.80000,-445.90000
2016-12-31,1492.70000,352.20000,-306.20000,46.00000,-101.30000,26.80000,103.60000,-45.90000,-16.80000,1521.90000,-173.20000,413.30000,,240.10000,,-150.70000,-150.70000,-187.20000,-187.20000,-362.70000,-26.30000,-726.90000,977.90000,,-362.70000
2015-12-31,682.80000,364.10000,146.90000,511.00000,-79.80000,-6.30000,-41.00000,-178.30000,-305.40000,888.40000,-231.10000,-961.80000,,-1192.90000,-23.90000,30.30000,6.40000,-188.80000,-188.80000,-312.60000,-32.60000,-527.60000,-968.40000,,-312.60000
2014-12-31,950.40000,332.40000,-88.30000,244.10000,-119.90000,-230.00000,157.20000,-28.60000,-221.30000,973.20000,-219.10000,-8.20000,30.30000,-197.00000,600.60000,99.60000,700.20000,-1261.80000,-1261.80000,-285.60000,-12.30000,-859.50000,-232.00000,,-285.60000
2013-12-31,653.90000,333.70000,505.50000,839.20000,-214.30000,-39.40000,141.00000,-288.90000,-401.60000,1091.50000,-217.90000,4.70000,-2.20000,-215.40000,282.80000,8.90000,291.70000,-940.70000,-940.70000,-257.90000,1253.50000,346.60000,1228.80000,,-257.90000
2012-12-31,1044.00000,333.80000,201.80000,535.60000,-34.20000,-25.30000,-12.50000,-312.20000,-384.20000,1195.40000,-225.20000,52.70000,26.00000,-146.50000,-418.90000,5.50000,-413.40000,-667.30000,-667.30000,-206.30000,-16.90000,-1303.90000,-278.60000,,-206.30000
2011-12-31,369.30000,358.50000,689.10000,1047.60000,16.00000,-6.40000,-55.10000,-184.60000,-230.10000,1186.80000,-168.60000,398.40000,-22.30000,207.50000,-88.30000,35.50000,-52.80000,-1048.50000,-1048.50000,-158.10000,13.00000,-1246.40000,146.40000,42.60000,-158.10000
2010-12-31,665.10000,436.80000,319.20000,755.99990,-238.90000,-213.00000,246.90000,-520.70000,-725.70000,695.40000,-165.00000,-14.00000,0.40000,-178.60000,-461.90000,33.10000,-428.80000,145.30000,145.30000,-110.90000,-9.30000,-403.70000,137.60000,73.50000,-110.90000
2009-12-31,476.20000,421.50000,212.80000,634.30000,319.70000,392.20000,52.90000,-140.70000,624.10000,1734.60000,-182.50000,,-0.20000,-182.70000,45.80010,-1056.30000,-1010.50000,27.20000,27.20000,-181.00000,-43.80000,-1208.10000,326.50000,68.30000,-181.00000
