,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,17105.00000,2975.00000,504.00000,3479.00000,,,-6240.00000,-6240.00000,14615.00000,-3119.00000,,,,-21.00000,-3140.00000,4451.00000,-1035.00000,3416.00000,-6432.00000,-6432.00000,-7789.00000,-188.00000,-10993.00000,414.00000,366.00000,-7789.00000
2022-01-31,16433.00000,2862.00000,123.00000,2985.00000,-435.00000,-5403.00000,445.00000,-3043.00000,16571.00000,-2566.00000,-421.00000,,,18.00000,-2969.00000,1447.00000,1035.00000,2482.00000,-14472.00000,-14472.00000,-6985.00000,-145.00000,-19120.00000,-5552.00000,399.00000,-6985.00000
2021-01-31,12866.00000,2519.00000,-259.00000,2260.00000,-465.00000,-1657.00000,745.00000,3592.00000,18839.00000,-2463.00000,-7780.00000,,,73.00000,-10170.00000,5061.00000,-974.00000,4087.00000,-465.00000,-465.00000,-6451.00000,-154.00000,-2983.00000,5762.00000,310.00000,-6451.00000
2020-01-31,11242.00000,2296.00000,453.00000,2749.00000,-170.00000,-593.00000,199.00000,-488.00000,13687.00000,-2678.00000,,,,25.00000,-2653.00000,2350.00000,-365.00000,1985.00000,-6685.00000,-6685.00000,-5958.00000,-140.00000,-10798.00000,355.00000,251.00000,-5958.00000
2019-01-31,11121.00000,2152.00000,555.00000,2707.00000,33.00000,-1244.00000,-177.00000,-560.00000,13165.00000,-2442.00000,-21.00000,,,47.00000,-2416.00000,2257.00000,-220.00000,2037.00000,-9727.00000,-9727.00000,-4704.00000,-153.00000,-12547.00000,-1817.00000,282.00000,-4704.00000
2018-01-31,8630.00000,2062.00000,365.00000,2427.00000,139.00000,-84.00000,118.00000,554.00000,12031.00000,-1850.00000,-374.00000,,,-4.00000,-2228.00000,2448.00000,850.00000,3298.00000,-7745.00000,-7745.00000,-4212.00000,-211.00000,-8870.00000,1057.00000,273.00000,-4212.00000
2017-01-31,7957.00000,1973.00000,150.00000,2123.00000,-138.00000,-769.00000,55.00000,-297.00000,9783.00000,-1583.00000,,,,,-1583.00000,1914.00000,360.00000,2274.00000,-6662.00000,-6662.00000,-3404.00000,-78.00000,-7870.00000,322.00000,267.00000,-3404.00000
2016-01-31,7009.00000,1863.00000,115.00000,1978.00000,-181.00000,-546.00000,71.00000,386.00000,9373.00000,-1460.00000,-1522.00000,,,,-2982.00000,3952.00000,60.00000,4012.00000,-6772.00000,-6772.00000,-3031.00000,4.00000,-5787.00000,493.00000,244.00000,-3031.00000
2015-01-31,6345.00000,1786.00000,61.00000,1847.00000,-81.00000,-124.00000,-157.00000,50.00000,8242.00000,-1394.00000,-200.00000,323.00000,323.00000,,-1271.00000,1942.00000,290.00000,2232.00000,-6748.00000,-6748.00000,-2530.00000,-25.00000,-7071.00000,-206.00000,225.00000,-2530.00000
2014-01-31,5385.00000,1757.00000,197.00000,1954.00000,-15.00000,-455.00000,35.00000,289.00000,7628.00000,-1301.00000,-206.00000,,,,-1507.00000,3933.00000,,3933.00000,-8305.00000,-8305.00000,-2243.00000,-37.00000,-6652.00000,-565.00000,228.00000,-2243.00000
2013-01-31,4535.00000,1684.00000,422.00000,2106.00000,-143.00000,-350.00000,42.00000,334.00000,6975.00000,-1262.00000,-170.00000,,,,-1432.00000,-32.00000,,-32.00000,-3200.00000,-3200.00000,-1743.00000,-59.00000,-5034.00000,507.00000,218.00000,-1743.00000
2012-01-31,3883.00000,1682.00000,385.00000,2067.00000,-170.00000,256.00000,179.00000,701.00000,6651.00000,-1165.00000,36.00000,,,,-1129.00000,966.00000,,966.00000,-3164.00000,-3164.00000,-1632.00000,-218.00000,-4048.00000,1442.00000,215.00000,-1632.00000
2011-01-31,3338.00000,1718.00000,318.00000,2036.00000,-102.00000,-355.00000,-114.00000,-789.00000,4585.00000,-1012.00000,,,,,-1012.00000,-31.00000,,-31.00000,-2504.00000,-2504.00000,-1569.00000,-347.00000,-4451.00000,-876.00000,214.00000,-1569.00000
2010-01-31,2661.00000,1806.00000,137.00000,1943.00000,-23.00000,625.00000,34.00000,521.00000,5125.00000,-788.00000,,33.00000,33.00000,,-755.00000,-1774.00000,,-1774.00000,-140.00000,-140.00000,-1525.00000,-64.00000,-3503.00000,902.00000,201.00000,-1525.00000
2009-01-31,2260.00000,1902.00000,637.00000,2539.00000,121.00000,743.00000,249.00000,729.00000,5528.00000,-1700.00000,,-29.00000,-29.00000,,-1729.00000,-313.00000,-1732.00000,-2045.00000,14.00000,14.00000,-1521.00000,-128.00000,-3680.00000,74.00000,176.00000,-1521.00000
