,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-382.61200,521.12810,573.09400,1094.22200,-4.43700,86.05300,87.33400,798.94400,-897.79500,458.28300,-468.59700,-33.17200,-501.76900,34.41700,-906.86400,-221.60010,,-221.60010,0.80000,0.80000,-468.67800,-111.79600,-801.27400,-909.19400,29.24900,-406.56200
2021-12-31,207.55300,423.34500,127.36200,550.70700,-0.18700,-32.12300,3.54600,761.80600,-735.40100,110.49200,0.00000,-14.99700,-14.99700,107.55900,-532.34700,1663.76400,,1663.76400,-0.66800,-9.51500,-471.98900,-1211.73700,-29.47700,199.98200,38.32900,-406.10900
2020-12-31,-461.84500,401.06400,676.50200,1077.56600,-5.33000,-201.01900,-191.48100,424.24000,-757.65800,1043.10400,28.37500,-8.95900,19.41600,-392.66200,-87.80000,-11.24900,,-11.24900,5.72500,296.90700,-891.59000,392.73000,-213.20200,123.23800,48.67700,-827.31900
2019-12-31,3334.26200,419.10300,-3065.66000,-2646.55700,-25.98800,-5.11800,-25.16600,662.53900,-882.72200,1859.85800,168.31400,1730.48600,1898.80000,-412.66000,2463.27600,-1610.83100,-407.12600,-2017.95700,-1.78900,-2.68200,-553.91600,338.96600,-2235.58900,890.22600,53.90800,-503.78500
2018-12-31,422.60300,434.21200,-32.50900,401.70300,-14.53200,-13.00200,-21.66500,802.64100,-652.78800,-140.30500,4.10100,-37.13100,-33.03000,-51.59900,-877.72200,-158.49900,,-158.49900,-5.66000,-475.66000,-534.46300,45.79600,-1122.82600,-1197.90700,31.72200,-479.34800
2017-12-31,264.12800,483.03600,214.83100,697.86690,1.18300,-106.79600,-101.85300,860.14200,-627.16000,-21.06400,,-40.53700,-40.53700,482.44400,-206.31700,424.19090,,424.19090,29.29400,338.90300,-670.70300,-430.73500,-338.34400,315.48100,32.82900,-606.18700
2016-12-31,981.92200,542.06800,-452.94800,89.12000,-4.27100,-84.96900,-75.96200,995.08000,-994.11000,92.07000,-0.44200,-127.60800,-128.05000,136.98000,-893.11000,508.90800,,508.90800,8.08300,-238.16700,-686.68800,-30.20700,-446.15400,-344.18400,,-606.55100
2015-12-31,859.43000,487.15400,-410.53100,76.62300,8.36600,-247.09700,-263.96200,672.09100,-777.23200,228.44000,,-235.43900,-235.43900,51.80700,-732.42400,1532.29400,,1532.29400,9.30600,9.30600,-658.19500,-264.54600,618.85900,558.52600,,-577.61700
2014-12-31,1009.02600,536.62200,-314.19600,222.42600,-8.28200,-132.48800,-96.14200,1135.31000,-823.39300,177.42200,,-150.81400,-150.81400,222.32000,-574.46500,1116.02700,-198.88400,917.14280,15.43400,15.43400,-850.19400,-28.04100,54.34200,615.18700,,-768.72600
2013-12-31,564.74000,509.12200,28.21500,537.33700,83.89700,-103.45600,-61.28800,1040.78900,-729.76000,1074.66500,378.70900,-230.69000,148.01900,229.15200,722.07600,-1317.85500,,-1317.85500,7.32200,-1.77200,-844.34800,24.08100,-2139.89400,-377.02900,,-761.16000
2012-12-31,694.54100,503.52900,-61.64100,441.88800,-23.27100,-309.70400,-311.38000,825.04900,-362.52500,-175.49700,60.25800,-229.08800,-168.83000,64.59000,-642.26200,845.30590,,845.30590,-18.31500,29.35600,-877.74200,174.05900,170.97900,353.76600,,-803.76600
2011-12-31,740.00000,517.94600,-272.56600,245.38000,8.86900,-263.05100,-282.88100,702.49900,-258.74600,49.32800,70.41800,-670.90100,-600.48300,645.14000,-164.76100,-327.42990,,-327.42990,25.50700,236.34900,-686.71900,155.82600,-621.97400,-84.23600,,-625.25500
2010-12-31,708.03100,490.11000,-259.11500,230.99500,2.01900,-172.60400,-167.94000,771.08600,-301.56900,-45.67700,-171.13400,-165.17000,-336.30400,163.18900,-520.36100,477.16520,,477.16520,1.33300,-77.62100,-583.81000,88.85100,-95.41500,155.31000,,-528.14100
2009-12-31,128.45000,486.57200,164.42400,650.99600,15.38300,-157.64400,-145.86700,633.57900,-681.87400,367.69800,-65.73400,-38.26600,-104.00000,175.97500,-242.20100,-1648.26500,,-1648.26500,679.77300,655.44300,-361.92400,-28.00600,-1382.75200,-991.37400,,-304.84800
