,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-950.00000,1515.00000,30.00000,1545.00000,85.00000,-141.00000,30.00000,-31.00000,-78.00000,517.00000,-149.00000,,,,,,11.00000,-138.00000,4.00000,-64.00000,-60.00000,-144.00000,-144.00000,-104.00000,-21.00000,-329.00000,26.00000,59.00000,-104.00000
2021-12-31,411.00000,346.00000,43.00000,389.00000,-117.00000,-64.00000,-49.00000,-30.00000,-143.00000,657.00000,-142.00000,,-220.00000,,,,4.00000,-358.00000,-281.00000,179.00000,-102.00000,-149.00000,-149.00000,-92.00000,-36.00000,-379.00000,-99.00000,48.00000,-92.00000
2020-12-31,-73.00000,491.00000,31.00000,522.00000,131.00000,123.00000,-28.00000,25.00000,200.00000,649.00000,-87.00000,,-1077.00000,,,,58.00000,-1106.00000,747.00000,2.00000,749.00000,-129.00000,-129.00000,-88.00000,-56.00000,476.00000,33.00000,47.00000,-88.00000
2019-12-31,256.00000,323.00000,76.00000,399.00000,-90.00000,11.00000,27.00000,-9.00000,-16.00000,639.00000,-123.00000,,8.00000,,,,46.00000,-69.00000,-131.00000,-69.00000,-200.00000,-151.00000,-151.00000,-81.00000,-40.00000,-472.00000,95.00000,66.00000,-81.00000
2018-12-31,-1011.00000,1420.00000,125.00000,1545.00000,24.00000,-20.00000,7.00000,-57.00000,-34.00000,500.00000,-174.00000,-5.00000,-130.00000,-4.00000,54.00000,50.00000,6.00000,-253.00000,-9.00000,60.00000,51.00000,-222.00000,-222.00000,-79.00000,,-250.00000,-11.00000,21.00000,-79.00000
2017-12-31,-1550.30000,1969.90000,327.10000,2297.00000,-63.40000,-62.90000,44.20000,-70.50000,-144.80000,601.90000,-136.90000,-6.70000,-145.90000,-2.50000,,-2.50000,5.60000,-286.40000,-13.60000,10.20000,-3.40000,-319.10000,-319.10000,-78.30000,,-400.80000,-63.30000,48.00000,-78.30000
2016-12-31,431.40000,276.20000,-101.00000,175.20000,-75.10000,65.40000,7.20000,-20.80000,-43.20000,563.40000,-120.00000,-1.10000,186.60000,-6.80000,,-6.80000,1.30000,60.00000,343.10000,-44.10000,299.00000,-772.90000,-772.90000,-64.60000,12.30000,-526.20000,99.30000,41.30000,-64.60000
2015-12-31,251.10000,134.20000,74.00000,208.20000,-0.90000,32.10000,8.80000,10.90000,38.10000,497.40000,-71.60000,,-54.00000,,47.70000,47.70000,23.00000,-54.90000,-114.60000,-2.20000,-116.80000,-77.20000,-77.20000,-40.00000,-68.90000,-302.90000,133.00000,25.60000,-40.00000
2014-12-31,322.90000,133.70000,57.40000,191.10000,7.20000,21.00000,10.00000,-2.00000,46.40000,560.40000,-99.00000,-6.20000,-2.10000,-1.20000,,-1.20000,-30.20000,-138.70000,-84.90000,-101.90000,-186.80000,-114.20000,-114.20000,-37.30000,2.10000,-336.20000,76.60000,25.40000,-37.30000
2013-12-31,318.20000,132.90000,27.00000,159.90000,-32.50000,-25.40000,-36.70000,39.00000,-60.30000,417.80000,-97.30000,-1.10000,-66.20000,,,,-95.60000,-260.20000,-76.80000,57.30000,-19.50000,-51.10000,-51.10000,-34.80000,-56.30000,-161.70000,-5.10000,25.10000,-34.80000
2012-12-31,318.48900,136.24400,-47.60600,88.63800,-12.59100,-36.79200,12.84300,-22.03100,-37.44200,369.68500,-91.03300,-3.32900,-4.86100,,,,-15.79800,-115.02100,,-228.91200,-228.91200,-4.65400,-4.65400,-31.42500,9.38200,-255.60900,3.00400,22.18700,-31.42500
2011-12-31,247.44600,93.05800,-46.87700,46.18100,1.46900,21.50300,10.81600,-2.30300,99.84200,393.46900,-70.68900,-3.06800,-1787.51600,0.00600,,0.00600,-25.57500,-1886.84200,854.58200,270.20900,1124.79100,-37.22500,-37.22500,-28.63200,-56.55300,1002.38100,-462.91000,20.94700,-28.63200
2010-12-31,267.33500,66.34000,38.63500,104.97500,5.11500,-9.30900,2.16500,-4.61000,5.15100,377.46100,-40.67400,-1.60600,-35.55600,,,,-86.63200,-164.46800,126.47400,-9.65700,116.81700,-193.80400,-193.80400,-29.07700,3.02800,-103.03600,89.69000,18.80300,-29.07700
2009-12-31,274.41200,65.17500,2.68800,67.86300,-16.94200,27.71000,-4.94700,7.99700,20.21400,362.48900,-50.62100,-0.01400,-2.98600,0.22200,,0.22200,,-53.39900,27.68800,-7.46500,20.22300,-65.31200,-65.31200,-29.83600,3.50500,-71.42000,246.35700,16.27600,-29.83600
