,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1159.54200,319.42700,-40.04000,279.38700,-86.71300,-322.46700,47.22600,-266.47300,1149.37300,-139.00500,-414.22600,,,0.47100,-552.76000,,-73.69100,-73.69100,-282.88400,-282.88400,-202.16900,-16.95500,-575.69900,-1.38600,47.37500,-202.16900
2021-12-31,990.05300,292.11200,-0.28500,291.82700,-172.79100,-129.59300,-35.10400,-125.38700,1160.45700,-110.67100,-1944.87700,,,-0.29400,-2055.84200,-59.71800,243.61500,183.89700,45.58600,45.58600,-184.59500,-5.55100,39.33700,-866.05000,46.10300,-184.59500
2020-12-31,872.43900,255.27500,-114.66600,140.60900,163.47100,77.44800,20.43000,268.36600,1280.98000,-74.19900,138.31000,,,-2.48100,61.63000,-102.94700,-328.00300,-430.95000,60.21800,60.21800,-165.03500,-3.66900,-539.43600,819.79200,41.56500,-165.03500
2019-12-31,861.29700,234.04200,48.83300,282.87500,14.39800,16.41000,-16.84500,-44.96900,1114.42200,-102.34600,-1050.63900,,,2.06000,-1150.92500,,130.70500,130.70500,78.46400,78.46400,-127.49600,-8.76000,72.91300,39.05500,40.39400,-127.49600
2018-12-31,777.93300,199.49000,-51.30300,148.18700,-13.38300,-59.47200,42.81400,6.50600,925.51800,-82.07600,-1126.73500,,,-1.23300,-1210.04400,255.05000,258.34900,513.39900,-337.65700,-337.65700,-128.91100,-33.79100,13.04000,-292.32500,27.31500,-128.91100
2017-12-31,681.47000,183.22700,-122.12300,61.10400,-24.58100,-6.08700,2.78700,96.51800,833.25900,-75.07400,-550.34400,,,-0.39900,-625.81700,-270.00000,-9.61600,-279.61600,33.18000,33.18000,-82.73500,,-329.17100,-70.95900,25.09100,-82.73500
2016-12-31,512.15800,179.71600,8.88000,188.59600,14.77300,38.66600,-4.29800,51.79800,756.83500,-63.28000,-389.58700,,,0.50000,-452.36700,772.17600,-315.67400,456.50200,-318.51800,-318.51800,-83.26700,2.33700,57.05400,336.25400,22.03000,-83.26700
2015-12-31,590.85900,149.46000,-24.99500,124.46500,-6.99500,-12.00700,0.25500,-38.79600,672.54000,-69.08300,-356.04500,,,-0.42900,-425.55700,17.99300,226.76100,244.75400,-396.20800,-396.20800,-85.98800,20.47800,-216.96400,3.39000,23.76200,-85.98800
2014-12-31,584.46000,138.58400,33.85200,172.43600,-35.25800,11.62600,8.86700,-33.41800,725.96200,-71.32700,-572.69700,,,2.39100,-641.63300,499.08600,-172.49500,326.59100,-229.79000,-229.79000,-80.55100,7.88900,24.13900,82.41200,19.87100,-80.55100
2013-12-31,516.99900,118.65700,5.55900,124.21600,5.24700,-1.79000,9.70200,21.11000,660.65900,-63.31400,-401.51600,,,4.49700,-460.33300,0.25500,-45.18600,-44.93100,16.86700,16.86700,-58.40500,16.18500,-70.28400,137.21900,21.59100,-58.40500
2012-12-31,459.13200,105.47100,18.64400,124.11500,-4.22500,29.55500,9.53500,24.56100,612.46400,-57.42700,-747.67500,,,1.37100,-803.73100,-1.53900,179.42600,177.88700,34.76500,34.76500,-53.08300,14.97000,174.53900,-12.40800,19.38400,-53.08300
2011-12-31,384.46400,86.53200,28.91500,115.44700,-12.45000,-11.92300,0.55000,4.23000,508.56500,-50.81600,-474.44100,,,-1.19600,-526.45300,57.51800,41.55000,99.06800,-41.90000,-41.90000,-38.36600,13.05600,31.85800,7.18400,22.14700,-38.36600
2010-12-31,283.93200,72.89600,16.81500,89.71100,-43.17900,7.33400,6.38200,48.31000,423.01300,-39.18300,-538.58500,,,10.94500,-566.82300,46.92000,92.36400,139.28400,-57.09100,-57.09100,-28.55400,8.99000,62.62900,-83.14800,16.59600,-28.55400
2009-12-31,205.77000,65.50000,-1.85700,63.64300,87.14600,83.62200,3.34500,82.49100,364.67100,-33.06200,-72.91900,-0.63800,-0.63800,0.27500,-106.34400,-79.35100,-13.01300,-92.36400,11.32800,11.32800,-25.57900,4.09600,-102.51900,159.37600,13.50200,-25.57900
