,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1991.66300,434.14300,341.99300,776.13600,648.70300,1227.23100,-69.99300,1805.94100,4573.74000,-214.38800,,26106.93000,-7014.48700,19092.45000,-2285.32000,16592.74000,91.30000,2613.03600,2704.33600,-1800.00000,-1800.00000,-881.01600,-21007.13000,-20983.81000,182.66700,-784.08900
2021-12-31,1858.74600,324.20800,10.28200,334.49000,-97.89900,567.08200,52.54000,521.72300,2714.95900,-149.21300,,-18208.49000,-243.11910,-18451.61000,4969.22700,-13631.60000,-843.59100,-12.43600,-856.02700,,495.00000,-648.46000,11710.96000,10701.47000,-215.16600,-580.26000
2020-12-31,1353.15200,320.28800,770.28200,1090.57000,-674.33000,-561.45300,-418.75200,-1654.53500,789.18700,-172.28900,,-16473.66000,2544.57000,-13929.09000,-7919.10600,-22020.48000,-2665.02300,-2.88100,-2667.90400,-373.75000,-373.75000,-636.36800,25025.76000,21347.73000,116.43800,-568.11200
2019-12-31,1929.14900,301.31500,272.77500,574.09000,161.15300,-382.76700,75.93000,-145.68400,2357.55500,-178.04900,,915.04300,3451.27500,4366.31800,-3461.26200,727.00700,-1553.49300,-4336.01500,-5889.50800,-1349.78500,-1335.28500,-619.59200,4590.68900,-3253.69600,-169.13400,-552.13800
2018-12-31,1918.08000,179.00500,149.12800,328.13300,-157.85700,-11.94000,13.43600,-156.36100,2089.85200,-97.67600,,-3026.29400,1834.65800,-1191.63600,-120.73900,-1410.05100,314.10790,4223.27900,4537.38700,-2194.39600,-2194.39600,-582.90300,-2255.33800,-495.25000,184.55100,-510.38200
2017-12-31,1408.30600,197.12500,530.75200,727.87710,693.76100,153.97200,-201.98100,645.75200,2781.93500,-78.96600,,-78.26500,1563.07800,1484.81300,1989.07800,3394.92500,-1287.49000,11.65700,-1275.83300,-1205.90500,-1205.90500,-530.13600,-3064.64700,-6076.52100,100.33900,-457.40200
2016-12-31,1315.11400,200.59100,321.82700,522.41800,-677.93100,-36.45300,60.26300,-654.12100,1183.41100,-107.69300,,2593.71200,-702.76000,1890.95200,-2504.02700,-720.76800,-1119.89800,-1937.10500,-3057.00300,-641.33400,-646.33400,-523.16100,3716.36400,-510.13400,-47.49100,-441.89100
2015-12-31,1079.66700,175.34900,507.86600,683.21500,276.99200,-8.32700,-289.13900,-20.47400,1742.40800,-81.93600,-1932.59600,6445.45100,5150.96000,11596.41000,-1867.59700,7714.28200,-7412.47400,-2167.40500,-9579.87900,,,-456.28700,574.15900,-9462.00700,-5.31700,-375.01700
2014-12-31,1066.24600,198.73000,216.58200,415.31200,-335.41800,21.62300,-68.72200,-382.51700,1099.04100,-73.16100,,-4819.72900,-3931.16100,-8750.89100,-2886.32000,-11710.37000,3919.20300,-67.77900,3851.42400,,346.50000,-441.43300,6555.26200,10311.75000,-299.57700,-371.19900
2013-12-31,1138.48000,203.73500,214.81300,418.54800,-684.58500,-11.64200,71.52300,-624.70400,932.32400,-129.56300,,-1521.19300,233.27490,-1287.91800,-786.09700,-2203.57800,538.54800,-814.02700,-275.47900,,,-418.79900,1651.85100,957.57300,-313.68100,-365.34900
2012-12-31,1029.49800,204.56100,392.78000,597.34100,-938.73700,12.58300,-200.70400,-1126.85800,499.98100,-91.51900,,25.01500,1715.01900,1740.03400,-5709.37300,-4060.85800,-2080.16700,292.42200,-1787.74500,,,-411.16700,6294.00700,4095.09500,534.21800,-357.71700
2011-12-31,859.47900,197.78000,287.43600,485.21600,210.64800,69.43800,147.46500,427.55100,1772.24600,-70.00800,-151.06000,2567.52700,55.70680,2623.23400,-2033.23400,368.93200,-1809.98400,-313.05000,-2123.03400,,125.00000,-398.33200,773.83000,-1622.53600,518.64200,-350.12900
2010-12-31,736.16100,182.36200,509.74800,692.11000,192.14700,-89.47600,144.70500,247.37600,1675.64700,-70.45800,213.20400,32.11300,414.12610,446.23910,-113.57500,475.41000,-2514.34200,-1522.64600,-4036.98800,,,-375.52800,1948.87200,-2463.64400,-312.58700,-335.30300
2009-12-31,379.89100,190.92100,857.63800,1048.55900,-96.02500,11.95600,-154.99200,-239.06100,1189.38900,-58.96700,202.99300,-33.05100,1713.99900,1680.94800,676.72100,2501.69500,-2390.18200,-745.25100,-3135.43300,,,-357.65200,-519.80800,-4012.89300,-321.80900,-325.70600
