,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,516.42400,618.70290,-353.72600,264.97700,-17.43300,,118.86000,900.26100,-991.88400,,,8.85000,8.85000,106.69100,-876.34300,,324.58300,324.58300,240.26200,240.26200,-648.04700,-33.33000,-116.53200,-92.61400,26.45600,-648.04700
2021-12-31,525.93000,599.14000,-356.21600,242.92410,18.62600,,26.39400,795.24800,305.53910,,,-99.10000,-99.10000,324.59300,531.03200,,-301.01560,-301.01560,-7.80500,-7.80500,-650.08200,-329.61600,-1288.51700,37.76300,18.20200,-650.08200
2020-12-31,428.25300,625.38600,-403.98400,221.40190,15.28100,,108.77600,758.43100,-657.84200,-394.17700,,-114.68400,-114.68400,159.00300,-1007.70000,,62.99760,62.99760,1058.34800,1058.34800,-787.07200,-87.82300,246.45000,-2.97200,17.36800,-787.07200
2019-12-31,60.06100,689.01400,75.11000,764.12410,-49.77100,,21.88800,846.07300,-2000.73400,,,347.91400,347.91400,204.04200,-1448.77800,250.00000,403.66890,653.66890,790.54300,790.54300,-720.12300,-76.81700,647.27100,44.81100,,-720.12300
2018-12-31,1073.47400,578.67400,-849.75000,-271.07600,5.68600,,46.31100,848.70900,1114.75400,,,637.78200,637.78200,76.74300,1829.27900,,-2313.10700,-2313.10700,214.22400,214.22400,-696.91300,175.26000,-2620.53600,57.64300,,-696.91300
2017-12-31,422.63400,563.55300,-119.18100,444.37210,-24.78200,,-19.96500,847.04100,380.09300,,,337.67100,337.67100,528.49300,1246.25700,-1463.05100,93.59300,-1369.45800,23.33600,23.33600,-694.95500,-107.38400,-2148.46100,-54.78700,,-694.95500
2016-12-31,639.92600,615.89600,-76.72300,539.17300,-6.99200,,35.03200,1214.13100,-240.73000,,,-73.26200,-73.26200,-114.98100,-428.97300,-2316.77400,568.41700,-1748.35700,58.96500,58.96500,-979.54200,1614.66900,-1054.26500,-270.12600,,-979.54200
2015-12-31,-546.41800,557.13400,1264.20800,1821.34200,-29.02200,,-52.77900,1222.14500,-821.12010,-768.41300,,-123.22900,-123.22900,52.39700,-1660.36500,1811.18600,-412.77800,1398.40800,197.73300,197.73300,-1046.63800,64.58400,614.08700,168.27200,,-1046.63800
2014-12-31,936.59100,500.19100,-201.38300,298.80800,-8.84500,-6.28700,13.22200,1248.62100,-577.42600,-370.18600,0.00000,-72.01200,-72.01200,-492.25500,-1511.87900,250.66090,845.19000,1095.85100,83.88900,83.88900,-1001.55900,-33.38400,144.79700,-118.64000,,-1001.55900
2013-12-31,985.00600,481.04900,-268.49900,212.55000,6.65600,-58.29000,-48.56900,1148.98700,-99.17900,,11.69700,-50.45500,-38.75800,-58.71100,-196.64800,-45.32100,,-45.32100,114.08200,114.08200,-956.68500,-12.49200,-900.41600,52.88300,,-956.68500
2012-12-31,846.84200,404.05800,-219.01400,185.04400,-7.46900,-3.81400,2.98400,1034.87000,17.34700,-1701.41000,-214.85900,-58.52500,-273.38400,-356.70500,-2314.15200,1359.22400,-454.00000,905.22410,1792.78600,1497.28600,-865.30600,-43.75500,1493.44900,214.16700,,-865.30600
2011-12-31,554.49400,398.68800,-212.09000,186.59800,2.59000,27.58200,-16.93100,724.16100,-65.87800,-4162.10600,-22.44900,-145.49500,-167.94400,-184.55600,-4580.48400,1937.95200,454.00000,2391.95200,1327.81300,1327.81300,-787.68900,-78.94800,2853.12800,-1003.19500,,-787.68900
2010-12-31,344.39500,331.84900,-93.69600,238.15300,9.22200,-6.34100,-2.05000,580.49800,-272.56300,,179.21500,-100.13000,79.08500,-237.45100,-430.92900,-1042.51800,,-1042.51800,2426.90000,2426.90000,-590.73500,-18.77400,774.87300,924.44200,,-590.73500
2009-12-31,146.15100,328.06100,-0.73600,327.32500,4.40800,-6.88100,81.33000,515.63400,-24.25600,,157.12200,-41.80800,115.31400,-152.46400,-61.40600,-559.87300,-150.00000,-709.87300,852.91200,852.91200,-517.07200,-25.49800,-399.53100,54.69700,,-517.07200
