,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,872.41600,1631.00800,95.24600,1726.25400,-29.52400,-34.81400,2563.85600,-8545.83500,,,,158.75900,-8387.07600,2947.10900,2947.10900,4567.68200,4567.68200,-1817.36600,40.81700,5738.24300,-105.48800,-1817.36600
2021-12-31,360.74700,938.09400,86.35400,1024.44800,-38.29200,-63.00600,1322.18900,-6081.62000,,,,-356.07500,-6437.69500,840.68550,840.68550,4453.95700,4453.95700,-1170.73300,453.21000,4577.12000,-518.31000,-1170.73300
2020-12-31,396.50600,701.53200,67.10000,768.63200,-79.24000,-49.59500,1115.54300,-2032.37900,,,,,-2032.37900,872.98630,872.98630,1832.93000,1832.93000,-965.76300,-48.07400,1692.07900,779.67400,-965.76300
2019-12-31,437.47800,615.00800,1.34900,616.35700,-8.95400,15.10200,1068.93700,-3487.20600,,,,-14.60300,-3501.80900,1258.20500,1258.20500,2096.89300,2096.89300,-853.47600,-9.02000,2492.60200,49.93400,-853.47600
2018-12-31,364.59800,573.29210,-8.94200,564.35000,-6.90100,11.79400,940.74200,-1652.39900,,,,12.71500,-1639.68400,391.72900,391.72900,1131.72600,1131.72600,-763.51200,-52.07200,707.87100,8.92900,-763.51200
2017-12-31,319.31800,521.42600,9.10200,530.52800,-0.09200,26.00400,875.85000,-1261.54100,,,,7.03400,-1254.50700,158.31590,158.31590,1396.56600,987.81600,-697.50510,-73.50900,375.11800,-3.53900,-691.33700
2016-12-31,316.47700,467.44000,-13.10800,454.33200,-5.41400,29.05400,799.86300,-1713.22200,,,,12.51500,-1700.70700,977.24630,977.24630,551.57900,551.57900,-650.32100,-12.31200,866.19200,-34.65200,-623.24100
2015-12-31,284.85500,421.16800,-17.24700,403.92100,-1.37700,4.79100,693.56700,-1212.60900,,,,,-1212.60900,-83.35300,-83.35300,1192.93600,1186.18600,-561.99700,-17.64200,523.19400,4.15200,-534.91700
2014-12-31,271.94000,382.06400,-43.37800,338.68600,-3.06400,17.06600,627.69200,-1234.27500,6.91800,88.68800,88.68800,-36.19000,-1174.85900,608.38600,608.38600,687.07700,467.07700,-519.40000,-15.30100,540.76200,-6.40500,-481.10000
2013-12-31,246.28300,327.43700,-71.81200,255.62500,-2.11600,16.99800,518.90600,-1437.99000,126.78500,0.00800,0.00800,-20.81400,-1332.01100,105.18990,105.18990,1189.38000,1189.38000,-452.36800,-24.08800,818.11400,5.00900,-410.43800
2012-12-31,159.15200,163.70000,-5.14000,158.56000,0.57300,8.75700,326.46900,-1022.27900,50.56300,0.02300,0.02300,-36.68100,-1008.37400,708.87100,708.87100,2.15900,270.03600,-275.79300,-20.12600,682.98800,1.08300,-236.34800
2011-12-31,157.03200,129.49500,1.73500,131.23000,2.51100,10.69000,298.95200,-957.34700,22.04900,2.07800,2.07800,-1.64300,-934.86300,387.12100,387.12100,491.13000,491.13000,-243.55000,-12.23200,622.46900,-13.44200,-219.29700
2010-12-31,130.78400,97.80700,-3.01000,94.79700,5.27000,17.78700,243.36800,-716.77600,25.77900,,,-6.36100,-697.35800,241.53100,241.53100,432.59100,432.59100,-206.75300,-5.79800,461.57100,7.58100,-182.50000
2009-12-31,131.12700,94.62800,-3.51100,91.11700,3.60700,4.46300,226.70700,-61.31900,20.07400,,,-4.47900,-45.72400,-15.40000,-15.40000,,,-202.26100,-0.11100,-217.77200,-36.78900,-178.00800
