,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,57577.00000,24040.00000,-4635.00000,19405.00000,-6947.00000,18460.00000,-11707.00000,-194.00000,76797.00000,-13160.00000,,,-3090.00000,-3090.00000,1508.00000,-14742.00000,632.00000,-7852.00000,-7220.00000,-15155.00000,-15155.00000,-15206.00000,-1533.00000,-39114.00000,22863.00000,-15206.00000
2021-12-31,23598.00000,20607.00000,-768.00000,19839.00000,-489.00000,16820.00000,-12169.00000,4162.00000,48129.00000,-8900.00000,,,-2817.00000,-2817.00000,1482.00000,-10235.00000,38.00000,-19692.00000,-19654.00000,-155.00000,-155.00000,-15148.00000,-466.00000,-35423.00000,2438.00000,-15148.00000
2020-12-31,-23251.00000,46009.00000,-8644.00000,37365.00000,-315.00000,-7142.00000,5804.00000,-1653.00000,14668.00000,-16283.00000,,,-4857.00000,-4857.00000,2681.00000,-18459.00000,23178.00000,-3037.00000,20141.00000,-405.00000,-405.00000,-15053.00000,602.00000,5285.00000,1275.00000,-15053.00000
2019-12-31,14774.00000,18998.00000,-6519.00000,12479.00000,72.00000,3725.00000,-2874.00000,923.00000,29716.00000,-24361.00000,3692.00000,,-3905.00000,-3905.00000,1490.00000,-23084.00000,7051.00000,1611.00000,8662.00000,-594.00000,-594.00000,-14844.00000,158.00000,-6618.00000,47.00000,-14844.00000
2018-12-31,21421.00000,18745.00000,-2735.00000,16010.00000,-3107.00000,2321.00000,-570.00000,-1356.00000,36014.00000,-19574.00000,4123.00000,,-1981.00000,-1981.00000,986.00000,-16446.00000,46.00000,-4971.00000,-4925.00000,-626.00000,-626.00000,-14041.00000,146.00000,-19446.00000,-135.00000,-14041.00000
2017-12-31,19848.00000,19893.00000,-8255.00000,11638.00000,-1682.00000,-3954.00000,4987.00000,-649.00000,30066.00000,-15402.00000,3103.00000,,-5507.00000,-5507.00000,2076.00000,-15730.00000,60.00000,-1108.00000,-1048.00000,-747.00000,-747.00000,-13185.00000,-150.00000,-15130.00000,-480.00000,-13185.00000
2016-12-31,8375.00000,22308.00000,-6995.00000,15313.00000,-388.00000,915.00000,-1919.00000,-1392.00000,22082.00000,-16163.00000,4275.00000,,-1417.00000,-1417.00000,902.00000,-12403.00000,12066.00000,-7773.00000,4293.00000,-971.00000,-971.00000,-12615.00000,,-9293.00000,-48.00000,-12615.00000
2015-12-31,16551.00000,18048.00000,-976.00000,17072.00000,-379.00000,-7471.00000,4737.00000,-3113.00000,30344.00000,-26490.00000,2389.00000,,-607.00000,-607.00000,884.00000,-23824.00000,8002.00000,1253.00000,9255.00000,-4034.00000,-4034.00000,-12260.00000,2.00000,-7037.00000,-911.00000,-12260.00000
2014-12-31,33615.00000,17297.00000,-41.00000,17256.00000,-1343.00000,-6639.00000,3050.00000,-4932.00000,45116.00000,-32952.00000,4035.00000,,-1631.00000,-1631.00000,3573.00000,-26975.00000,5662.00000,1304.00000,6966.00000,-13153.00000,-13153.00000,-11816.00000,115.00000,-17888.00000,-28.00000,-11816.00000
2013-12-31,33448.00000,17182.00000,-1346.00000,15836.00000,-1812.00000,-2498.00000,-410.00000,-4720.00000,44914.00000,-33669.00000,2707.00000,,-4435.00000,-4435.00000,1196.00000,-34201.00000,332.00000,11272.00000,11604.00000,-15948.00000,-15948.00000,-11179.00000,47.00000,-15476.00000,-4938.00000,-11179.00000
2012-12-31,47681.00000,15888.00000,-9705.00000,6183.00000,-1873.00000,3624.00000,-1124.00000,627.00000,56170.00000,-34271.00000,7655.00000,,-598.00000,-598.00000,1613.00000,-25601.00000,848.00000,-3756.00000,-2908.00000,-20875.00000,-20875.00000,-10419.00000,334.00000,-33868.00000,-3082.00000,-10419.00000
2011-12-31,42206.00000,15583.00000,-2580.00000,13003.00000,-2208.00000,8880.00000,-7684.00000,-1012.00000,55345.00000,-30975.00000,11133.00000,-1912.00000,-1754.00000,-3666.00000,1343.00000,-22165.00000,436.00000,1521.00000,1957.00000,-21131.00000,-21131.00000,-9326.00000,244.00000,-28256.00000,4839.00000,-9326.00000
2010-12-31,31398.00000,14760.00000,-1272.00000,13488.00000,-1148.00000,9943.00000,-4950.00000,3845.00000,48413.00000,-26871.00000,3261.00000,140.00000,-1239.00000,-1099.00000,505.00000,-24204.00000,-5081.00000,-1129.00000,-6210.00000,-12050.00000,-12050.00000,-8779.00000,115.00000,-26924.00000,-2868.00000,-8779.00000
2009-12-31,19658.00000,11917.00000,-1962.00000,9955.00000,459.00000,1420.00000,-3038.00000,-1159.00000,28438.00000,-22491.00000,1545.00000,555.00000,-2752.00000,-2197.00000,724.00000,-22419.00000,157.00000,-310.00000,-153.00000,-18951.00000,-18951.00000,-8303.00000,124.00000,-27283.00000,-20744.00000,-8303.00000
