,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,343.00000,1247.00000,589.00000,1836.00000,-838.00000,375.00000,1517.00000,1261.00000,3440.00000,-662.00000,4.00000,-60.00000,205.00000,145.00000,-67.00000,-580.00000,-2141.00000,-2141.00000,-476.00000,-476.00000,,-7.00000,-2624.00000,46.00000,
2021-12-31,15.00000,1252.00000,-139.00000,1113.00000,-721.00000,777.00000,2416.00000,2620.00000,3748.00000,-673.00000,-60.00000,-201.00000,23.00000,-178.00000,-20.00000,-931.00000,258.00000,258.00000,338.00000,-898.00000,-67.00000,-266.00000,-973.00000,1667.00000,-67.00000
2020-12-31,-2728.00000,2072.00000,-276.00000,1796.00000,1781.00000,-1320.00000,-2906.00000,-2902.00000,-3834.00000,-797.00000,-21.00000,-685.00000,1161.00000,476.00000,79.00000,-263.00000,3195.00000,3195.00000,-106.00000,1026.00000,-123.00000,-21.00000,4077.00000,41.00000,-123.00000
2019-12-31,572.00000,1151.00000,-147.00000,1004.00000,-368.00000,224.00000,1104.00000,1191.00000,2767.00000,-1160.00000,,-1346.00000,852.00000,-494.00000,101.00000,-1553.00000,1231.00000,1231.00000,-442.00000,-442.00000,-195.00000,-419.00000,175.00000,1392.00000,-195.00000
2018-12-31,398.00000,1290.00000,-95.00000,1195.00000,-282.00000,-134.00000,500.00000,382.00000,1975.00000,-878.00000,-53.00000,-1803.00000,2137.00000,334.00000,38.00000,-559.00000,-500.00000,-500.00000,-757.00000,-757.00000,-186.00000,-46.00000,-1489.00000,-212.00000,-186.00000
2017-12-31,372.00000,1038.00000,-204.00000,834.00000,-456.00000,316.00000,552.00000,639.00000,1845.00000,-710.00000,-169.00000,-1811.00000,1096.00000,-715.00000,13.00000,-1581.00000,990.00000,990.00000,-101.00000,-101.00000,-176.00000,-25.00000,688.00000,1099.00000,-176.00000
2016-12-31,261.00000,1071.00000,63.00000,1134.00000,-276.00000,184.00000,267.00000,154.00000,1549.00000,-749.00000,-1.00000,,16.00000,16.00000,16.00000,-718.00000,-403.00000,-403.00000,-107.00000,-107.00000,-150.00000,-31.00000,-691.00000,105.00000,-150.00000
2015-12-31,722.74800,671.20600,-550.47100,120.73490,-198.26200,97.24800,391.34200,524.56200,1368.04500,-787.04100,-1539.76700,,-110.40600,-110.40600,65.95400,-2371.26000,1441.86000,1441.86000,51.22700,51.22700,-108.52700,19.63900,1404.19900,273.59900,-108.52700
2014-12-31,372.95000,427.60100,17.66800,445.26900,-157.95700,110.60300,284.66900,548.74000,1366.95900,-328.38700,-560.66800,,-31.65300,-31.65300,-3.54900,-924.25700,492.89400,492.89400,-412.60800,-412.60800,-84.69700,52.56000,48.14900,381.66700,-84.69700
2013-12-31,216.35800,413.64800,25.77600,439.42400,-127.32700,91.50300,241.22700,107.41800,763.20000,-308.58100,-541.24700,285.98500,,285.98500,38.33000,-525.51300,,,-440.79100,-440.79100,-75.76000,24.03500,-492.51600,-272.12800,-75.76000
2012-12-31,280.44000,260.54800,-22.01000,238.53800,-84.01700,146.46900,309.81400,718.20400,1237.18200,-235.69700,-199.36000,82.43600,,82.43600,-15.20400,-367.82500,,,-176.37800,-176.37800,-130.42300,34.01400,-272.78700,604.02700,-130.42300
2011-12-31,474.60300,218.78100,-99.79800,118.98300,-70.01200,80.39000,156.61300,232.14300,825.72900,-207.83700,-35.22100,-216.11000,,-216.11000,-4.29200,-463.46000,,,-282.02300,-282.02300,-76.55000,5.07900,-353.49400,67.93500,-76.55000
2010-12-31,425.56000,180.55200,-89.21000,91.34200,-22.44000,49.64800,58.06400,88.48500,605.38700,-136.37600,-16.01900,-604.30300,,-604.30300,12.35100,-744.34700,742.47000,742.47000,-529.30700,-529.30700,-79.07600,-6.22700,127.86000,10.01900,-79.07600
2009-12-31,303.62300,173.08300,-132.07400,41.00900,-29.78100,26.46600,138.49600,229.26900,573.90100,-78.84200,-0.03600,47.18900,,47.18900,42.01600,10.32700,-650.00000,-650.00000,7.83100,7.83100,,-18.75000,-660.91900,-46.23100,0.00000
