,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,3270.00000,1221.00000,1.00000,1222.00000,-171.00000,-35.00000,-64.00000,-270.00000,4222.00000,-1685.00000,,-12.00000,-12.00000,94.00000,-1603.00000,1279.00000,1279.00000,-3114.00000,-3114.00000,-1167.00000,,-3002.00000,-383.00000,-1167.00000
2021-12-31,3005.00000,1181.00000,98.00000,1279.00000,-133.00000,3.00000,101.00000,-29.00000,4255.00000,-1311.00000,,-10.00000,-10.00000,99.00000,-1222.00000,1092.00000,1092.00000,-3373.00000,-3373.00000,-1028.00000,,-3309.00000,-276.00000,-1028.00000
2020-12-31,2013.00000,1154.00000,587.00000,1741.00000,71.00000,23.00000,-211.00000,-117.00000,3637.00000,-1161.00000,,-13.00000,-13.00000,-1.00000,-1175.00000,403.00000,403.00000,-1370.00000,-1370.00000,-960.00000,,-1927.00000,535.00000,-960.00000
2019-12-31,2722.00000,1139.00000,288.00000,1427.00000,87.00000,-37.00000,-307.00000,-257.00000,3892.00000,-1642.00000,,-18.00000,-18.00000,-104.00000,-1764.00000,1004.00000,1004.00000,-2072.00000,-2072.00000,-949.00000,23.00000,-1994.00000,134.00000,-949.00000
2018-12-31,2666.00000,1104.00000,2.00000,1106.00000,-70.00000,15.00000,9.00000,-46.00000,3726.00000,-1747.00000,-10.00000,,-10.00000,99.00000,-1658.00000,1273.00000,1273.00000,-2741.00000,-2741.00000,-844.00000,,-2312.00000,-244.00000,-844.00000
2017-12-31,5404.00000,1059.00000,-2951.00000,-1892.00000,-41.00000,35.00000,-253.00000,-259.00000,3253.00000,-1521.00000,-7.00000,,-7.00000,47.00000,-1481.00000,-412.00000,-412.00000,-923.00000,-923.00000,-703.00000,,-2038.00000,-266.00000,-703.00000
2016-12-31,1668.00000,1030.00000,181.00000,1211.00000,23.00000,42.00000,90.00000,155.00000,3034.00000,-1757.00000,-123.00000,,-123.00000,48.00000,-1832.00000,94.00000,94.00000,-746.00000,-746.00000,-695.00000,,-1347.00000,-145.00000,-695.00000
2015-12-31,1556.00000,1059.00000,290.00000,1349.00000,109.00000,-35.00000,-71.00000,3.00000,2908.00000,-2322.00000,-5.00000,,-5.00000,240.00000,-2087.00000,1083.00000,1083.00000,-1063.00000,-1063.00000,-713.00000,,-693.00000,128.00000,-713.00000
2014-12-31,2000.00000,956.00000,281.00000,1237.00000,-31.00000,-13.00000,-278.00000,-322.00000,2915.00000,-2004.00000,-104.00000,,-104.00000,106.00000,-2002.00000,-445.00000,-445.00000,-251.00000,-251.00000,-687.00000,,-1383.00000,-470.00000,-687.00000
2013-12-31,1910.00000,922.00000,158.00000,1080.00000,85.00000,-7.00000,10.00000,88.00000,3078.00000,-1827.00000,-130.00000,,-130.00000,63.00000,-1894.00000,739.00000,739.00000,-496.00000,-496.00000,-637.00000,,-394.00000,790.00000,-637.00000
2012-12-31,1749.00000,922.00000,360.00000,1282.00000,-64.00000,-7.00000,105.00000,34.00000,3065.00000,-2049.00000,-23.00000,,-23.00000,78.00000,-1994.00000,1129.00000,1129.00000,-1199.00000,-1199.00000,-624.00000,,-694.00000,377.00000,-624.00000
2011-12-31,1916.00000,869.00000,495.00000,1364.00000,-215.00000,-40.00000,202.00000,-53.00000,3227.00000,-2076.00000,-135.00000,,-135.00000,439.00000,-1772.00000,501.00000,501.00000,-1931.00000,-1931.00000,-576.00000,,-2006.00000,-551.00000,-576.00000
2010-12-31,1496.00000,826.00000,270.00000,1096.00000,-41.00000,-5.00000,168.00000,122.00000,2714.00000,-1373.00000,-504.00000,,-504.00000,421.00000,-1456.00000,-139.00000,-139.00000,-774.00000,-774.00000,-514.00000,,-1427.00000,-169.00000,-514.00000
2009-12-31,1034.00000,845.00000,320.00000,1165.00000,63.00000,30.00000,-432.00000,-339.00000,1860.00000,-1215.00000,-266.00000,,-266.00000,30.00000,-1451.00000,403.00000,403.00000,66.00000,66.00000,-500.00000,,-31.00000,378.00000,-500.00000
