,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,539.10000,464.00000,158.60000,622.60000,-85.40000,,-588.30000,-700.40000,443.50000,-73.10000,,-13.30000,,,-24.00000,-110.40000,-95.50000,,-95.50000,37.40000,37.40000,-290.70000,-22.00000,-370.80000,-49.90000,68.40000,-290.70000
2021-06-30,547.50000,334.70000,75.30000,410.00000,-42.40000,,-387.70000,-285.80000,640.10000,-82.70000,,-2603.60000,,,32.70000,-2653.70000,2094.30000,,2094.30000,13.80000,13.80000,-261.70000,-48.60000,1797.80000,-202.10000,58.60000,-261.70000
2020-06-30,462.50000,299.30000,120.20000,419.50000,-33.50000,,-282.00000,-256.90000,598.20000,-98.70000,,-339.10000,,,-3.80000,-441.70000,329.10000,,329.10000,-27.50000,-27.50000,-241.00000,-9.40000,51.20000,203.40000,60.80000,-241.00000
2019-06-30,482.10000,260.00000,54.90000,314.90000,-34.90000,,-96.70000,-142.50000,617.00000,-72.60000,,-354.70000,,,-6.30000,-433.50000,415.70000,,415.70000,-366.70000,-366.70000,-211.20000,-10.80000,-173.10000,9.20000,58.40000,-211.20000
2018-06-30,427.90000,212.00000,24.60000,236.60000,-18.60000,,38.00000,29.00000,693.60000,-97.90000,-40.00000,-108.30000,,,-3.10000,-249.30000,-50.00000,,-50.00000,-225.10000,-225.10000,-165.80000,-9.00000,-449.90000,-7.20000,55.10000,-165.80000
2017-06-30,326.80000,182.20000,-17.80000,164.40000,-44.40000,,-66.40000,24.60000,515.90000,-113.70000,-90.00000,-448.70000,,,-6.90000,-659.30000,85.00000,,85.00000,-281.90000,-281.90000,-152.20000,37.40000,-311.70000,-456.70000,46.10000,-152.20000
2016-06-30,307.50000,121.00000,15.90000,136.90000,-5.30000,6.20000,-62.60000,7.90000,437.70000,-75.50000,0.00000,-53.00000,,,-8.30000,-136.90000,332.90000,,332.90000,-95.00000,-95.00000,-138.20000,8.80000,108.60000,403.70000,43.10000,-138.20000
2015-06-30,287.10000,104.30000,-1.30000,103.00000,-4.20000,1.90000,4.20000,32.50000,431.40000,-66.00000,0.00000,-202.90000,-7.50000,-7.50000,,-276.40000,165.00000,,165.00000,-239.60000,-239.60000,-122.30000,38.60000,-158.30000,-23.50000,38.60000,-122.30000
2014-06-30,263.00000,97.40000,0.20000,97.60000,19.10000,-26.80000,-4.50000,24.40000,387.70000,-40.30000,-13.10000,-96.90000,,,,-150.30000,-0.50000,,-0.50000,-80.20000,-80.20000,-96.70000,18.50000,-158.90000,81.60000,34.60000,-96.70000
2013-06-30,212.10000,93.40000,36.60000,130.00000,-73.20000,41.30000,-66.50000,-82.60000,270.90000,-38.20000,-12.70000,,,,-1.10000,-52.00000,,,,-192.20000,-192.20000,-85.80000,4.80000,-273.20000,-54.50000,27.10000,-85.80000
2012-06-30,123.60000,92.00000,86.50000,178.50000,34.70000,-12.40000,-72.00000,-14.50000,290.60000,-33.80000,-12.90000,-72.40000,2.10000,2.10000,6.50000,-110.50000,400.00000,-400.00000,,-8.00000,-8.00000,-78.10000,-2.60000,-88.70000,79.00000,28.30000,-78.10000
2011-06-30,169.60000,72.30000,42.90000,115.20000,-39.80000,8.50000,-41.20000,-88.50000,190.90000,-29.20000,-18.10000,-293.50000,,,,-340.80000,,200.00000,200.00000,-174.30000,-174.30000,-74.80000,3.80000,-45.30000,-171.10000,30.00000,-74.80000
2010-06-30,190.00000,57.00000,65.60000,122.60000,27.80000,9.90000,0.90000,46.40000,360.10000,-42.70000,-10.40000,-35.20000,,,,-88.30000,,,,-211.70000,-211.70000,-66.60000,0.20000,-278.10000,239.20000,27.30000,-66.60000
2009-06-30,223.30000,53.70000,24.90000,78.60000,31.70000,-14.00000,-21.40000,-23.90000,277.20000,-26.80000,-3.10000,-60.80000,,,,-90.70000,-114.40000,,-114.40000,-28.50000,-28.50000,-37.90000,0.40000,-180.40000,118.70000,28.60000,-37.90000
