,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,3016.00000,419.00000,2954.00000,3373.00000,-197.00000,21.00000,-269.00000,6694.00000,,118.00000,118.00000,-10352.00000,-10234.00000,-1064.00000,735.00000,-329.00000,,-3320.00000,-476.00000,9409.00000,5284.00000,1744.00000,-434.00000
2021-12-31,4221.00000,390.00000,945.00000,1335.00000,424.00000,37.00000,1021.00000,7099.00000,,2090.00000,2090.00000,-6904.00000,-4814.00000,-525.00000,-756.00000,-1281.00000,,-2876.00000,-542.00000,-505.00000,-5204.00000,-2919.00000,-500.00000
2020-12-31,1385.00000,383.00000,4708.00000,5091.00000,339.00000,19.00000,291.00000,7487.00000,,-1530.00000,-1530.00000,1032.00000,-498.00000,-2608.00000,-1500.00000,-4108.00000,,-985.00000,-562.00000,-2376.00000,-8031.00000,-1042.00000,-520.00000
2019-12-31,3747.00000,367.00000,4203.00000,4570.00000,-391.00000,93.00000,65.00000,8990.00000,,229.00000,229.00000,-490.00000,-261.00000,-4032.00000,-115.00000,-4147.00000,,-2884.00000,-581.00000,1154.00000,-6458.00000,2271.00000,-581.00000
2018-12-31,2790.00000,302.00000,5492.00000,5794.00000,-280.00000,81.00000,157.00000,9342.00000,,-1603.00000,-1603.00000,-17433.00000,-19036.00000,1936.00000,1244.00000,3180.00000,,-1868.00000,-534.00000,7475.00000,8253.00000,-1441.00000,-534.00000
2017-12-31,1935.00000,254.00000,5681.00000,5935.00000,-298.00000,144.00000,56.00000,8575.00000,,603.00000,603.00000,-10145.00000,-9542.00000,101.00000,532.00000,633.00000,,-1497.00000,-446.00000,4426.00000,3116.00000,2149.00000,-446.00000
2016-12-31,2251.00000,219.00000,4375.00000,4594.00000,-429.00000,-398.00000,-859.00000,6511.00000,,-2000.00000,-2000.00000,-11364.00000,-13364.00000,-1208.00000,-2958.00000,-4166.00000,,-476.00000,-214.00000,8661.00000,3805.00000,-3048.00000,-214.00000
2015-12-31,2214.00000,174.00000,2657.00000,2831.00000,-163.00000,70.00000,710.00000,6184.00000,,-1564.00000,-1564.00000,-9239.00000,-10803.00000,-2031.00000,-1116.00000,-3147.00000,,,,8263.00000,5116.00000,497.00000,0.00000
2014-12-31,2109.00000,131.00000,2714.00000,2845.00000,68.00000,196.00000,92.00000,5340.00000,,-1349.00000,-1349.00000,-8719.00000,-10068.00000,-8799.00000,11771.00000,2972.00000,2842.00000,2842.00000,,8423.00000,14237.00000,9509.00000,0.00000
2013-12-31,1979.00000,104.00000,2835.00000,2939.00000,-152.00000,40.00000,698.00000,5679.00000,6393.00000,-60.00000,-60.00000,-7399.00000,-1066.00000,-3491.00000,,-3491.00000,,,,-137.00000,-3628.00000,985.00000,
2012-12-31,2119.00000,83.00000,2547.00000,2630.00000,-541.00000,1180.00000,828.00000,5637.00000,,9.00000,9.00000,-6461.00000,-6452.00000,1925.00000,,1925.00000,,,,-963.00000,962.00000,147.00000,
2011-12-31,1890.00000,96.00000,2386.00000,2482.00000,-392.00000,1045.00000,1214.00000,5516.00000,3153.00000,-77.00000,-77.00000,-4646.00000,-1570.00000,-5046.00000,,-5046.00000,,,,2068.00000,-2978.00000,968.00000,
